Disease1	Disease1_id	RELATION	PROVENANCE	Disease2	Disease2_id
Machado-Joseph Disease	C0024408	ISA	["37549460_fullText_2","37408238_fullText_1","36980234_fullText_1","36250694_fullText_1","36231095_fullText_1","35952620_fullText_1","35605759_fullText_1","35489193_fullText_1","35488942_fullText_1","35042771_fullText_1","34878314_fullText_1","34871736_fullText_1","34298131_fullText_1","34298131_fullText_8","34535635_fullText_1","34473252_fullText_1","34416891_fullText_1","34167352_fullText_1","33219521_fullText_1","32703453_fullText_1","32361312_fullText_1","32274760_fullText_1","32205441_fullText_1","31960910_fullText_10","31912433_fullText_1","31783119_fullText_1","31691128_fullText_1","31687087_fullText_1","31683630_fullText_1","31286408_fullText_2","31201651_fullText_1","30760052_fullText_1","30664869_fullText_4","30219871_fullText_1","29725949_fullText_1","29476013_fullText_1","29444500_fullText_1","29334808_fullText_3","29229556_fullText_1","28854700_fullText_1","28687604_fullText_9","28395798_fullText_1","27934588_fullText_1","27878228_fullText_1","27731380_fullText_1","27346191_fullText_1","27346190_fullText_1","27165717_fullText_1","26990650_fullText_1","26757259_fullText_1","25590633_fullText_1","25527827_fullText_1","25301414_fullText_1","24518960_fullText_1","24477711_fullText_1","25144231_fullText_1","23820820_fullText_1","23626768_fullText_1","23382880_fullText_2","23242710_fullText_1","22133674_fullText_1","22090366_fullText_1","21827905_fullText_5","22023810_fullText_1","21635785_fullText_2","21287304_fullText_1","21047555_fullText_1","20865150_fullText_1","20503052_fullText_1","20007218_fullText_1","19935829_fullText_1","19608203_fullText_1","19185026_fullText_1","19036964_fullText_1","18688568_fullText_1","18668148_fullText_1","18385100_fullText_1","18358414_fullText_1","17894834_fullText_1","17626202_fullText_1","17302910_fullText_1","15049515_fullText_1","14665709_fullText_1","14659761_fullText_4","15152500_fullText_1","11450850_fullText_1","11446399_fullText_1","11271368_fullText_1","11133357_fullText_1","10915768_fullText_1","10069576_fullText_1","9825593_fullText_1","9635424_fullText_1","9588850_fullText_1","9556942_fullText_1","9506544_fullText_1","9164048_fullText_1","9124802_fullText_1","9132496_fullText_1","8817326_fullText_1","8609925_fullText_1","8644735_fullText_1","8558567_fullText_1","7562974_fullText_7","9216989_fullText_1","8023841_fullText_2","32867861_fullText_0","32867861_fullText_10","31575582_fullText_0","30856185_fullText_1"]	Neurodegenerative Disorders	C0524851
Machado-Joseph Disease	C0024408	ISA	["23234876_fullText_1"]	Neuropathy	C0442874
Machado-Joseph Disease	C0024408	ISA	["36244162_fullText_1","35247757_fullText_1","34231180_fullText_1","33290777_fullText_1","32205469_fullText_1","31067424_fullText_2","25869927_fullText_1","25818870_fullText_1","23617879_fullText_1","23765441_fullText_1","8937340_fullText_12","7614089_fullText_1","7710370_fullText_1"]	Ataxias, Hereditary	C0004138
Machado-Joseph Disease	C0024408	ISA	["36822548_fullText_2","34706018_fullText_1","31575582_fullText_1","30147021_fullText_1","29427107_fullText_1","26298474_fullText_1","25222595_fullText_1","24604677_fullText_1","23879331_fullText_1","24356267_fullText_1","23775899_fullText_1","22832131_fullText_1","19429074_fullText_1","17963092_fullText_1","17234717_fullText_1","16389311_fullText_3","16126176_fullText_1","15895556_fullText_1","15876340_fullText_1","15824264_fullText_1","15504352_fullText_1","15316156_fullText_1","12614314_fullText_1","12360550_fullText_1","11968740_fullText_1","11593289_fullText_1","9254842_fullText_1","8912491_fullText_1","8882886_fullText_1","8904248_fullText_1","7611728_fullText_4","7633439_fullText_1"]	Ataxia, Spinocerebellar	C0087012
Machado-Joseph Disease	C0024408	ISA	["12220693_fullText_1"]	Movement Disorders	C0026650
Machado-Joseph Disease	C0024408	ISA	["37445783_fullText_1","35426040_fullText_1","35837753_fullText_3","34397117_fullText_1","33741019_fullText_1","27600091_fullText_1","12938149_fullText_1"]	Rare Diseases	C0678236
Machado-Joseph Disease	C0024408	ISA	["26123252_fullText_1","23887934_fullText_4"]	nervous system disorder	C0027765
Machado-Joseph Disease	C0024408	ISA	["12667168_fullText_1"]	Spinocerebellar Degeneration	C0037952
Machado-Joseph Disease	C0024408	AFFECTS	["25267338_fullText_5"]	Spinocerebellar Ataxia Type 6 (disorder)	C0752124
Machado-Joseph Disease	C0024408	PREDISPOSES	["21334959_fullText_10"]	Parkinsonian Disorders	C0242422
Machado-Joseph Disease	C0024408	PREDISPOSES	["21225141_fullText_1"]	Oropharyngeal Dysphagia	C0267071
Machado-Joseph Disease	C0024408	CAUSES__SPEC__	["35042771_fullText_11"]	brain dysfunction	C0262405
Machado-Joseph Disease	C0024408	CAUSES__SPEC__	["29725949_fullText_1"]	Cerebellar Diseases	C0007760
Machado-Joseph Disease	C0024408	ASSOCIATED_WITH__SPEC__	["27689815_fullText_1"]	Hereditary Neurodegenerative Disorder	C3273225
Machado-Joseph Disease	C0024408	ASSOCIATED_WITH__SPEC__	["31004074_fullText_3"]	Friedreich Ataxia	C0016719
Machado-Joseph Disease	C0024408	ASSOCIATED_WITH__SPEC__	["31004074_fullText_3"]	Essential Tremor	C0270736
Machado-Joseph Disease	C0024408	ASSOCIATED_WITH__SPEC__	["31004074_fullText_3"]	Syndrome	C0039082
Machado-Joseph Disease	C0024408	ASSOCIATED_WITH__SPEC__	["31004074_fullText_3"]	Shy-Drager Syndrome	C0037019
Machado-Joseph Disease	C0024408	MANIFESTATION_OF	["17390258_fullText_4"]	Cardiac Arrest	C0018790
Machado-Joseph Disease	C0024408	MANIFESTATION_OF	["9217978_fullText_3"]	Neurodegenerative Disorders	C0524851
Machado-Joseph Disease	C0024408	IS_A		Ataxia, Spinocerebellar	C0087012
Spinocerebellar Ataxia Type 1	C0752120	COEXISTS_WITH	["9629399_fullText_5"]	Cardiac Arrest	C0018790
Spinocerebellar Ataxia Type 1	C0752120	COEXISTS_WITH	["18685131_fullText_5"]	Spinocerebellar Ataxia Type 6 (disorder)	C0752124
Spinocerebellar Ataxia Type 1	C0752120	CAUSES	["9629399_fullText_10","8559378_fullText_8"]	Cardiac Arrest	C0018790
Spinocerebellar Ataxia Type 1	C0752120	ISA	["7741996_fullText_1"]	Neuromuscular Diseases	C0027868
Spinocerebellar Ataxia Type 1	C0752120	ISA	["31669734_fullText_2","19659750_fullText_2","18685131_fullText_7","8968739_fullText_1"]	Ataxia, Spinocerebellar	C0087012
Spinocerebellar Ataxia Type 1	C0752120	ISA	["24675225_fullText_1","9048937_fullText_1"]	Neurodegenerative Disorders	C0524851
Pelvic Inflammatory Disease	C0242172	IS_A		Female Genital Diseases	C0017411
Deglutition Disorders	C0011168	COEXISTS_WITH	["30029642_fullText_22"]	Acute viral disease	C1443953
Deglutition Disorders	C0011168	COEXISTS_WITH	["18797171_fullText_1"]	Myasthenic Syndromes, Congenital	C0751882
Deglutition Disorders	C0011168	COEXISTS_WITH	["23515636_fullText_8"]	Spinocerebellar Ataxia Type 6 (disorder)	C0752124
Deglutition Disorders	C0011168	COEXISTS_WITH	["26618669_fullText_4"]	Machado-Joseph Disease	C0024408
Deglutition Disorders	C0011168	CAUSES	["36093993_fullText_4"]	Failure to Thrive	C0015544
