Disease1	Disease1_id	RELATION	PROVENANCE	Disease2	Disease2_id
Hereditary fructose intolerance syndrome	C0016751	IS_A		Carbohydrate Metabolism, Inborn Errors	C0007001
Hereditary fructose intolerance syndrome	C0016751	COEXISTS_WITH	["10370757_fullText_3"]	Syndrome	C0039082
Congenital Disorder Of Glycosylation, Type IIB	C1853736	CAUSES	["33261925_fullText_2"]	Refractory epilepsy	C1096063
Congenital Disorder Of Glycosylation, Type IIB	C1853736	COEXISTS_WITH	["35137040_fullText_7"]	Hypogammaglobulinemia	C0086438
Hypogammaglobulinemia	C0086438	IS_A		Other selective immunoglobulin deficiencies	C0154276
Hypogammaglobulinemia	C0086438	COEXISTS_WITH	["31744540_fullText_2"]	Dystrophia myotonica 1	C2931688
Hydronephrosis	C0020295	IS_A		Urinary tract obstruction	C0178879
Leukopenia	C0023530	IS_A		Leukocyte Disorders	C0023510
CONGENITAL DISORDER OF GLYCOSYLATION, TYPE Ii	C1842836	ISA	["34943782_fullText_235"]	Rare Diseases	C0678236
CONGENITAL DISORDER OF GLYCOSYLATION, TYPE Ii	C1842836	ISA	["24348268_fullText_8"]	Syndrome	C0039082
Ichthyoses	C0020757	ISA	["29721919_fullText_5"]	Infantile disease	C0277560
Ichthyoses	C0020757	ISA	["32147747_fullText_17"]	Syndrome	C0039082
Ichthyoses	C0020757	ISA	["32147747_fullText_140"]	Congenital Disorders	C0242354
Lymphopenia	C0024312	IS_A		Leukopenia	C0023530
Glycogen Storage Disease XIV	C2752015	ISA	["33342467_fullText_1"]	Congenital Disorders	C0242354
Glycogen Storage Disease XIV	C2752015	CAUSES	["22976764_fullText_7"]	nervous system disorder	C0027765
Antithrombin III Deficiency	C0272375	IS_A		Thrombophilia	C0398623
Antithrombin III Deficiency	C0272375	COEXISTS_WITH	["32530140_fullText_31"]	IgG Deficiency	C0162539
Congenital Disorders of Glycosylation	C0282577	ISA	["9235566_fullText_1","8923302_fullText_1","8982953_fullText_1","8549746_fullText_1","8530628_fullText_1","7477867_fullText_1"]	Hereditary Diseases	C0019247
Congenital Disorders of Glycosylation	C0282577	ISA	["10698281_fullText_1"]	Rare Diseases	C0678236
Congenital Disorders of Glycosylation	C0282577	IS_A		Carbohydrate Metabolism, Inborn Errors	C0007001
Congenital dyserythropoietic anemia, type II	C1306589	IS_A		Congenital dyserythropoietic anemia	C0002876
Congenital dyserythropoietic anemia	C0002876	IS_A		Anemia, Hemolytic, Congenital	C0002881
Galloway Mowat syndrome	C0795949	IS_A		Syndrome	C0039082
Arthrogryposis renal dysfunction cholestasis syndrome	C1859722	ISA	["32147747_fullText_135"]	Syndrome	C0039082
Dyserythropoietic anemia	C0678199	MANIFESTATION_OF	["11529501_fullText_4"]	Congenital dyserythropoietic anemia, type II	C1306589
Afebrile seizure	C0863106	CAUSES	["35308014_fullText_162"]	Hypoglycemia	C0020615
Hepatic Vein Thrombosis	C0019154	IS_A		Vascular disorder of liver	C0400923
CONGENITAL DISORDER OF GLYCOSYLATION, TYPE Ix	C3810067	MANIFESTATION_OF	["12907065_fullText_2"]	Intestinal Diseases	C0021831
CONGENITAL DISORDER OF GLYCOSYLATION, TYPE Ix	C3810067	MANIFESTATION_OF	["12907065_fullText_2"]	Failure to Thrive	C0015544
Fucosidase Deficiency Disease	C0016788	IS_A		Lysosomal Storage Diseases	C0085078
Syringomyelia	C0039144	IS_A		Spinal Cord Diseases	C0037928
Dandy-Walker Syndrome	C0010964	IS_A		Cerebellar Diseases	C0007760
Dandy-Walker Syndrome	C0010964	COEXISTS_WITH	["8368252_fullText_3"]	Syndrome	C0039082
Dandy-Walker Syndrome	C0010964	CAUSES	["11930273_fullText_1"]	Macrocephaly	C0221355
Pfaundler-Hurler Syndrome	C0086795	IS_A		Mucopolysaccharidosis I	C0023786
Protein S Deficiency	C0242666	IS_A		Thrombophilia	C0398623
Congenital nephrotic syndrome	C0268713	COEXISTS_WITH	["28188379_fullText_7","32470267_fullText_1","30120985_fullText_1"]	Pierson syndrome	C1836876
Congenital nephrotic syndrome	C0268713	COEXISTS_WITH	["32295525_fullText_1"]	Rare Diseases	C0678236
Congenital nephrotic syndrome	C0268713	OCCURS_IN	["8982953_fullText_7"]	Syndrome	C0039082
Ovarian failure	C0747102	COEXISTS_WITH	["25807530_fullText_97"]	Premature Menopause	C0025322
Ovarian failure	C0747102	COEXISTS_WITH	["25807530_fullText_97"]	Gonadal dysgenesis XX type deafness	C0685838
Cholestasis	C0008370	IS_A		Bile Duct Diseases	C0005395
Asphyxia Neonatorum	C0004045	IS_A		Other respiratory system diseases	C0029582
Glucocorticoid deficiency with achalasia	C0271742	COEXISTS_WITH	["35665995_fullText_43"]	Congenital absence of adrenal gland	C0266273
Glucocorticoid deficiency with achalasia	C0271742	COEXISTS_WITH	["30740912_fullText_50"]	Adrenal gland hypofunction	C0001623
Glucocorticoid deficiency with achalasia	C0271742	ISA	["35665995_fullText_2"]	Congenital Disorders	C0242354
Lactose Intolerance	C0022951	IS_A		Carbohydrate Metabolism, Inborn Errors	C0007001
UDPglucose 4-epimerase deficiency disease	C0751161	IS_A		Galactosemias	C0016952
X-Linked Combined Immunodeficiency Diseases	C1279481	IS_A		Severe Combined Immunodeficiency	C0085110
Subclinical Seizure	C0751112	ISA	["32576142_fullText_2","32576142_fullText_3"]	Epilepsy	C0014544
Chronic granulomatous disease	C0018203	IS_A		Phagocyte Bactericidal Dysfunction	C0031306
Chronic granulomatous disease	C0018203	ISA	["22115835_fullText_1"]	Congenital Disorders	C0242354
Classical galactosemia	C0268151	CAUSES	["37572839_fullText_1"]	Metabolic Diseases	C0025517
Classical galactosemia	C0268151	CAUSES__SPEC__	["37572839_fullText_1"]	Galactosemias	C0016952
Classical galactosemia	C0268151	IS_A		Galactosemias	C0016952
Hydrops Fetalis, Non-Immune	C0455988	COEXISTS_WITH	["31420886_fullText_10"]	Hypertrophic Cardiomyopathy	C0007194
Hydrops Fetalis, Non-Immune	C0455988	COEXISTS_WITH	["31420886_fullText_10"]	Atrophy of cerebellum	C0740279
Optic Disk Drusen	C0029128	IS_A		Disorder of the optic nerve	C0029132
Optic Disk Drusen	C0029128	COEXISTS_WITH	["31638560_fullText_9"]	Syndrome	C0039082
Epstein-Barr Virus Infections	C0149678	IS_A		Virus Diseases	C0042769
Epstein-Barr Virus Infections	C0149678	COEXISTS_WITH	["31036665_fullText_6"]	Primary immune deficiency disorder	C0398686
Blepharophimosis	C0005744	IS_A		Eyelid Diseases	C0015423
Addison Disease	C0001403	IS_A		Adrenal cortical hypofunction	C0405580
Visual cortex dysfunction	C0234398	IS_A		Disorder of visual pathways	C0155287
Niemann-Pick Diseases	C0028064	ISA	["37999680_fullText_1","37956788_fullText_1"]	Lysosomal Storage Diseases	C0085078
Niemann-Pick Diseases	C0028064	IS_A		Sphingolipidoses	C0037899
Aspartylglucosaminuria	C0268225	IS_A		Lysosomal Storage Diseases	C0085078
Cystic kidney	C0022679	IS_A		Kidney Diseases	C0022658
Hydrops Fetalis	C0020305	COEXISTS_WITH__SPEC__	["20033294_fullText_9"]	Peroxisomal Disorders	C0282528
Congenital disorder of glycosylation type 1K	C2931005	ISA	["26335155_fullText_1"]	Congenital Disorders	C0242354
Chondrodysplasia Punctata	C0008445	IS_A		Syndrome	C0039082
Glycogen storage disease type II	C0017921	ISA	["33035415_abstract_1"]	Lysosomal Storage Diseases	C0085078
Glycogen storage disease type II	C0017921	IS_A		Glycogen Storage Disease	C0017919
Desbuquois syndrome	C0432242	IS_A		Osteochondrodysplasias	C0029422
Leukocyte adhesion deficiency type 1	C0398738	ISA	["25239688_fullText_2"]	Congenital leukocyte adherence deficiency	C0272187
Short Bowel Syndrome	C0036992	IS_A		Intestinal Diseases	C0021831
Ehlers-Danlos Syndrome	C0013720	IS_A		Collagen Diseases	C0009326
DiGeorge Syndrome	C0012236	IS_A		Syndrome	C0039082
Inherited cutis laxa	C0432334	COEXISTS_WITH	["21431621_fullText_4"]	Metabolic Diseases	C0025517
Wasting	C0235394	COEXISTS_WITH	["19725456_fullText_5"]	Autosomal dominant hereditary disorder	C0265385
Vitamin K Deficiency	C0042880	COEXISTS_WITH	["32545860_fullText_4"]	Phenylketonurias	C0031485
Vitamin K Deficiency	C0042880	IS_A		Deficiency Diseases	C0011156
Vitamin K Deficiency	C0042880	PREDISPOSES	["29139025_fullText_95"]	Blood Coagulation Disorders	C0005779
Krause-Kivlin syndrome	C0796012	ISA	["18720094_fullText_1"]	Rare Diseases	C0678236
Krause-Kivlin syndrome	C0796012	LOCATION_OF	["18720094_fullText_1"]	Congenital Disorders	C0242354
Panhypopituitarism	C0242343	IS_A		Hypopituitarism	C0020635
Panhypopituitarism	C0242343	AUGMENTS	["18156285_fullText_6"]	Congenital Disorders	C0242354
Panhypopituitarism	C0242343	AUGMENTS	["18156285_fullText_6"]	Beckwith-Wiedemann Syndrome	C0004903
Beckwith-Wiedemann Syndrome	C0004903	IS_A		Syndrome	C0039082
Pseudotumor Cerebri	C0033845	IS_A		Intracranial Hypertension	C0151740
Cor pulmonale	C0034072	IS_A		Congestive heart failure	C0018802
Pseudo-Zellweger syndrome	C1533628	IS_A		Amino Acid Metabolism, Inborn Errors	C0002514
Pseudo-Zellweger syndrome	C1533628	AFFECTS	["8184191_fullText_4"]	Zellweger Syndrome	C0043459
Pseudo-Zellweger syndrome	C1533628	ISA	["8184191_fullText_4"]	Zellweger Syndrome	C0043459
Zellweger Spectrum	C3658299	COEXISTS_WITH	["16141001_fullText_4"]	Peroxisome Biogenesis Disorder, Complementation Group 1	C1865803
Zellweger Spectrum	C3658299	ISA	["20828389_fullText_8"]	Congenital Disorders	C0242354
Zellweger Spectrum	C3658299	ISA	["31227335_fullText_1"]	Peroxisomal Disorders	C0282528
Peroxisome biogenesis disorders	C1832200	ISA	["10332040_fullText_1","26750748_fullText_1"]	Hereditary Diseases	C0019247
Chondrodysplasia Punctata, Rhizomelic	C0282529	ISA	["7544797_fullText_1"]	Hereditary Diseases	C0019247
Chondrodysplasia Punctata, Rhizomelic	C0282529	IS_A		Chondrodysplasia Punctata	C0008445
Corneal Ulcer	C0010043	IS_A		Keratitis	C0022568
Zellweger Syndrome	C0043459	COEXISTS_WITH	["2464339_fullText_6"]	Infantile Refsum Disease (disorder)	C0282527
Zellweger Syndrome	C0043459	LOCATION_OF	["1705185_fullText_2"]	Infantile Refsum Disease (disorder)	C0282527
Zellweger Syndrome	C0043459	LOCATION_OF	["30656921_fullText_5"]	Peroxisomal Disorders	C0282528
Zellweger Syndrome	C0043459	LOCATION_OF	["1705185_fullText_2"]	Adrenoleukodystrophy, Neonatal	C0282525
Zellweger Syndrome	C0043459	ISA	["34884833_fullText_29"]	Peroxisome biogenesis disorders	C1832200
Zellweger Syndrome	C0043459	ISA	["21848015_fullText_1","16484405_fullText_1","12808498_fullText_1"]	Peroxisomal Disorders	C0282528
Zellweger Syndrome	C0043459	ISA	["12473763_fullText_2"]	Infantile Refsum Disease (disorder)	C0282527
Zellweger Syndrome	C0043459	ISA	["12473763_fullText_2"]	Adrenoleukodystrophy, Neonatal	C0282525
Zellweger Syndrome	C0043459	ISA	["11270189_fullText_1"]	Autosomal recessive hereditary disorder	C0265388
Zellweger Syndrome	C0043459	ISA	["1735522_fullText_1"]	Syndrome	C0039082
Zellweger Syndrome	C0043459	ISA	["28452594_fullText_1","15685158_fullText_4"]	Rare Diseases	C0678236
Zellweger Syndrome	C0043459	ISA	["10986890_fullText_1","9288097_fullText_1","7510868_fullText_1","7544797_fullText_1"]	Hereditary Diseases	C0019247
Zellweger Syndrome	C0043459	LOCATION_OF__SPEC__	["10480353_fullText_3"]	Zellweger Spectrum	C3658299
Adrenoleukodystrophy, Neonatal	C0282525	COEXISTS_WITH	["10562279_fullText_10"]	Infantile Refsum Disease (disorder)	C0282527
Adrenoleukodystrophy, Neonatal	C0282525	COEXISTS_WITH	["3071794_fullText_8"]	Chondrodysplasia Punctata, Rhizomelic	C0282529
Adrenoleukodystrophy, Neonatal	C0282525	ISA	["26627182_fullText_13"]	Peroxisomal Disorders	C0282528
Adrenoleukodystrophy, Neonatal	C0282525	ISA	["23798008_fullText_3","1710072_fullText_2","2472665_fullText_5","28784167_fullText_51"]	Zellweger Syndrome	C0043459
Adrenoleukodystrophy, Neonatal	C0282525	ISA	["8914632_fullText_3","1702833_fullText_2","2474624_fullText_2"]	Adrenoleukodystrophy	C0162309
Adrenoleukodystrophy, Neonatal	C0282525	ISA	["7510868_fullText_1","7544797_fullText_1"]	Hereditary Diseases	C0019247
Macular Edema, Cystoid	C0024440	IS_A		Macular retinal edema	C0271051
Gangliosidoses	C0017083	IS_A		Sphingolipidoses	C0037899
Embryopathies	C0013949	AFFECTS	["27898272_fullText_1"]	Hyperphenylalaninaemia	C0751435
Deficiency of monooxygenase	C1291314	CAUSES	["7766943_fullText_1"]	Phenylketonurias	C0031485
Infantile Refsum Disease (disorder)	C0282527	COEXISTS_WITH	["3071794_fullText_8"]	Chondrodysplasia Punctata, Rhizomelic	C0282529
Infantile Refsum Disease (disorder)	C0282527	ISA	["26627182_fullText_13"]	Peroxisomal Disorders	C0282528
Infantile Refsum Disease (disorder)	C0282527	ISA	["23798008_fullText_3","2464339_fullText_6","28784167_fullText_51"]	Zellweger Syndrome	C0043459
Infantile Refsum Disease (disorder)	C0282527	ISA	["10332040_fullText_1","7510868_fullText_1","7544797_fullText_1"]	Hereditary Diseases	C0019247
Infantile Refsum Disease (disorder)	C0282527	AFFECTS__SPEC__	["8184191_fullText_4"]	Zellweger Syndrome	C0043459
Infantile Refsum Disease (disorder)	C0282527	IS_A		Peroxisomal Disorders	C0282528
Usher Syndrome	C0271097	IS_A		Syndrome	C0039082
Usher Syndrome	C0271097	COEXISTS_WITH	["26287655_fullText_82"]	Retinitis Pigmentosa	C0035334
Carnitine-Acylcarnitine Translocase Deficiency	C0342791	IS_A		Lipid Metabolism, Inborn Errors	C0023772
Peroxisomal ACYL-COA oxidase deficiency	C1849678	IS_A		Peroxisomal Disorders	C0282528
Peroxisomal ACYL-COA oxidase deficiency	C1849678	ISA	["11734571_fullText_5"]	Adrenoleukodystrophy	C0162309
Mucopolysaccharidosis IV	C0026707	IS_A		Mucopolysaccharidoses	C0026703
Refsum Disease	C0034960	IS_A		Lipid Metabolism, Inborn Errors	C0023772
heterozygous x-ald	C2030892	ISA	["9639664_fullText_2"]	Adrenoleukodystrophy	C0162309
Progressive intrahepatic cholestasis (disorder)	C0268312	IS_A		Intrahepatic Cholestasis	C0008372
Xanthomatosis	C0043325	IS_A		Other disorders of lipoid metabolism	C0029591
Biliary Atresia	C0005411	IS_A		Cholestasis	C0008370
Anus, Imperforate	C0003466	IS_A		Anus Diseases	C0003462
Acatalasia	C0268419	IS_A		Peroxisomal Disorders	C0282528
Xanthomatosis, Cerebrotendinous	C0238052	IS_A		Xanthomatosis	C0043325
Myopathies, Nemaline	C0206157	ISA	["22392505_fullText_2"]	Myopathy	C0026848
alpha 1-Antitrypsin Deficiency	C0221757	IS_A		Other disorders of plasma protein metabolism	C0029594
Cholangitis, Sclerosing	C0008313	IS_A		Cholangitis	C0008311
Primary hyperoxaluria, type I	C0268164	IS_A		Primary Hyperoxaluria	C0020501
Cerebral disorder	C0234387	COEXISTS_WITH	["26693825_fullText_131"]	Glutaric aciduria, type 1	C0268595
Nephrocalcinosis	C0027709	IS_A		Kidney Diseases	C0022658
Nephrocalcinosis	C0027709	COEXISTS_WITH	["35741019_fullText_69"]	Cholestasis	C0008370
Nephrocalcinosis	C0027709	COEXISTS_WITH	["35741019_fullText_69"]	Fibrosis, Liver	C0239946
Dystrophia myotonica 2	C2931689	COEXISTS_WITH	["22131273_fullText_2","22131273_fullText_120"]	Dystrophia myotonica 1	C2931688
Dystrophia myotonica 2	C2931689	ISA	["12902021_fullText_1"]	Myopathy	C0026848
Dystrophia myotonica 2	C2931689	ISA	["7826272_fullText_6"]	Hereditary Diseases	C0019247
myotonic muscular dystrophy	C0242007	CAUSES	["8525657_fullText_1"]	Intestinal Pseudo-Obstruction	C0021847
myotonic muscular dystrophy	C0242007	CAUSES	["8550617_fullText_1"]	Muscular Atrophy	C0026846
Myotonic Disorders	C0553604	COEXISTS_WITH	["22643181_fullText_1","22643181_fullText_0"]	Multisystem disorder	C0559758
Myotonic Disorders	C0553604	IS_A		Muscular Dystrophy	C0026850
Myotonic Disorders	C0553604	IS_A		Myotonic Disorders	C0553604
Centronuclear myopathy	C0175709	IS_A		Congenital Structural Myopathy	C0752282
Fabry Disease	C0002986	COEXISTS_WITH	["37629768_fullText_2"]	Cardiovascular Diseases	C0007222
Fabry Disease	C0002986	CAUSES	["31981984_abstract_1"]	Lysosomal Storage Diseases	C0085078
Fabry Disease	C0002986	ISA	["31987665_abstract_1"]	Genetic Diseases, X-Linked	C1138434
Fabry Disease	C0002986	ISA	["38212814_fullText_1","37578052_fullText_1","37507215_fullText_8","37419447_fullText_1","38212814_abstract_1"]	Rare Diseases	C0678236
Fabry Disease	C0002986	ISA	["37629768_fullText_2"]	Kidney Diseases	C0022658
Fabry Disease	C0002986	ISA	["37528032_fullText_1"]	Hereditary Diseases	C0019247
Fabry Disease	C0002986	ISA	["35831104_fullText_1","37499686_fullText_1","37496179_fullText_1","32023956_abstract_1"]	Lysosomal Storage Diseases	C0085078
Fabry Disease	C0002986	IS_A		Sphingolipidoses	C0037899
Myotonia Congenita	C0027127	AFFECTS	["28344438_fullText_17"]	Syndrome	C0039082
Myotonia Congenita	C0027127	AFFECTS	["28344438_fullText_17"]	Metabolic myopathy	C0270984
Polymyositis	C0085655	ISA	["11045674_fullText_1"]	Autoimmune Diseases	C0004364
Interstitial myositis	C0158362	IS_A		Myositis	C0027121
Rubeosis iridis	C0154916	IS_A		Retinal Diseases	C0035309
Schwartz-Jampel Syndrome	C0036391	LOCATION_OF	["37231731_fullText_4","37231731_fullText_5","37231731_abstract_4","37231731_abstract_5"]	Toxic Epidermal Necrolysis	C0014518
Schwartz-Jampel Syndrome	C0036391	ISA	["525255_fullText_1"]	Rare Diseases	C0678236
Becker Muscular Dystrophy	C0917713	ISA	["26786644_fullText_1"]	Myopathy	C0026848
Becker Muscular Dystrophy	C0917713	ISA	["9894134_fullText_4"]	Neuropathy	C0442874
Becker Muscular Dystrophy	C0917713	ISA	["17092719_fullText_4"]	Muscular Dystrophy	C0026850
Myotonic cataract	C0027128	IS_A		Other cataract	C0029531
Lateral Sclerosis	C0154682	IS_A		Motor Neuron Disease	C0085084
Neonatal respiratory failure	C0521648	IS_A		Acute respiratory failure	C0264490
hypoventilation syndrome	C0745186	CAUSES	["198896_fullText_3"]	Respiratory Failure	C1145670
Malignant hyperpyrexia due to anesthesia	C0024591	PREDISPOSES	["29390978_fullText_32"]	metabolic disturbance	C0746556
Congenital Myotonic Dystrophy	C0410226	CAUSES	["1550167_fullText_3"]	Hydrops Fetalis, Non-Immune	C0455988
Congenital Myotonic Dystrophy	C0410226	ISA	["11424842_fullText_1"]	Rare Diseases	C0678236
Congenital Myotonic Dystrophy	C0410226	MANIFESTATION_OF	["8240694_fullText_1"]	Multisystem disorder	C0559758
Congenital Myotonic Dystrophy	C0410226	COMPLICATES	["11248461_fullText_1"]	Hydrocephalus	C0020255
Lymphocytic Choriomeningitis	C0024266	IS_A		Encephalopathies	C0085584
Lymphocytic Choriomeningitis	C0024266	CAUSES	["23666741_fullText_6"]	Myotonic Dystrophy	C0027126
Megacolon	C0025160	IS_A		Colonic Diseases	C0009373
Megacolon	C0025160	CAUSES	["2456246_fullText_1"]	Myotonic Dystrophy	C0027126
Megacolon	C0025160	COEXISTS_WITH	["9396035_fullText_5","9396035_fullText_12"]	Myotonic Dystrophy	C0027126
Gonadal Disorders	C0018050	IS_A		Endocrine System Diseases	C0014130
Chickenpox	C0008049	IS_A		Virus Diseases	C0042769
Sick Sinus Syndrome	C0037052	COMPLICATES	["8785450_fullText_2"]	Myotonic Dystrophy	C0027126
Sick Sinus Syndrome	C0037052	ISA	["8785450_fullText_1"]	Heart Diseases	C0018799
Gyrate Atrophy	C0018425	IS_A		Choroid Diseases	C0008521
Esophageal Diseases	C0014852	IS_A		Digestive System Disorders	C0012242
Esophageal Diseases	C0014852	COEXISTS_WITH	["3817383_fullText_6"]	Gastroparesis	C0152020
Esophageal Diseases	C0014852	COEXISTS_WITH	["3817383_fullText_6"]	Myotonic Dystrophy	C0027126
Hereditary Motor and Sensory Neuropathies	C0027888	IS_A		Neuropathy	C0442874
Lung Abscess	C0024110	IS_A		Lung diseases	C0024115
Pseudohypoparathyroidism	C0033806	IS_A		Metal Metabolism, Inborn Errors	C0025534
Hypoparathyroidism	C0020626	IS_A		Parathyroid Diseases	C0030517
Atrophy of testis	C0156312	IS_A		Testicular Diseases	C0039584
Atrophy of testis	C0156312	COEXISTS_WITH	["3927876_fullText_1","163179_fullText_1","163179_fullText_4"]	Myotonic Dystrophy	C0027126
Sensory Neuropathy, Hereditary	C0699739	IS_A		Neuropathy	C0442874
Heart Block	C0018794	ISA	["25873781_fullText_2","28344440_fullText_0"]	Heart Diseases	C0018799
Panuveitis	C0030343	IS_A		Uveitis	C0042164
Nesidioblastosis	C0027773	IS_A		Hypoglycemia	C0020615
Isaacs syndrome	C0242287	ISA	["1676468_fullText_1"]	Rare Diseases	C0678236
Cockayne Syndrome	C0009207	IS_A		Syndrome	C0039082
Tabes Dorsalis	C0039223	IS_A		Neurosyphilis	C0027927
Limb-girdle muscular dystrophy type 2A	C1869123	ISA	["29441734_fullText_54"]	Muscular Dystrophy	C0026850
Limb-girdle muscular dystrophy type 2A	C1869123	ISA	["20177980_fullText_2"]	Muscular Dystrophies, Limb-Girdle	C0686353
Muscular Dystrophy, Emery-Dreifuss	C0410189	IS_A		Muscular Dystrophy	C0026850
Muscular Dystrophy, Emery-Dreifuss	C0410189	MANIFESTATION_OF	["28344440_fullText_46"]	Atrial Fibrillation	C0004238
Muscular Dystrophy, Emery-Dreifuss	C0410189	ISA	["24021317_fullText_5"]	Myopathy	C0026848
Exposure keratoconjunctivitis	C0339295	IS_A		Keratoconjunctivitis	C0022573
Encephaloclastic Proliferative Vasculopathy	C1856972	IS_A		Syndrome	C0039082
Hydrocephalus, Normal Pressure	C0020258	IS_A		Communicating Hydrocephalus	C0009451
Focal myocarditis	C3671051	PREDISPOSES	["23097601_fullText_7"]	cardiac event	C0741923
Gastric Dilatation	C0038353	IS_A		Stomach Diseases	C0038354
Postpoliomyelitis Syndrome	C0080040	IS_A		Poliomyelitis	C0032371
Cholecystolithiasis	C0947622	IS_A		Gall Bladder Diseases	C0016977
Intermittent Claudication	C0021775	IS_A		Arteriosclerosis	C0003850
Arteriosclerosis Obliterans	C0003851	IS_A		Arteriosclerosis	C0003850
Bardet-Biedl Syndrome	C0752166	IS_A		Syndrome	C0039082
fetal damage	C0854268	COEXISTS_WITH	["2622813_fullText_1"]	Phenylketonurias	C0031485
fetal damage	C0854268	COEXISTS_WITH	["2122124_fullText_4","3326736_fullText_5"]	Phenylketonuria, Maternal	C0085547
Hyperkalemic periodic paralysis	C0238357	IS_A		Familial Periodic Paralysis	C0030443
Polycythemia	C0032461	IS_A		Bone Marrow Diseases	C0005956
Pulmonary Valve Stenosis	C0034089	IS_A		Pulmonary Valve Disorder	C0034087
Disease of capillaries	C0155765	IS_A		Spinal Cord Ischemia	C0752130
Disorder of skeletal muscle	C1533847	ISA	["33522148_fullText_1"]	Myotonic Dystrophy	C0027126
Chronic respiratory insufficiency	C1998122	COEXISTS_WITH	["8758587_fullText_1"]	Dystrophia myotonica 1	C2931688
Chronic respiratory insufficiency	C1998122	COEXISTS_WITH	["8758587_fullText_1"]	Myotonic Disorders	C0553604
Pneumatosis Cystoides Intestinalis	C0032266	IS_A		Intestinal Diseases	C0021831
Pena-Shokeir syndrome type I	C1276035	IS_A		Syndrome	C0039082
Pena-Shokeir syndrome type I	C1276035	ISA	["7606895_fullText_1"]	Pena-Shokeir phenotype	C0265228
Pena-Shokeir syndrome type I	C1276035	LOCATION_OF	["7606895_fullText_1"]	Pena-Shokeir phenotype	C0265228
Restrictive lung disease	C0085581	CAUSES	["25156766_fullText_1"]	Ventilatory defect	C0231926
Corticosteroid induced cataract	C1319183	CAUSES	["8064616_fullText_1"]	Low Vision	C0042798
Colitis, Ischemic	C0162529	IS_A		Colitis	C0009319
Pars Planitis	C0030593	IS_A		Chorioretinitis	C0008513
Hypoglossal Nerve Diseases	C0152181	IS_A		Disorders of other cranial nerves	C0154730
Progressive Muscular Atrophy	C0917981	COEXISTS_WITH	["8239562_fullText_1"]	Myotonic Dystrophy	C0027126
Progressive Muscular Atrophy	C0917981	IS_A		Motor Neuron Disease	C0085084
Stomach Volvulus	C0038359	COMPLICATES	["1483675_fullText_2"]	Myotonic Dystrophy	C0027126
Choroideremia	C0008525	IS_A		Choroid Diseases	C0008521
Choroideremia	C0008525	PREDISPOSES	["1455983_fullText_6"]	Hematological Disease	C0018939
Esophageal motility disorders	C0014858	IS_A		Esophageal Diseases	C0014852
Esophageal motility disorders	C0014858	COEXISTS_WITH	["1491894_fullText_4"]	Myotonic Dystrophy	C0027126
Varicocele	C0042341	IS_A		Varicose veins of pelvis	C0155795
Oligospermia	C0028960	IS_A		Male infertility	C0021364
Melkersson-Rosenthal Syndrome	C0025235	IS_A		Facial Nerve Diseases	C0015464
Metabolic myopathy	C0270984	COEXISTS_WITH	["23452772_fullText_3"]	Lipoidosis	C0023794
Mitral Valve Stenosis	C0026269	IS_A		Rheumatic disease of mitral valve	C0264765
Acute pyelonephritis	C0520575	IS_A		Pyelonephritis	C0034186
Reticular dysgenesis	C0272167	IS_A		Severe Combined Immunodeficiency	C0085110
Sjogren-Larsson Syndrome	C0037231	IS_A		Syndrome	C0039082
Sarcoidosis	C0036202	COEXISTS_WITH	["37507215_fullText_4"]	Episcleritis	C0014583
Sarcoidosis	C0036202	COEXISTS_WITH	["37507215_fullText_4"]	Scleritis	C0036416
Sarcoidosis	C0036202	COEXISTS_WITH	["37507215_fullText_4"]	Exophthalmos	C0015300
Familial benign pemphigus	C0085106	IS_A		Pemphigus	C0030807
Dermatomyositis, Childhood Type	C0263666	IS_A		Dermatomyositis	C0011633
Dry Eye Syndromes	C0013238	IS_A		Lacrimal Apparatus Diseases	C0022904
Goiter	C0018021	IS_A		Thyroid Diseases	C0040128
Incomplete left bundle branch block	C0281878	COEXISTS_WITH	["30536153_fullText_7"]	First degree atrioventricular block	C0085614
Nephrosclerosis	C0027719	IS_A		Renal hypertension	C0020544
Seborrheic dermatitis	C0036508	IS_A		Dermatitis	C0011603
Seborrheic dermatitis	C0036508	ISA	["30508964_fullText_6"]	Skin lesion	C0037284
Seborrheic dermatitis	C0036508	OCCURS_IN	["25813338_fullText_7"]	Dystrophia myotonica 1	C2931688
Communicating Hydrocephalus	C0009451	IS_A		Hydrocephalus	C0020255
Thalassemia	C0039730	IS_A		Anemia, Hemolytic	C0002878
Lymphedema distichiasis syndrome	C0265345	IS_A		Syndrome	C0039082
IMMUNODEFICIENCY 13	C3809768	IS_A		Congenital T-Cell Immunodeficiency	C1333147
Idiopathic Hypercatabolic Hypoproteinemia	C0020800	CAUSES	["22572587_fullText_5"]	Lens Opacities	C1510497
Idiopathic Hypercatabolic Hypoproteinemia	C0020800	CAUSES	["22572587_fullText_5"]	Impaired glucose tolerance	C0271650
Familial Mediterranean Fever	C0031069	IS_A		Ankylosing spondylitis and other inflammatory spondylopathies	C0003089
IgG Deficiency	C0162539	IS_A		Dysgammaglobulinemia	C0013374
Papilledema	C0030353	IS_A		Disorder of the optic nerve	C0029132
Keratoconjunctivitis	C0022573	IS_A		Disorder of eye	C0015397
Nephritis	C0027697	IS_A		Kidney Diseases	C0022658
