Disease	Disease_id	RELATION	PROVENANCE	Gene	Gene_id
Medium-chain acyl-coenzyme A dehydrogenase deficiency	C0220710	IS_TREATED	["31937333_abstract_5","31937333_fullText_5"]	IMPACT gene	C1825598
Galactosemias	C0016952	IS_TREATED	["37644541_fullText_44"]	SORD gene	C1420311
Galactosemias	C0016952	IS_TREATED	["37644541_fullText_44"]	PMM2 gene	C1418674
Congenital Hypothyroidism	C0010308	IS_TREATED	["38115737_fullText_4"]	NBN gene	C1334862
CONGENITAL DISORDER OF DEGLYCOSYLATION	C3808991	IS_TREATED	["35565658_fullText_31","35565658_fullText_271","33563880_fullText_7"]	NGLY1 gene	C1425023
Congenital disorder of glycosylation type 1B	C1865145	IS_TREATED	["22838182_fullText_116"]	PIGM gene	C1425829
Myasthenic Syndrome	C0549225	IS_TREATED	["16941657_fullText_5"]	PPAN gene	C1418773
Congenital disorder of glycosylation, type 2G	C2931011	IS_TREATED	["34625039_fullText_9"]	COG1 gene	C1416821
Peroxisome biogenesis disorders	C1832200	IS_TREATED	["26627464_fullText_4"]	PHEX gene	C1418526
Malformations of Cortical Development, Group II	C1837249	IS_TREATED	["10963364_fullText_6"]	DCX gene	C1413938
Fabry Disease	C0002986	IS_TREATED	["37627292_fullText_6"]	GAA gene	C1414899
Malignant hyperpyrexia due to anesthesia	C0024591	IS_TREATED	["1971150_fullText_5"]	RYR1 gene	C1419778
Malignant hyperpyrexia due to anesthesia	C0024591	IS_TREATED	["1970795_fullText_5"]	Candidate Disease Gene	C1332838
Single-Gene Defects	C0037176	IS_TREATED	["11517298_fullText_1"]	PGD gene	C1418504
Kartagener Syndrome	C0022521	IS_TREATED	["11237735_fullText_6"]	Candidate Disease Gene	C1332838
DEAFNESS, AUTOSOMAL RECESSIVE 2	C1838701	IS_TREATED	["25807530_fullText_55"]	MYO7A gene	C1417569
Sandhoff Disease	C0036161	IS_TREATED	["37526361_fullText_4"]	FAM64A gene	C1825121
Oculocerebrorenal Syndrome	C0028860	IS_TREATED	["16106856_fullText_9"]	Cyclic AMP Response Element	C1511573
Anterior segment mesenchymal dysgenesis	C1862839	IS_TREATED	["37453187_fullText_4"]	GPNMB gene	C1415205
Hepatic ascites	C0401037	IS_TREATED	["31933517_abstract_8","31933517_abstract_9"]	ENPP2 gene	C1414408
Deuteranomaly	C3887938	IS_TREATED	["39231983_fullText_53"]	GAD2 gene	C1414926
