Gene1	Gene1_id	RELATION	PROVENANCE	Gene2	Gene2_id
SIRT1 gene	C1423062	STIMULATES	["27165717_fullText_66","27165717_fullText_67"]	ATXN3 gene	C1538301
PJA1 gene	C1424463	STIMULATES	["39320846_fullText_16"]	ATXN3 gene	C1538301
KLF4 gene	C1416660	STIMULATES	["38497605_fullText_142"]	ATXN3 gene	C1538301
SLC6A4 gene	C1420214	COEXISTS_WITH	["33836218_fullText_8"]	CFP gene	C1418482
Orthologous Gene	C1335144	COEXISTS_WITH	["32629928_fullText_76"]	PMM2 gene	C1418674
Orthologous Gene	C1335144	COEXISTS_WITH	["29844506_fullText_14","29844506_fullText_135"]	Genome	C0017428
Orthologous Gene	C1335144	COEXISTS_WITH	["29601977_fullText_183"]	SURF1 gene	C1420527
Orthologous Gene	C1335144	PRODUCES	["21826223_fullText_18"]	PEX16 gene	C1418476
ELF4 gene	C1414377	COEXISTS_WITH	["27827795_fullText_9"]	PEX13 gene	C1418474
ELF4 gene	C1414377	INHIBITS	["30135079_fullText_7","33315951_fullText_80"]	NGLY1 gene	C1425023
ELF4 gene	C1414377	INHIBITS	["30135079_fullText_39"]	NFE2L1 gene	C1417700
ELF4 gene	C1414377	INTERACTS_WITH	["35406718_fullText_285","33315951_fullText_93"]	NGLY1 gene	C1425023
ELF4 gene	C1414377	STIMULATES	["35406718_fullText_243","33315951_fullText_69","33315951_fullText_70"]	NFE2L1 gene	C1417700
ELF4 gene	C1414377	STIMULATES	["35406718_fullText_203"]	TMEM173 gene	C1823437
ELF4 gene	C1414377	STIMULATES	["33315951_fullText_60"]	NGLY1 gene	C1425023
ELF4 gene	C1414377	PRODUCES	["27053713_fullText_29"]	PMM2 gene	C1418674
ELF4 gene	C1414377	PRODUCES	["34849584_fullText_156"]	NDUFS4 gene	C1417647
ELF4 gene	C1414377	compared_with	["35406718_fullText_322","30135079_fullText_21"]	NGLY1 gene	C1425023
ELF4 gene	C1414377	compared_with	["35406718_fullText_320","33315011_fullText_34"]	ELF4 gene	C1414377
ELF4 gene	C1414377	higher_than	["33315011_fullText_34"]	ELF4 gene	C1414377
ELF4 gene	C1414377	CONVERTS_TO	["34849584_fullText_168"]	NDUFS4 gene	C1417647
ELF4 gene	C1414377	same_as	["35406718_fullText_322"]	NGLY1 gene	C1425023
Open Reading Frames	C0079941	COEXISTS_WITH	["35023679_fullText_8"]	PAH gene	C1418251
Open Reading Frames	C0079941	COEXISTS_WITH	["34625039_fullText_50"]	COG1 gene	C1416821
Open Reading Frames	C0079941	COEXISTS_WITH	["20819849_fullText_149"]	NDUFS8 gene	C1417651
Open Reading Frames	C0079941	COEXISTS_WITH	["17895983_fullText_14"]	MT-TA gene	C1537998
Open Reading Frames	C0079941	COEXISTS_WITH	["20819849_fullText_149"]	NDUFS2 gene	C1417645
Open Reading Frames	C0079941	COEXISTS_WITH	["32165824_fullText_132"]	GUCY2D gene	C1415364
Open Reading Frames	C0079941	COEXISTS_WITH	["33542212_fullText_1"]	MAL gene	C1416989
Open Reading Frames	C0079941	COEXISTS_WITH	["19617458_fullText_1"]	Genes, Mitochondrial	C1563761
Open Reading Frames	C0079941	COEXISTS_WITH	["21196529_fullText_1"]	Oxidoreductase Gene	C1335186
Open Reading Frames	C0079941	ISA	["35673953_fullText_4"]	Genome	C0017428
Open Reading Frames	C0079941	INHIBITS	["22956764_fullText_145"]	PMM2 gene	C1418674
Open Reading Frames	C0079941	STIMULATES	["20855289_fullText_144"]	MYOD1 gene	C1417574
Genetic Loci	C0678933	COEXISTS_WITH	["37667390_fullText_50"]	SURF1 gene	C1420527
Genetic Loci	C0678933	COEXISTS_WITH	["26565911_fullText_8"]	LRPPRC gene	C1423677
Genetic Loci	C0678933	PRODUCES	["9579395_fullText_1"]	DMPK gene	C1414085
LINC01194 gene	C1710492	STIMULATES	["10562279_fullText_48"]	ATP6AP1 gene	C1412687
LINC01194 gene	C1710492	PRODUCES	["37848450_fullText_84"]	DDOST gene	C1413949
Genes, Mitochondrial	C1563761	COEXISTS_WITH	["32371897_fullText_83"]	Open Reading Frames	C0079941
Genes, Mitochondrial	C1563761	COEXISTS_WITH	["23953430_fullText_9"]	MT-ND2 gene	C1537990
Genes, Mitochondrial	C1563761	COEXISTS_WITH	["22947169_fullText_7"]	MT-ND5 gene	C1537994
Genome, Human	C0017429	COEXISTS_WITH	["39320846_fullText_51"]	Genetic Materials	C0440471
USP7 gene	C1421408	INHIBITS	["33170804_fullText_4"]	CEL gene	C1413336
FOXG1 gene	C0812297	COEXISTS_WITH	["33290777_fullText_8"]	ATXN3 gene	C1538301
Transgenes	C0282641	COEXISTS_WITH	["20959636_fullText_13"]	PEX13 gene	C1418474
Transgenes	C0282641	COEXISTS_WITH	["34120625_fullText_70"]	NGLY1 gene	C1425023
Transgenes	C0282641	COEXISTS_WITH	["20945165_fullText_58"]	Genome	C0017428
Transgenes	C0282641	COEXISTS_WITH	["9241283_fullText_5"]	DMPK gene	C1414085
Transgenes	C0282641	ISA	["33315951_fullText_25"]	Genome	C0017428
Transgenes	C0282641	INHIBITS	["20959636_fullText_13"]	PEX13 gene	C1418474
Transgenes	C0282641	INHIBITS	["30059502_fullText_55"]	TFAM gene	C1420696
Transgenes	C0282641	PRODUCES	["26908607_fullText_99"]	DMPK gene	C1414085
Transgenes	C0282641	PRODUCES	["26908607_fullText_13"]	CEL gene	C1413336
Transgenes	C0282641	PRODUCES	["28623239_fullText_36"]	MBNL1 gene	C1417055
Transgenes	C0282641	PRODUCES	["32703453_fullText_3","20945165_fullText_6"]	ATXN3 gene	C1538301
Transgenes	C0282641	PRODUCES	["20051426_fullText_7"]	CELF1 gene	C1413824
Transgenes	C0282641	compared_with	["26908607_fullText_110"]	DMPK gene	C1414085
Transgenes	C0282641	compared_with	["31968060_fullText_75"]	Transgenes	C0282641
TSPO gene	C1823521	STIMULATES	["33803741_fullText_8"]	DPPA3 gene	C1426084
AR wt Allele	C1705240	COEXISTS_WITH	["33172304_fullText_2"]	HTT gene	C1415504
AR wt Allele	C1705240	COEXISTS_WITH	["8926495_fullText_7"]	ATN1 gene	C1540211
