Disease	Disease_id	RELATION	PROVENANCE	Drug	Drug_id
Chronic urticaria	C0263338	IS_TREATED	["37067147_fullText_4"]	levocetirizine	C1174893
Urticaria	C0042109	IS_TREATED	["37067147_fullText_14"]	levocetirizine	C1174893
Urticaria	C0042109	IS_TREATED	["37067147_fullText_3"]	levocetirizine	C1174893
Migraine Disorders	C0149931	IS_TREATED	["36902177_fullText_2"]	Ergotamine	C0014710
Atrial Fibrillation	C0004238	IS_TREATED	["37229640_fullText_2"]	Anti-Arrhythmia Agents	C0003195
idiopathic hypercalciuria	C0543800	IS_TREATED	["34779371_fullText_11"]	Thiazides	C0541746
Hypertensive disease	C0020538	IS_TREATED	["37439548_fullText_12","34779371_fullText_9"]	Thiazides	C0541746
Nephrolithiasis	C0392525	IS_TREATED	["34779371_fullText_11"]	Thiazides	C0541746
Atrial Fibrillation	C0004238	IS_TREATED	["33826497_fullText_1"]	Warfarin	C0043031
Phenylketonurias	C0031485	IS_TREATED	["26456498_fullText_9"]	Phosphonoacetic Acid	C0031681
Hyperphenylalaninaemia	C0751435	IS_TREATED	["1209606_fullText_8"]	Phosphonoacetic Acid	C0031681
Parkinson Disease	C0030567	IS_TREATED	["37029952_fullText_3","37741697_fullText_7"]	istradefylline	C0673470
Severe visual impairment	C1301509	IS_TREATED	["35143834_fullText_7"]	Raloxifene	C0244404
Acute urticaria	C0234935	IS_TREATED	["34862952_fullText_3"]	Cetirizine	C0055147
Irritable Bowel Syndrome	C0022104	IS_TREATED	["35123085_fullText_7"]	tegaserod	C0537147
Arteriosclerosis	C0003850	IS_TREATED	["35489334_fullText_9"]	Genistein	C0061202
Overactive Bladder	C0878773	IS_TREATED	["34056686_fullText_1","37713027_fullText_3"]	beta3-Adrenergic Agonist [EPC]	C3485978
Chronic Obstructive Airway Disease	C0024117	IS_TREATED	["37800633_fullText_5"]	umeclidinium	C3661274
Chronic Obstructive Airway Disease	C0024117	IS_TREATED	["34489206_fullText_1"]	umeclidinium	C3661274
Asthma	C0004096	IS_TREATED	["37428619_fullText_1"]	umeclidinium	C3661274
Irritable Bowel Syndrome	C0022104	IS_TREATED	["34941040_fullText_7"]	Buspirone	C0006462
Anorexia	C0003123	IS_TREATED	["32357546_fullText_27"]	Buspirone	C0006462
Irritable Bowel Syndrome	C0022104	IS_TREATED	["34941040_fullText_7","34941040_fullText_8"]	Buspirone	C0006462
Chronic Obstructive Airway Disease	C0024117	IS_TREATED	["35915771_fullText_4"]	Roflumilast	C0965618
Chronic Obstructive Airway Disease	C0024117	IS_TREATED	["35915771_fullText_1"]	Roflumilast	C0965618
Asthma	C0004096	IS_TREATED	["35395239_fullText_1"]	Purinergic P1 Receptor Antagonists	C2936829
Chronic Obstructive Airway Disease	C0024117	IS_TREATED	["35395239_fullText_1"]	Purinergic P1 Receptor Antagonists	C2936829
Phenylketonurias	C0031485	IS_TREATED	["17644019_fullText_1"]	whey protein	C0078479
Myotonic Dystrophy	C0027126	IS_TREATED	["8099979_fullText_5","15549982_fullText_3"]	Vecuronium	C0242531
Phenylketonurias	C0031485	IS_TREATED	["37170672_fullText_6"]	nitrate and nitrite	C0883264
Gastrointestinal Diseases	C0017178	IS_TREATED	["37834122_fullText_2"]	flower allergenic extracts	C3540799
Helminthiasis	C0018889	IS_TREATED	["34698395_fullText_4"]	FRUIT EXTRACTS	C0772257
diabetic ulcer	C0743150	IS_TREATED	["37070438_fullText_3","37070438_abstract_3"]	linezolid	C0663241
Neuropathy	C0442874	IS_TREATED	["35227682_fullText_1","35227682_fullText_6"]	tizanidine	C0146011
Phenylketonurias	C0031485	IS_TREATED	["34420302_fullText_4"]	Oleic Acid	C0028928
Painful Bladder Syndrome	C1720830	IS_TREATED	["28916769_fullText_99","9382874_fullText_59"]	Tweens	C0041420
Nocturia	C0028734	IS_TREATED	["36067995_fullText_5"]	desmopressin	C0011701
Nocturia	C0028734	IS_TREATED	["36585172_fullText_4"]	desmopressin	C0011701
Nocturia	C0028734	IS_TREATED	["36067995_fullText_2","36067995_fullText_3","36585172_fullText_4"]	desmopressin	C0011701
Urologic Diseases	C0042075	IS_TREATED	["36059204_fullText_2"]	urapidil	C0077857
Overactive Bladder	C0878773	IS_TREATED	["34191827_fullText_4"]	Cardiovascular Agents	C0007220
Cardiovascular Diseases	C0007222	IS_TREATED	["34779371_fullText_14"]	Cardiovascular Agents	C0007220
Phenylketonurias	C0031485	IS_TREATED	["17644019_fullText_3","3985660_fullText_2"]	Amino Acids, Essential	C0002525
Parasitic Diseases	C0030499	IS_TREATED	["36057136_fullText_1"]	amitraz	C0051692
Obesity	C0028754	IS_TREATED	["35069450_fullText_1"]	GLP-1 Receptor Agonist [EPC]	C2917359
CNS disorder	C0007682	IS_TREATED	["36903593_fullText_4"]	Histamine H3 Agonists	C0162813
Glaucoma	C0017601	IS_TREATED	["34433550_fullText_1","34433550_fullText_4"]	carboxyamido-triazole	C0064494
Glaucoma	C0017601	IS_TREATED	["34433550_fullText_3"]	Prostaglandins, Synthetic	C0033568
Myotonic Dystrophy	C0027126	IS_TREATED	["839494_fullText_1"]	Immunoglobulin G	C0020852
Hypertensive disease	C0020538	IS_TREATED	["37506033_fullText_7"]	darifenacin	C0529351
Myotonic Dystrophy	C0027126	IS_TREATED	["16192734_fullText_12"]	beta adrenergic agent	C0178503
Myotonic Dystrophy	C0027126	IS_TREATED	["18441730_fullText_9"]	Indomethacin	C0021246
Obesity	C0028754	IS_TREATED	["35069450_fullText_1"]	liraglutide	C1456408
Myotonic Disorders	C0553604	IS_TREATED	["1455983_fullText_1"]	Disopyramide	C0012702
Heart failure	C0018801	IS_TREATED	["34779371_fullText_12","36096950_fullText_1"]	Spironolactone	C0037982
Kidney Failure	C0035078	IS_TREATED	["34112223_fullText_9"]	Sotalol	C0037707
Hypertensive disease	C0020538	IS_TREATED	["35855505_fullText_4"]	Sotalol	C0037707
Heart failure	C0018801	IS_TREATED	["37229640_fullText_5"]	Sotalol	C0037707
Alzheimer's Disease	C0002395	IS_TREATED	["35305483_fullText_5"]	Monoamine oxidase B inhibitor	C0595265
nervous system disorder	C0027765	IS_TREATED	["37630420_fullText_9"]	Monoamine oxidase B inhibitor	C0595265
Intestinal Diseases	C0021831	IS_TREATED	["19101627_fullText_6"]	Heparin	C0019134
Anorexia	C0003123	IS_TREATED	["37194534_fullText_6"]	Tranquilizing Agents	C0040614
Respiratory Distress Syndrome, Adult	C0035222	IS_TREATED	["33860730_fullText_6"]	GTS 21	C0258259
Diabetes Mellitus, Non-Insulin-Dependent	C0011860	IS_TREATED	["35293666_fullText_7"]	sitagliptin	C1565750
Parkinson Disease	C0030567	IS_TREATED	["37973769_fullText_18"]	safinamide	C1098261
STUVE-WIEDEMANN SYNDROME	C0796176	IS_TREATED	["35288510_fullText_7"]	AM 2389	C2976633
Diabetes Mellitus, Non-Insulin-Dependent	C0011860	IS_TREATED	["36359767_fullText_1"]	empagliflozin	C3490348
Chronic Obstructive Airway Disease	C0024117	IS_TREATED	["34464242_fullText_8"]	fluticasone	C0082607
Acute Cerebrovascular Accidents	C0751956	IS_TREATED	["34217067_fullText_7"]	Labetalol	C0022860
Hypertensive disease	C0020538	IS_TREATED	["35855505_fullText_4"]	Labetalol	C0022860
Glutaric aciduria, type 1	C0268595	IS_TREATED	["26607633_fullText_7"]	Quinine	C0034417
Hypertensive emergency	C0745136	IS_TREATED	["35389593_fullText_3"]	loteprednol etabonate	C0126177
Thyrotoxicosis	C0040156	IS_TREATED	["36518043_fullText_4"]	ivabradine	C0257190
Stable angina	C0340288	IS_TREATED	["35842897_fullText_3"]	ivabradine	C0257190
Heart failure	C0018801	IS_TREATED	["36941812_fullText_5","36941812_fullText_9"]	ivabradine	C0257190
Syndrome	C0039082	IS_TREATED	["36941812_fullText_5","36941812_fullText_9"]	ivabradine	C0257190
Neurodegenerative Disorders	C0524851	IS_TREATED	["35584767_fullText_4"]	Xanthine derivatives, psychostimulants, agents used for ADHD and nootropics	C3541953
Macular Edema, Cystoid	C0024440	IS_TREATED	["36293220_fullText_104"]	brinzolamide	C0673966
Congenital disorder of glycosylation type 1B	C1865145	IS_TREATED	["11701646_fullText_4"]	Mannose	C0024742
Blood Coagulation Disorders	C0005779	IS_TREATED	["29112118_fullText_75"]	Mannose	C0024742
Protein-Losing Enteropathies	C0033680	IS_TREATED	["29112118_fullText_75"]	Mannose	C0024742
Myotonic Dystrophy	C0027126	IS_TREATED	["32904905_fullText_11"]	Local Anesthetics	C0002934
Migraine Disorders	C0149931	IS_TREATED	["34275352_fullText_5"]	naratriptan	C0540623
Obesity	C0028754	IS_TREATED	["34279823_fullText_1"]	clobenzorex	C0055894
Myotonic Dystrophy	C0027126	IS_TREATED	["839494_fullText_1"]	Immunoglobulin A, Human	C2825347
Phenylketonurias	C0031485	IS_TREATED	["27137821_fullText_5"]	Folic Acid	C0016410
Lysosomal Storage Diseases	C0085078	IS_TREATED	["24299452_fullText_29"]	Glycosaminoglycans	C0017973
Syndrome	C0039082	IS_TREATED	["8525657_fullText_5"]	Laxatives	C0282090
endothelial dysfunction	C0856169	IS_TREATED	["35861684_fullText_1"]	Phosphodiesterase Inhibitors	C0031638
Panhypopituitarism	C0242343	IS_TREATED	["31705726_fullText_52"]	Growth Hormone	C0037663
Diabetes Mellitus	C0011849	IS_TREATED	["33704864_fullText_11"]	phthalocyanine	C0070971
Alzheimer's Disease	C0002395	IS_TREATED	["33704864_fullText_11"]	phthalocyanine	C0070971
Hepatic Encephalopathy	C0019151	IS_TREATED	["37467180_fullText_13"]	rifaximin	C0073374
Hepatic Encephalopathy	C0019151	IS_TREATED	["37467180_fullText_4"]	rifaximin	C0073374
Hyperphenylalaninaemia	C0751435	IS_TREATED	["140710_fullText_1"]	Fenclonine	C0030135
Leigh Disease	C0023264	IS_TREATED	["39385390_fullText_126"]	sildenafil	C0529793
Erectile dysfunction	C0242350	IS_TREATED	["34779371_fullText_5"]	sildenafil	C0529793
Pulmonary Embolism	C0034065	IS_TREATED	["30838353_fullText_24"]	N(4)-oleylcytosine arabinoside	C0642228
Acute heart failure	C0264714	IS_TREATED	["33879733_fullText_6"]	valsartan	C0216784
Heart failure	C0018801	IS_TREATED	["33879733_fullText_1"]	valsartan	C0216784
Schistosomiasis	C0036323	IS_TREATED	["34736899_fullText_3"]	Praziquantel	C0032911
Hypertensive disease	C0020538	IS_TREATED	["35855505_fullText_4"]	Amlodipine	C0051696
Chronic Kidney Diseases	C1561643	IS_TREATED	["34471171_fullText_6"]	Losartan	C0126174
Cardiomyopathies	C0878544	IS_TREATED	["34471171_fullText_4"]	Losartan	C0126174
Phenylketonurias	C0031485	IS_TREATED	["26243390_fullText_8"]	Protein Hydrolysates	C0033631
Epilepsy	C0014544	IS_TREATED	["36083632_fullText_2"]	sennosides, USP	C0074332
Dyskinetic syndrome	C0013384	IS_TREATED	["37122156_fullText_4"]	eltoprazine	C0082384
Acute Cerebrovascular Accidents	C0751956	IS_TREATED	["34217067_fullText_7"]	Nicardipine	C0028005
Neurodegenerative Disorders	C0524851	IS_TREATED	["34201404_fullText_9"]	Purinergic P2Y Receptor Agonists	C2936563
Obesity	C0028754	IS_TREATED	["36928851_fullText_3"]	Serotonin-2c Receptor Agonist [EPC]	C3485986
Hypertensive disease	C0020538	IS_TREATED	["34779371_fullText_4"]	Minoxidil	C0026196
Painful Bladder Syndrome	C1720830	IS_TREATED	["30422384_fullText_101"]	Tromethamine	C0041175
Dermatitis, Atopic	C0011615	IS_TREATED	["33894061_fullText_3"]	Dimethindene	C0012390
Phenylketonurias	C0031485	IS_TREATED	["29433755_fullText_4","11293470_fullText_6"]	Ferritin	C0015879
Hypercholesterolemia	C0020443	IS_TREATED	["34110719_fullText_6"]	tempol	C0045283
Coronavirus Infections	C0206750	IS_TREATED	["34071034_fullText_9"]	tramiprosate	C0062961
Diabetes Mellitus, Non-Insulin-Dependent	C0011860	IS_TREATED	["35069450_fullText_1"]	hyperglycemic agent	C1321567
Cirrhosis	C1623038	IS_TREATED	["36811400_fullText_3"]	4-(3-chlorophenylsulfanyl)piperidine hydrochloride	C0765956
Varicosity	C0042345	IS_TREATED	["36064306_fullText_7"]	4-(3-chlorophenylsulfanyl)piperidine hydrochloride	C0765956
Peroxisomal Disorders	C0282528	IS_TREATED	["10590918_fullText_4"]	Docosahexaenoic Acids	C0012968
Liver diseases	C0023895	IS_TREATED	["29139025_fullText_6"]	Rebalance	C3497399
Restless Legs Syndrome	C0035258	IS_TREATED	["35609673_fullText_3"]	gabapentin enacarbil	C2700226
Overactive Bladder	C0878773	IS_TREATED	["36879156_fullText_8"]	onabotulinumtoxinA	C2719767
Peroxisomal Disorders	C0282528	IS_TREATED	["10590918_fullText_4"]	Lovastatin	C0024027
Adrenoleukodystrophy	C0162309	IS_TREATED	["37189159_fullText_14"]	Lovastatin	C0024027
Nance-Horan syndrome	C0796085	IS_TREATED	["36284319_fullText_2"]	Medicament	C0456386
Phenylketonurias	C0031485	IS_TREATED	["32482081_fullText_2","12879091_fullText_4","12879091_fullText_6"]	Vitamin B 12	C0042845
Cystathionine beta-Synthase Deficiency Disease	C0751202	IS_TREATED	["37571294_fullText_5"]	Vitamin B 12	C0042845
Migraine Disorders	C0149931	IS_TREATED	["36627414_fullText_2"]	Almotriptan malate	C0937898
Phenylketonurias	C0031485	IS_TREATED	["29433755_fullText_5","21895448_fullText_5"]	Vitamin A	C0042839
Stable angina	C0340288	IS_TREATED	["33709106_fullText_3"]	Vitamin A	C0042839
Obesity	C0028754	IS_TREATED	["34242511_fullText_6"]	Marijuana derivative	C0304395
Epilepsy	C0014544	IS_TREATED	["36577449_fullText_2","33113107_fullText_3","30668673_fullText_9"]	pyridoxine	C0034272
Status Epilepticus	C0038220	IS_TREATED	["23022904_fullText_6","16225819_fullText_5"]	pyridoxine	C0034272
Convulsions in the newborn	C0159020	IS_TREATED	["35211704_fullText_5"]	pyridoxine	C0034272
Gastroesophageal reflux disease	C0017168	IS_TREATED	["37843943_fullText_4"]	Calcium Carbonate	C0006681
Cataract, congenital, with microcornea or slight microphthalmia	C2930878	IS_TREATED	["37515745_fullText_6"]	Versed	C0042553
Hypertensive disease	C0020538	IS_TREATED	["37436689_fullText_3"]	Centrally acting hypotensive agent	C0304523
Hypertensive disease	C0020538	IS_TREATED	["36902110_fullText_10"]	Vitamin D	C0042866
Premenstrual syndrome	C0033046	IS_TREATED	["35534402_fullText_5"]	Gonadotropin-Releasing Hormone Analog	C1268900
HIV Infections	C0019693	IS_TREATED	["18580663_fullText_2"]	Anti-Retroviral Agents	C0599685
Chronic urticaria	C0263338	IS_TREATED	["37067147_fullText_4"]	bepotastine besilate	C1723019
Coffin-Siris syndrome	C0265338	IS_TREATED	["37067043_fullText_4"]	Korean ginseng preparation	C0873137
Disorder of vein	C0235522	IS_TREATED	["30362618_fullText_10"]	diosmetin	C0114217
Cobalamin C disease	C0342723	IS_TREATED	["32160317_fullText_152"]	Hydroxocobalamin	C0020316
Zellweger Syndrome	C0043459	PRODUCES	["2079713_fullText_3"]	Cholesterol Esters	C0008387
Myotonic Disorders	C0553604	IS_TREATED	["1455983_fullText_1"]	Phenytoin	C0031507
Vitamin D Deficiency	C0042870	IS_TREATED	["23754696_fullText_10"]	Cholecalciferol	C0008318
Urticaria	C0042109	IS_TREATED	["36226796_fullText_2"]	tofacitinib	C2930696
Helminthiasis	C0018889	IS_TREATED	["31615832_fullText_44"]	bortezomib	C1176309
Phenylketonurias	C0031485	IS_TREATED	["21895448_fullText_6"]	alpha Tocopherol	C0969677
Phenylketonurias	C0031485	IS_TREATED	["19067227_fullText_1"]	Drugs, Orphan	C0013232
Phenylketonurias	C0031485	IS_TREATED	["17968763_fullText_2"]	Drugs, Orphan	C0013232
Epilepsy	C0014544	IS_TREATED	["32980745_fullText_3"]	Pyridoxal	C0034263
Cirrhosis	C1623038	IS_TREATED	["34191185_fullText_1"]	satavaptan	C2607958
Hypertensive disease	C0020538	IS_TREATED	["35855505_fullText_4"]	lercanidipine	C0526399
Stable angina	C0340288	IS_TREATED	["35842897_fullText_4"]	ANTIANGINALS	C3537168
Hypertensive disease	C0020538	IS_TREATED	["35775356_fullText_1"]	Alpha-adrenoreceptor antagonists, peripherally acting	C3539938
Phenylketonurias	C0031485	IS_TREATED	["19615874_fullText_6"]	Fish Oils	C0016157
Phenylketonurias	C0031485	IS_TREATED	["31284588_fullText_8","19214054_fullText_1"]	doconexent	C2348308
Peroxisomal Disorders	C0282528	IS_TREATED	["11478381_fullText_12"]	doconexent	C2348308
Phenylketonurias	C0031485	IS_TREATED	["21305356_fullText_3"]	doconexent	C2348308
Painful Bladder Syndrome	C1720830	IS_TREATED	["27763639_fullText_161"]	Ferric Carboxymaltose Solution	C2984024
Heart failure	C0018801	IS_TREATED	["36883446_fullText_5"]	Phosphodiesterase 3 Inhibitors	C2267032
Diabetes	C0011847	IS_TREATED	["36838726_fullText_12"]	Propolis	C0033488
Glutaric aciduria, type 1	C0268595	IS_TREATED	["27397597_fullText_2"]	hydroxyethyl starch 130-0.4	C3495434
Hay fever	C0018621	IS_TREATED	["37655364_fullText_1"]	Fexofenadine hydrochloride	C0771752
Chronic idiopathic urticaria	C0578870	IS_TREATED	["37655364_fullText_1"]	Fexofenadine hydrochloride	C0771752
Common Cold	C0009443	IS_TREATED	["35060618_fullText_17"]	Decongestant Antihistamine	C0718581
Heart failure	C0018801	IS_TREATED	["34375046_fullText_2"]	Mercuric chloride	C0025417
Epilepsy	C0014544	IS_TREATED	["20887371_fullText_4"]	Traumeel S	C0968917
Epilepsy	C0014544	IS_TREATED	["32681751_fullText_9"]	clobazam	C0055891
Congenital Disorders	C0242354	IS_TREATED	["34652821_fullText_1"]	epalrestat	C0095278
Diabetic Neuropathies	C0011882	IS_TREATED	["31636082_fullText_10","31636082_fullText_113"]	epalrestat	C0095278
Peripheral Neuropathy	C0031117	IS_TREATED	["31636082_fullText_154","31636082_fullText_160"]	epalrestat	C0095278
Diabetic peripheral neuropathy	C0740447	IS_TREATED	["31454904_fullText_32"]	epalrestat	C0095278
Neuropathy	C0442874	IS_TREATED	["35955863_fullText_100"]	epalrestat	C0095278
Helminthiasis	C0018889	IS_TREATED	["31636082_fullText_151","31636082_fullText_152"]	epalrestat	C0095278
Diabetic Neuropathies	C0011882	IS_TREATED	["37858231_fullText_71"]	Aldose Reductase Inhibitor	C2348243
Diabetic peripheral neuropathy	C0740447	IS_TREATED	["31454904_fullText_32"]	Aldose Reductase Inhibitor	C2348243
Epilepsy	C0014544	IS_TREATED	["32681751_fullText_9"]	felbamate	C0060135
Congenital Disorders	C0242354	IS_TREATED	["17049852_fullText_1"]	inorganic phosphate	C0031603
Zellweger Syndrome	C0043459	IS_TREATED	["17418516_fullText_4"]	Lorenzo's oil	C0212874
Adrenoleukodystrophy	C0162309	IS_TREATED	["37189159_fullText_14"]	Lorenzo's oil	C0212874
Peroxisomal Disorders	C0282528	IS_TREATED	["10590918_fullText_4"]	phenyl butyrate	C3848590
Painful Bladder Syndrome	C1720830	IS_TREATED	["35792828_fullText_192","32183225_fullText_48","29601977_fullText_77","27390132_fullText_140","24305089_fullText_68","21795378_fullText_30","25303993_fullText_70","28698297_fullText_142","28129118_fullText_315"]	Triton X-100	C0146951
Myotonic Dystrophy	C0027126	IS_TREATED	["11103182_fullText_2"]	Atracurium	C0004234
Myotonic Dystrophy	C0027126	IS_TREATED	["6840139_fullText_1"]	Dantrolene Sodium	C0010977
Myotonic Disorders	C0553604	IS_TREATED	["1455983_fullText_1"]	Tocainide	C0085237
Syndrome	C0039082	IS_TREATED	["8525657_fullText_5"]	Cisapride	C0072916
Myotonic Dystrophy	C0027126	IS_TREATED	["7488498_fullText_1"]	mivacurium	C0066621
Muscular Dystrophy	C0026850	IS_TREATED	["1441389_fullText_2"]	bemethyl	C0053083
Neuromuscular Diseases	C0027868	IS_TREATED	["1664607_fullText_1"]	bemethyl	C0053083
Neuromuscular Diseases	C0027868	IS_TREATED	["1664607_fullText_3"]	bemethyl	C0053083
Congenital ichthyosis	C0020758	IS_TREATED	["32147747_fullText_41"]	cholesteryl sulfate	C0055565
Phenylketonurias	C0031485	IS_TREATED	["31295388_fullText_6","29353259_fullText_2"]	trans-dichlorobis(azomycin)platinum II	C0146413
Pulmonary Hypertension, Primary, 1, With Hereditary Hemorrhagic Telangiectasia	C3714844	IS_TREATED	["31295388_fullText_1"]	trans-dichlorobis(azomycin)platinum II	C0146413
Phenylketonurias	C0031485	IS_TREATED	["15922970_fullText_4"]	Polyethylene Glycol 400	C0032478
Atrial Fibrillation	C0004238	IS_TREATED	["29770366_fullText_5"]	dabigatran etexilate	C1571583
Myotonic Dystrophy	C0027126	IS_TREATED	["19506327_fullText_5"]	glimepiride	C0061323
Diabetes Mellitus, Non-Insulin-Dependent	C0011860	IS_TREATED	["19506327_fullText_5"]	glimepiride	C0061323
Myotonic Dystrophy	C0027126	IS_TREATED	["12718910_fullText_8"]	Gene Therapy Agent	C1517496
Juvenile-Onset Vitelliform Macular Dystrophy	C2745945	IS_TREATED	["29441734_fullText_50"]	glycocyamine	C0061626
Myasthenic Syndromes, Congenital	C0751882	IS_TREATED	["26296515_fullText_1"]	DIAMINOPYRIDINE	C2345912
Lambert-Eaton Myasthenic Syndrome	C0022972	IS_TREATED	["19593127_fullText_3"]	DIAMINOPYRIDINE	C2345912
Ptosis	C0033377	IS_TREATED	["34565654_fullText_5"]	Edrophonium Chloride	C0013617
Epidermolysis Bullosa Simplex Superficialis	C1843477	IS_TREATED	["35157847_fullText_223"]	Phenolsulfonphthalein	C0031430
Painful Bladder Syndrome	C1720830	IS_TREATED	["21795378_fullText_30"]	MILK FAT	C0991850
Adrenoleukodystrophy	C0162309	IS_TREATED	["31978407_abstract_1"]	carnitines	C0682742
Glutaric aciduria, type 1	C0268595	IS_TREATED	["32992790_fullText_14"]	Amino acid supplement	C0556082
Cerebrovascular accident	C0038454	IS_TREATED	["38459834_fullText_38"]	ethane sulfonate	C0206794
Generalized dystonia	C1848954	IS_TREATED	["21431622_fullText_357"]	Lioresal Intrathecal	C0721369
Hepatitis	C0019158	IS_TREATED	["32630370_fullText_32"]	Hepatitis B Surface Antigens	C0019168
Painful Bladder Syndrome	C1720830	IS_TREATED	["29773809_fullText_100","28698297_fullText_143"]	Octoxynol-9	C0133689
Phenylketonurias	C0031485	IS_TREATED	["38474766_fullText_10"]	Protein supplement	C0770246
Phenylketonurias	C0031485	IS_TREATED	["36503822_fullText_10","23910161_fullText_3","21083061_fullText_15"]	Kuvan	C1995652
Phenylketonurias	C0031485	IS_TREATED	["27246528_fullText_3"]	Plant Preparations	C0949854
Phenylketonurias	C0031485	IS_TREATED	["39368841_fullText_14"]	coagulation factor IX, human	C0724584
Relapsing Fever	C0035021	IS_TREATED	["37578023_fullText_3","37578023_abstract_3"]	canakinumab	C2718773
Heart Diseases	C0018799	IS_TREATED	["37629768_fullText_4"]	migalastat	C2698220
Fabry Disease	C0002986	IS_TREATED	["37627292_fullText_7"]	migalastat	C2698220
Kidney Diseases	C0022658	IS_TREATED	["37629768_fullText_4"]	migalastat	C2698220
Phenylketonurias	C0031485	IS_TREATED	["38522180_fullText_7"]	pegvaliase	C4519229
Classical phenylketonuria	C0751434	IS_TREATED	["38367583_fullText_4"]	pegvaliase	C4519229
Tyrosinemia, Type I	C0268490	IS_TREATED	["33046095_abstract_1"]	nitisinone	C0173083
Phenylketonurias	C0031485	IS_TREATED	["15977040_fullText_3","15977040_fullText_6"]	therapeutic enzyme	C0872370
Phenylketonurias	C0031485	IS_TREATED	["29941359_fullText_4","16006165_fullText_13","15922970_fullText_3"]	Phenylalanine Ammonia-Lyase	C0031454
Fish-Eye Disease	C0342895	IS_TREATED	["30922814_fullText_8"]	sepiapterin	C0074349
Phenylketonurias	C0031485	IS_TREATED	["2079839_fullText_7"]	trace element supplement	C0556113
Phenylketonurias	C0031485	IS_TREATED	["29111886_fullText_6"]	stevioside	C0075246
Phenylketonurias	C0031485	IS_TREATED	["27832415_fullText_5"]	oleyloxyethylphosphorylcholine	C0645102
Phenylketonurias	C0031485	IS_TREATED	["27832415_fullText_5"]	oleyloxyethylphosphorylcholine	C0645102
Phenylketonurias	C0031485	IS_TREATED	["6101846_fullText_4"]	Enzyme agent	C0360722
Classical phenylketonuria	C0751434	IS_TREATED	["2742800_fullText_10"]	Ethionine	C0015023
Epilepsy	C0014544	IS_TREATED	["5006284_fullText_3"]	6-bromo-2-naphthyl sulfate	C0099085
CNS disorder	C0007682	IS_TREATED	["39231983_fullText_193"]	leriglitazone	C5139806
LUSCAN-LUMISH SYNDROME	C4085873	IS_TREATED	["38848614_fullText_8"]	corticotropin, human	C3818725
Leigh Disease	C0023264	IS_TREATED	["39385390_fullText_127"]	Talarozole	C2606129
Leigh Disease	C0023264	IS_TREATED	["39385390_fullText_127"]	sertaconazole	C0074391
Deuteranomaly	C3887938	IS_TREATED	["39231983_fullText_52"]	Glypromate	C4520812
