Disease	Disease_id	RELATION	PROVENANCE	Drug	Drug_id
Asthma	C0004096	IS_TREATED	["37428619_fullText_2","37428619_fullText_9","35074516_fullText_7"]	Muscarinic Antagonists	C0003385
Syndrome	C0039082	IS_TREATED	["37191196_fullText_1"]	Muscarinic Antagonists	C0003385
Sleep Apnea, Obstructive	C0520679	IS_TREATED	["35709641_fullText_1","35709641_fullText_3"]	Muscarinic Antagonists	C0003385
Chronic Obstructive Airway Disease	C0024117	IS_TREATED	["34503985_fullText_1","35849317_fullText_1"]	Muscarinic Antagonists	C0003385
Parkinson Disease	C0030567	IS_TREATED	["35150767_fullText_2"]	cabergoline	C0107994
Parkinsonian Disorders	C0242422	IS_TREATED	["34702339_fullText_1"]	cabergoline	C0107994
Hyperglycemia	C0020456	IS_TREATED	["34702339_fullText_1"]	cabergoline	C0107994
Hyperprolactinemia	C0020514	IS_TREATED	["34702339_fullText_1"]	cabergoline	C0107994
Hyperprolactinemia	C0020514	IS_TREATED	["34261980_fullText_1"]	cabergoline	C0107994
Chronic pain	C0150055	IS_TREATED	["37027147_fullText_1"]	Cannabinoids	C0006864
Chronic pain	C0150055	IS_TREATED	["37348821_fullText_2"]	Cannabinoids	C0006864
Dermatologic disorders	C0037274	IS_TREATED	["37699631_fullText_1","37699631_fullText_4"]	Cannabinoids	C0006864
Migraine Disorders	C0149931	IS_TREATED	["37515745_fullText_7"]	Cannabinoids	C0006864
Movement Disorders	C0026650	IS_TREATED	["36038457_fullText_1","36038457_fullText_3"]	Cannabinoids	C0006864
Neuropathy	C0442874	IS_TREATED	["37833878_fullText_12"]	Cannabinoids	C0006864
Overactive Bladder	C0878773	IS_TREATED	["36835228_fullText_1"]	Cannabinoids	C0006864
multiple pathologies	C0679225	IS_TREATED	["36638804_fullText_4"]	Cannabinoids	C0006864
Alzheimer's Disease	C0002395	IS_TREATED	["37839515_fullText_1"]	indole	C0021236
Intraoperative floppy iris syndrome	C1688637	IS_TREATED	["34652535_fullText_6"]	Atropine	C0004259
Myopia	C0027092	IS_TREATED	["37742601_fullText_8"]	Atropine	C0004259
Phenylketonurias	C0031485	IS_TREATED	["3148070_fullText_2"]	5-(3-hydroxybenzoyl)-2-thiophenesulfonamide	C0048996
Epilepsy	C0014544	IS_TREATED	["36129615_fullText_1"]	Tetrahydrocannabinol	C0039663
Obesity	C0028754	IS_TREATED	["34242511_fullText_7"]	Tetrahydrocannabinol	C0039663
Chronic nonmalignant pain	C3662064	IS_TREATED	["36897501_fullText_2"]	Tetrahydrocannabinol	C0039663
Chronic pain	C0150055	IS_TREATED	["36122809_fullText_1"]	Tetrahydrocannabinol	C0039663
Migraine Disorders	C0149931	IS_TREATED	["37515745_fullText_2"]	Marihuana	C0024808
Parkinson Disease	C0030567	IS_TREATED	["33961911_fullText_3"]	Marihuana	C0024808
Headache Disorders	C0393735	IS_TREATED	["37515745_fullText_2"]	Marihuana	C0024808
Neurodegenerative Disorders	C0524851	IS_TREATED	["37815196_fullText_1"]	Marihuana	C0024808
Hyperthyroidism	C0020550	IS_TREATED	["37493532_fullText_4"]	Marihuana	C0024808
Hypothyroidism	C0020676	IS_TREATED	["37493532_fullText_4"]	Marihuana	C0024808
Gastrointestinal Diseases	C0017178	IS_TREATED	["37834122_fullText_6"]	Marihuana	C0024808
Endometriosis	C0014175	IS_TREATED	["34978929_fullText_8"]	Marihuana	C0024808
