Gene	Gene_id	RELATION	PROVENANCE	Disease	Disease_id
BRAF gene	C0812241	ASSOCIATED_WITH		Pulmonary Stenosis	C1956257
BRAF gene	C0812241	ASSOCIATED_WITH		Pituitary-dependent Cushing's disease	C0221406
BRAF gene	C0812241	ASSOCIATED_WITH		Hypertrophic Cardiomyopathy	C0007194
BRAF gene	C0812241	ASSOCIATED_WITH		Noonan Syndrome	C0028326
BRAF gene	C0812241	ASSOCIATED_WITH		Ataxia Telangiectasia	C0004135
BRAF gene	C0812241	ASSOCIATED_WITH		LEOPARD Syndrome	C0175704
SOS2 gene	C1420315	ASSOCIATED_WITH		Noonan Syndrome	C0028326
SHOC2 gene	C1423500	ASSOCIATED_WITH		Noonan Syndrome	C0028326
LAMA2 gene	C1416776	CAUSES	["27854224_fullText_102"]	Myopathy	C0026848
LAMA2 gene	C1416776	ASSOCIATED_WITH		Polymicrogyria	C0266464
LAMA2 gene	C1416776	ASSOCIATED_WITH		Cardiomyopathy, Dilated	C0007193
LAMA2 gene	C1416776	ASSOCIATED_WITH		Myopia	C0027092
LAMA2 gene	C1416776	ASSOCIATED_WITH		Myopathy	C0026848
LAMA2 gene	C1416776	ASSOCIATED_WITH		Muscular Dystrophy	C0026850
LAMA2 gene	C1416776	ASSOCIATED_WITH		Muscular dystrophy congenital, merosin negative	C1263858
LAMA2 gene	C1416776	ASSOCIATED_WITH	["8795845_fullText_2"]	Myotonic Dystrophy	C0027126
NDUFAF3 gene	C1824156	ASSOCIATED_WITH		MITOCHONDRIAL COMPLEX I DEFICIENCY	C1838979
NDUFAF3 gene	C1824156	ASSOCIATED_WITH		Mitochondrial Diseases	C0751651
NDUFAF3 gene	C1824156	AFFECTS	["34964562_fullText_10"]	Leigh Disease	C0023264
NDUFAF3 gene	C1824156	CAUSES	["27986404_fullText_2"]	Mitochondrial Diseases	C0751651
ADAR gene	C1412215	ASSOCIATED_WITH		Liver Cirrhosis	C0023890
ADAR gene	C1412215	ASSOCIATED_WITH		Leigh Disease	C0023264
ADAR gene	C1412215	ASSOCIATED_WITH		AICARDI-GOUTIERES SYNDROME 1	C0796126
ADAR gene	C1412215	ASSOCIATED_WITH		AICARDI-GOUTIERES SYNDROME	C0393591
ADAR gene	C1412215	ASSOCIATED_WITH		Symmetrical dyschromatosis of extremities	C0406775
ADAR gene	C1412215	ASSOCIATED_WITH		AICARDI-GOUTIERES SYNDROME 6	C3539013
ADAR gene	C1412215	CAUSES	["28139822_fullText_1"]	Rare Diseases	C0678236
MFN1 gene	C1425402	ASSOCIATED_WITH		Amyotrophic Lateral Sclerosis	C0002736
SLC25A46 gene	C1822755	ASSOCIATED_WITH		Charcot-Marie-Tooth Disease	C0007959
SLC25A46 gene	C1822755	ASSOCIATED_WITH		Optic Atrophy	C0029124
SLC25A46 gene	C1822755	ASSOCIATED_WITH	["27390132_fullText_5"]	Leigh Disease	C0023264
SLC25A46 gene	C1822755	CAUSES	["27390132_fullText_58"]	Leigh Disease	C0023264
SLC25A46 gene	C1822755	ASSOCIATED_WITH	["27390132_fullText_8"]	early disease onset	C0814120
MFN2 gene	C1424611	ASSOCIATED_WITH		Roussy-Levy Syndrome (disorder)	C0205713
MFN2 gene	C1424611	ASSOCIATED_WITH		Dejerine-Sottas Disease (disorder)	C0011195
MFN2 gene	C1424611	ASSOCIATED_WITH		Hereditary Motor and Sensory Neuropathy Type I	C0751036
MFN2 gene	C1424611	ASSOCIATED_WITH		Diabetic Nephropathy	C0011881
MFN2 gene	C1424611	ASSOCIATED_WITH		Amyotrophic Lateral Sclerosis	C0002736
MFN2 gene	C1424611	ASSOCIATED_WITH		Hereditary Motor and Sensory-Neuropathy Type II	C0270914
MFN2 gene	C1424611	ASSOCIATED_WITH		Peripheral axonal neuropathy	C1263857
MFN2 gene	C1424611	ASSOCIATED_WITH		Hereditary Motor and Sensory Neuropathies	C0027888
MFN2 gene	C1424611	ASSOCIATED_WITH		Peripheral Neuropathy	C0031117
MFN2 gene	C1424611	ASSOCIATED_WITH		Charcot-Marie-Tooth Disease	C0007959
MFN2 gene	C1424611	ASSOCIATED_WITH		Lipomatosis, Multiple Symmetrical	C0023804
ACADVL gene	C1412110	ASSOCIATED_WITH		Myopathy	C0026848
ACADVL gene	C1412110	ASSOCIATED_WITH		Very long chain acyl-CoA dehydrogenase deficiency	C3887523
CPT1A gene	C1413688	ASSOCIATED_WITH		Kidney Failure, Chronic	C0022661
CPT1A gene	C1413688	ASSOCIATED_WITH		Nonalcoholic Steatohepatitis	C3241937
CPT1A gene	C1413688	ASSOCIATED_WITH		Diabetes Mellitus	C0011849
CPT1A gene	C1413688	ASSOCIATED_WITH		Non-alcoholic Fatty Liver Disease	C0400966
CPT1A gene	C1413688	ASSOCIATED_WITH		Metabolic Diseases	C0025517
CPT1A gene	C1413688	ASSOCIATED_WITH		Diabetes Mellitus, Non-Insulin-Dependent	C0011860
ARHGEF1 gene	C1332110	ASSOCIATED_WITH		IMMUNODEFICIENCY 62	C5193109
COX8A gene	C1413661	ASSOCIATED_WITH		MITOCHONDRIAL COMPLEX IV DEFICIENCY, NUCLEAR TYPE 15	C5436712
COX8A gene	C1413661	ASSOCIATED_WITH	["26685157_fullText_5"]	Cytochrome-c Oxidase Deficiency	C0268237
ACAD9 gene	C1427586	ASSOCIATED_WITH		MITOCHONDRIAL COMPLEX I DEFICIENCY	C1838979
ACAD9 gene	C1427586	ASSOCIATED_WITH		Acyl-CoA Dehydrogenase Family, Member 9, Deficiency of	C1970173
ELANE gene	C1414369	ASSOCIATED_WITH		Agranulocytosis	C0001824
ELANE gene	C1414369	ASSOCIATED_WITH		Periodontitis	C0031099
ELANE gene	C1414369	ASSOCIATED_WITH		Neutropenia	C0027947
ELANE gene	C1414369	ASSOCIATED_WITH		Cyclic neutropenia	C0221023
C12orf65 gene	C2240303	ASSOCIATED_WITH		Spastic Paraplegia, Hereditary	C0037773
C12orf65 gene	C2240303	ASSOCIATED_WITH		Leigh Disease	C0023264
C12orf65 gene	C2240303	ASSOCIATED_WITH		Spastic Paraplegia	C0037772
C12orf65 gene	C2240303	ASSOCIATED_WITH		COMBINED OXIDATIVE PHOSPHORYLATION DEFICIENCY 7	C3150801
SUCLA2 gene	C1420510	ASSOCIATED_WITH		Obesity	C0028754
SUCLA2 gene	C1420510	ASSOCIATED_WITH		Depletion of mitochondrial DNA	C0342782
MRRF gene	C1417252	ASSOCIATED_WITH	["2598536_fullText_1"]	Mitochondrial Myopathies	C0162670
NDUFV2 gene	C1417653	ASSOCIATED_WITH		Cardiomyopathies	C0878544
NDUFV2 gene	C1417653	ASSOCIATED_WITH		Leigh Disease	C0023264
NDUFV2 gene	C1417653	ASSOCIATED_WITH		Parkinson Disease	C0030567
NDUFV2 gene	C1417653	ASSOCIATED_WITH		MITOCHONDRIAL COMPLEX I DEFICIENCY	C1838979
NDUFV2 gene	C1417653	CAUSES	["14729820_fullText_6"]	Cardiomyopathies	C0878544
LIAS gene	C1424272	ASSOCIATED_WITH		Leigh Disease	C0023264
LIAS gene	C1424272	ASSOCIATED_WITH		Pulmonary Fibrosis	C0034069
NFU1 gene	C1826399	ASSOCIATED_WITH		Mitochondrial Diseases	C0751651
NFU1 gene	C1826399	ASSOCIATED_WITH		Multiple Mitochondrial Dysfunctions Syndrome	C3502075
NFU1 gene	C1826399	ASSOCIATED_WITH		MULTIPLE MITOCHONDRIAL DYSFUNCTIONS SYNDROME 1	C3276432
IBA57 gene	C1823215	ASSOCIATED_WITH		Multiple Mitochondrial Dysfunctions Syndrome	C3502075
IBA57 gene	C1823215	ASSOCIATED_WITH		Mitochondrial Diseases	C0751651
DFNB94 gene	C3147084	CAUSES	["25807530_fullText_2"]	Mitochondrial Respiratory Chain Deficiencies	C0949857
DFNB94 gene	C3147084	CAUSES	["25807530_fullText_2"]	Leigh Disease	C0023264
SLIRP gene	C1539044	ASSOCIATED_WITH		Mitochondrial Encephalomyopathies	C0162666
TSFM gene	C1421196	ASSOCIATED_WITH		Leigh Disease	C0023264
TSFM gene	C1421196	CAUSES	["25037205_fullText_5"]	Multisystem disorder	C0559758
PET100 gene	C3541664	ASSOCIATED_WITH		Leigh Disease	C0023264
PET100 gene	C3541664	ASSOCIATED_WITH		MITOCHONDRIAL COMPLEX IV DEFICIENCY, NUCLEAR TYPE 12	C5436695
FKTN gene	C1414558	ASSOCIATED_WITH		Familial dilated cardiomyopathy	C0340427
FKTN gene	C1414558	ASSOCIATED_WITH		Muscular Dystrophy-Dystroglycanopathy (Congenital with Brain and Eye Anomalies) Type A, 1	C4284790
FKTN gene	C1414558	ASSOCIATED_WITH		MUSCULAR DYSTROPHY, LIMB-GIRDLE, TYPE 2K	C1836373
FKTN gene	C1414558	ASSOCIATED_WITH		Muscle eye brain disease	C0457133
FKTN gene	C1414558	ASSOCIATED_WITH		Cardiomyopathy, Dilated	C0007193
FKTN gene	C1414558	ASSOCIATED_WITH		alpha-Dystroglycanopathies	C2936406
FKTN gene	C1414558	ASSOCIATED_WITH		Walker-Warburg congenital muscular dystrophy	C0265221
FKTN gene	C1414558	ASSOCIATED_WITH		Fukuyama Type Congenital Muscular Dystrophy	C0410174
FKTN gene	C1414558	ASSOCIATED_WITH	["15833424_fullText_1"]	Muscular Dystrophy	C0026850
AGXT gene	C1412290	ASSOCIATED_WITH		Nephrolithiasis	C0392525
AGXT gene	C1412290	ASSOCIATED_WITH		Nephrocalcinosis	C0027709
AGXT gene	C1412290	ASSOCIATED_WITH		Primary Hyperoxaluria	C0020501
AGXT gene	C1412290	ASSOCIATED_WITH		Hyperoxaluria	C0020500
AGXT gene	C1412290	ASSOCIATED_WITH		Primary hyperoxaluria, type I	C0268164
SERPINE2 gene	C1418552	ASSOCIATED_WITH		Alzheimer's Disease	C0002395
COQ2 gene	C1824776	ASSOCIATED_WITH		COENZYME Q10 DEFICIENCY	C1843920
COQ2 gene	C1824776	ASSOCIATED_WITH		Nephrotic Syndrome	C0027726
COQ2 gene	C1824776	ASSOCIATED_WITH		Kidney Diseases	C0022658
COQ2 gene	C1824776	ASSOCIATED_WITH		Multiple System Atrophy	C0393571
COQ2 gene	C1824776	ASSOCIATED_WITH		Pure Autonomic Failure	C0393911
AHSG gene	C1412296	ASSOCIATED_WITH		Kidney Failure, Acute	C0022660
AHSG gene	C1412296	ASSOCIATED_WITH		Myocardial Ischemia	C0151744
AHSG gene	C1412296	ASSOCIATED_WITH		Coronary heart disease	C0010068
AHSG gene	C1412296	ASSOCIATED_WITH		Coronary Arteriosclerosis	C0010054
AHSG gene	C1412296	ASSOCIATED_WITH		Diabetes Mellitus, Non-Insulin-Dependent	C0011860
NF1 gene	C0085113	ASSOCIATED_WITH		Aneurysm	C0002940
NF1 gene	C0085113	ASSOCIATED_WITH		Cafe-au-lait macules with pulmonary stenosis	C0553586
RASA1 wt Allele	C2984552	ASSOCIATED_WITH	["23361976_fullText_2"]	Graves Disease	C0018213
COX5A gene	C1413636	ASSOCIATED_WITH		MITOCHONDRIAL COMPLEX IV DEFICIENCY, NUCLEAR TYPE 20	C5436726
MPV17 gene	C1417247	ASSOCIATED_WITH		Mitochondrial Diseases	C0751651
MPV17 gene	C1417247	ASSOCIATED_WITH		Depletion of mitochondrial DNA	C0342782
MPV17 gene	C1417247	ASSOCIATED_WITH		Focal glomerulosclerosis	C0017668
MPV17 gene	C1417247	ASSOCIATED_WITH		NAVAJO NEUROHEPATOPATHY	C1850406
MPV17 gene	C1417247	CAUSES	["22422207_fullText_4"]	NAVAJO NEUROHEPATOPATHY	C1850406
MPV17 gene	C1417247	CAUSES	["22422207_fullText_4"]	Glycogen Storage Disease Type V	C0017924
MPV17 gene	C1417247	CAUSES	["22422207_fullText_4"]	Diffuse Cerebral Sclerosis of Schilder	C0007795
NFE2L1 gene	C1417700	AFFECTS	["31615832_fullText_24"]	Helminthiasis	C0018889
NFE2L1 gene	C1417700	ASSOCIATED_WITH	["31615832_fullText_146"]	Helminthiasis	C0018889
OTC gene	C1418193	ASSOCIATED_WITH		Encephalopathies	C0085584
OTC gene	C1418193	ASSOCIATED_WITH		Ornithine carbamoyltransferase deficiency	C0268542
TMEM70 gene	C1823334	ASSOCIATED_WITH		TMEM70 related mitochondrial encephalo-cardio-myopathy	C4273660
TMEM70 gene	C1823334	ASSOCIATED_WITH		Mitochondrial Diseases	C0751651
TMEM70 gene	C1823334	ASSOCIATED_WITH		Isolated ATP synthase deficiency	C4757950
TMEM70 gene	C1823334	ASSOCIATED_WITH		Cardiomyopathies	C0878544
F2 gene	C1414504	ASSOCIATED_WITH		Brain Ischemia	C0007786
F2 gene	C1414504	ASSOCIATED_WITH		Celiac Disease	C0007570
F2 gene	C1414504	ASSOCIATED_WITH		Carotid Stenosis	C0007282
F2 gene	C1414504	ASSOCIATED_WITH		Herpes zoster disease	C0019360
F2 gene	C1414504	ASSOCIATED_WITH		Mesenteric vascular insufficiency	C1412000
F2 gene	C1414504	ASSOCIATED_WITH		Fatty Liver	C0015695
F2 gene	C1414504	ASSOCIATED_WITH		Avascular necrosis of bone	C0027543
F2 gene	C1414504	ASSOCIATED_WITH		Sinus Thrombosis, Intracranial	C0037198
F2 gene	C1414504	ASSOCIATED_WITH		Nephrosis	C0027720
F2 gene	C1414504	ASSOCIATED_WITH		Dengue Fever	C0011311
F2 gene	C1414504	ASSOCIATED_WITH		Glomerulonephritis	C0017658
F2 gene	C1414504	ASSOCIATED_WITH		Nonalcoholic Steatohepatitis	C3241937
F2 gene	C1414504	ASSOCIATED_WITH		Sensorineural Hearing Loss (disorder)	C0018784
F2 gene	C1414504	ASSOCIATED_WITH		Hemophilia B	C0008533
F2 gene	C1414504	ASSOCIATED_WITH		Rheumatoid Arthritis	C0003873
F2 gene	C1414504	ASSOCIATED_WITH		Liver Failure	C0085605
F2 gene	C1414504	ASSOCIATED_WITH		Disorder of eye	C0015397
F2 gene	C1414504	ASSOCIATED_WITH		Non-alcoholic Fatty Liver Disease	C0400966
F2 gene	C1414504	ASSOCIATED_WITH		Hepatitis, Autoimmune	C0241910
F2 gene	C1414504	ASSOCIATED_WITH		Retinal Vein Occlusion	C0035328
F2 gene	C1414504	ASSOCIATED_WITH		Coronary Arteriosclerosis	C0010054
F2 gene	C1414504	ASSOCIATED_WITH		Coronary heart disease	C0010068
F2 gene	C1414504	ASSOCIATED_WITH		Liver Cirrhosis	C0023890
F2 gene	C1414504	ASSOCIATED_WITH		Cerebral Infarction	C0007785
F2 gene	C1414504	ASSOCIATED_WITH		Myocardial Ischemia	C0151744
F2 gene	C1414504	ASSOCIATED_WITH		Alzheimer's Disease	C0002395
F2 gene	C1414504	ASSOCIATED_WITH		Lupus Erythematosus, Systemic	C0024141
F2 gene	C1414504	ASSOCIATED_WITH		Hemophilia A	C0019069
F2 gene	C1414504	ASSOCIATED_WITH		Obesity	C0028754
F2 gene	C1414504	ASSOCIATED_WITH		Disseminated Intravascular Coagulation	C0012739
F2 gene	C1414504	ASSOCIATED_WITH		Pulmonary Embolism	C0034065
F2 gene	C1414504	ASSOCIATED_WITH		Thromboembolism	C0040038
F2 gene	C1414504	ASSOCIATED_WITH		Myocardial Infarction	C0027051
F2 gene	C1414504	ASSOCIATED_WITH		Blood Coagulation Disorders	C0005779
F2 gene	C1414504	ASSOCIATED_WITH		Hereditary factor II deficiency disease	C0272317
F2 gene	C1414504	ASSOCIATED_WITH		Thrombophilia	C0398623
F2 gene	C1414504	ASSOCIATED_WITH		Cerebrovascular accident	C0038454
NDUFAF1 gene	C1425806	ASSOCIATED_WITH		Mitochondrial Diseases	C0751651
NDUFAF1 gene	C1425806	ASSOCIATED_WITH		MITOCHONDRIAL COMPLEX I DEFICIENCY	C1838979
ARX gene	C1425272	ASSOCIATED_WITH		Agenesis of corpus callosum	C0175754
ARX gene	C1425272	ASSOCIATED_WITH		Early infantile epileptic encephalopathy with suppression bursts	C0393706
ARX gene	C1425272	ASSOCIATED_WITH		Infantile spasms	C0037769
ARX gene	C1425272	CAUSES	["20384723_fullText_2"]	Early infantile epileptic encephalopathy with suppression bursts	C0393706
TAZ gene	C1336578	ASSOCIATED_WITH		Cardiomyopathy, Familial Idiopathic	C1449563
TAZ gene	C1336578	ASSOCIATED_WITH		Familial dilated cardiomyopathy	C0340427
TAZ gene	C1336578	ASSOCIATED_WITH		Endocardial Fibroelastosis	C0014117
TAZ gene	C1336578	ASSOCIATED_WITH		Left ventricular noncompaction	C1960469
TAZ gene	C1336578	ASSOCIATED_WITH		Cardiomyopathies	C0878544
TAZ gene	C1336578	ASSOCIATED_WITH		Cardiomyopathy, Dilated	C0007193
TAZ gene	C1336578	ASSOCIATED_WITH		3-Methylglutaconic aciduria type 2	C0574083
COA4 gene	C1824732	AFFECTS	["20624914_fullText_8"]	Central Core Myopathy (disorder)	C0751951
SH2B3 gene	C1822705	ASSOCIATED_WITH		Lupus Erythematosus, Systemic	C0024141
SH2B3 gene	C1822705	ASSOCIATED_WITH		Coronary heart disease	C0010068
SH2B3 gene	C1822705	ASSOCIATED_WITH		Cerebrovascular accident	C0038454
SH2B3 gene	C1822705	ASSOCIATED_WITH		Myocardial Infarction	C0027051
SH2B3 gene	C1822705	ASSOCIATED_WITH		Thrombocytosis	C0836924
SH2B3 gene	C1822705	ASSOCIATED_WITH		Thrombocythemia, Essential	C0040028
SH2B3 gene	C1822705	ASSOCIATED_WITH		Coronary Arteriosclerosis	C0010054
SH2B3 gene	C1822705	ASSOCIATED_WITH		Diabetes Mellitus, Insulin-Dependent	C0011854
CSTB gene	C1332798	ASSOCIATED_WITH		Encephalopathies	C0085584
CSTB gene	C1332798	ASSOCIATED_WITH		Myoclonic Epilepsies, Progressive	C0751778
CSTB gene	C1332798	ASSOCIATED_WITH		Unverricht-Lundborg Syndrome	C0751785
CSTB gene	C1332798	ASSOCIATED_WITH	["33476484_fullText_13"]	Neuropathy ataxia and retinis pigmentosa	C1328349
OPA1 gene	C1417953	ASSOCIATED_WITH		Leigh Disease	C0023264
OPA1 gene	C1417953	ASSOCIATED_WITH		Auditory neuropathy	C1852271
OPA1 gene	C1417953	ASSOCIATED_WITH		Mitochondrial Diseases	C0751651
OPA1 gene	C1417953	ASSOCIATED_WITH		Low Tension Glaucoma	C0152136
OPA1 gene	C1417953	ASSOCIATED_WITH		Behr syndrome	C0221061
OPA1 gene	C1417953	ASSOCIATED_WITH		Optic Atrophy	C0029124
OPA1 gene	C1417953	ASSOCIATED_WITH		Optic Atrophy, Autosomal Dominant	C0338508
OPA1 gene	C1417953	ASSOCIATED_WITH		OPTIC ATROPHY WITH OR WITHOUT DEAFNESS, OPHTHALMOPLEGIA, MYOPATHY, ATAXIA, AND NEUROPATHY	C3276549
PDP1 gene	C1418818	ASSOCIATED_WITH		Obesity	C0028754
PDP1 gene	C1418818	ASSOCIATED_WITH		Pyruvate Dehydrogenase Complex Deficiency Disease	C0034345
TFAM gene	C1420696	CAUSES	["30059502_fullText_68","30059502_fullText_69","30059502_fullText_253","30059502_fullText_254"]	Anemia of prematurity	C0158996
TFAM gene	C1420696	ASSOCIATED_WITH		Premature Menopause	C0025322
TFAM gene	C1420696	ASSOCIATED_WITH		Amyotrophic Lateral Sclerosis	C0002736
TFAM gene	C1420696	ASSOCIATED_WITH		Huntington Disease	C0020179
TFAM gene	C1420696	ASSOCIATED_WITH		Alzheimer's Disease	C0002395
TFAM gene	C1420696	ASSOCIATED_WITH		Parkinson Disease	C0030567
UCP2 gene	C1421314	ASSOCIATED_WITH		Diabetic Neuropathies	C0011882
UCP2 gene	C1421314	ASSOCIATED_WITH		Kidney Failure, Chronic	C0022661
UCP2 gene	C1421314	ASSOCIATED_WITH		Fatty Liver	C0015695
UCP2 gene	C1421314	ASSOCIATED_WITH		Cerebrovascular accident	C0038454
UCP2 gene	C1421314	ASSOCIATED_WITH		Diabetes Mellitus, Non-Insulin-Dependent	C0011860
UCP2 gene	C1421314	ASSOCIATED_WITH		Hypertensive disease	C0020538
UCP2 gene	C1421314	ASSOCIATED_WITH		Obesity	C0028754
NDUFA11 gene	C1426901	ASSOCIATED_WITH		MITOCHONDRIAL COMPLEX I DEFICIENCY	C1838979
HLA-G gene	C1415587	ASSOCIATED_WITH		Hepatitis C	C0019196
HLA-G gene	C1415587	ASSOCIATED_WITH		Asthma	C0004096
PDSS2 gene	C1826561	ASSOCIATED_WITH		Leigh Disease	C0023264
PDSS2 gene	C1826561	ASSOCIATED_WITH		Kidney Diseases	C0022658
PDSS2 gene	C1826561	ASSOCIATED_WITH		COENZYME Q10 DEFICIENCY	C1843920
PDSS2 gene	C1826561	ASSOCIATED_WITH		Nephrotic Syndrome	C0027726
OPA3 gene	C1417955	ASSOCIATED_WITH		Optic Atrophy, Autosomal Dominant	C0338508
OPA3 gene	C1417955	ASSOCIATED_WITH		OPTIC ATROPHY AND CATARACT, AUTOSOMAL DOMINANT	C1833809
OPA3 gene	C1417955	ASSOCIATED_WITH		3-Methylglutaconic aciduria type 3	C0574084
SRSF2 gene	C1419992	ASSOCIATED_WITH		Progressive supranuclear palsy	C0038868
NDUFA8 gene	C1417629	ASSOCIATED_WITH		Mitochondrial Diseases	C0751651
COX11 gene	C1413630	ASSOCIATED_WITH		MITOCHONDRIAL COMPLEX IV DEFICIENCY, NUCLEAR TYPE 23	C5830322
TYMP gene	C1333327	ASSOCIATED_WITH		Mitochondrial Encephalomyopathies	C0162666
TYMP gene	C1333327	ASSOCIATED_WITH		Mitochondrial Diseases	C0751651
TYMP gene	C1333327	ASSOCIATED_WITH		MITOCHONDRIAL NEUROGASTROINTESTINAL ENCEPHALOPATHY SYNDROME	C0872218
CISH gene	C1332762	ASSOCIATED_WITH		Tuberculosis	C0041296
CISH gene	C1332762	ASSOCIATED_WITH		Malaria	C0024530
CISH gene	C1332762	ASSOCIATED_WITH		Bacteremia	C0004610
PRIMA1 gene	C1425446	ASSOCIATED_WITH		Muscular Dystrophy	C0026850
F11 gene	C1414498	ASSOCIATED_WITH		Hypertensive disease	C0020538
F11 gene	C1414498	ASSOCIATED_WITH		Coagulation factor deficiency syndrome	C0272315
F11 gene	C1414498	ASSOCIATED_WITH		Factor XI Deficiency	C0015523
ATP6V0A2 gene	C1425544	ASSOCIATED_WITH		Cutis Laxa	C0010495
ATP6V0A2 gene	C1425544	ASSOCIATED_WITH		Wrinkly skin syndrome	C0406587
ATP6V0A2 gene	C1425544	ASSOCIATED_WITH		Cutis Laxa, Autosomal Recessive, Type IIA	C0268355
CCDC115 gene	C1824644	ASSOCIATED_WITH__INFER__	["31800099_fullText_91"]	Liver diseases	C0023895
CCDC115 gene	C1824644	ASSOCIATED_WITH	["28108845_fullText_7"]	Liver diseases	C0023895
TMEM165 gene	C1823430	CAUSES	["39002685_fullText_4"]	Congenital Disorders	C0242354
TMEM165 gene	C1823430	ASSOCIATED_WITH		Congenital Disorders of Glycosylation	C0282577
TMEM165 gene	C1823430	ASSOCIATED_WITH	["31415112_fullText_1","31351090_fullText_1"]	Rare Diseases	C0678236
TMEM165 gene	C1823430	ASSOCIATED_WITH	["27401145_fullText_7"]	Congenital Disorders	C0242354
TMEM165 gene	C1823430	ASSOCIATED_WITH	["23575229_fullText_1"]	CONGENITAL DISORDER OF GLYCOSYLATION, TYPE Ii	C1842836
TMEM165 gene	C1823430	ASSOCIATED_WITH	["39002685_fullText_10"]	multiple pathologies	C0679225
TMEM165 gene	C1823430	ASSOCIATED_WITH__INFER__	["23928051_fullText_6"]	multiple pathologies	C0679225
SLC35A3 gene	C1420189	ASSOCIATED_WITH		Arthrogryposis multiplex congenita	C5779613
DDAH1 gene	C1413939	ASSOCIATED_WITH		Myocardial Ischemia	C0151744
DDAH1 gene	C1413939	ASSOCIATED_WITH		Coronary heart disease	C0010068
DDAH1 gene	C1413939	ASSOCIATED_WITH		Cardiovascular Diseases	C0007222
DDAH1 gene	C1413939	ASSOCIATED_WITH		Coronary Arteriosclerosis	C0010054
DDAH1 gene	C1413939	ASSOCIATED_WITH		Hypertensive disease	C0020538
SLC1A2 gene	C1420120	ASSOCIATED_WITH		Diabetes Mellitus, Non-Insulin-Dependent	C0011860
SLC1A2 gene	C1420120	ASSOCIATED_WITH		Epilepsy	C0014544
SLC1A2 gene	C1420120	ASSOCIATED_WITH		Amyotrophic Lateral Sclerosis	C0002736
CFP gene	C1418482	ASSOCIATED_WITH		PROPERDIN DEFICIENCY, X-LINKED	C1839454
P2RY12 gene	C1425330	ASSOCIATED_WITH		von Willebrand Disease	C0042974
P2RY12 gene	C1425330	ASSOCIATED_WITH		Asthma	C0004096
P2RY12 gene	C1425330	ASSOCIATED_WITH		Peripheral Arterial Diseases	C1704436
P2RY12 gene	C1425330	ASSOCIATED_WITH		Myocardial Infarction	C0027051
P2RY12 gene	C1425330	ASSOCIATED_WITH	["35000152_fullText_2"]	Diabetes Mellitus, Non-Insulin-Dependent	C0011860
P2RY12 gene	C1425330	ASSOCIATED_WITH	["37267639_fullText_6"]	Chronic pain	C0150055
P2RY12 gene	C1425330	ASSOCIATED_WITH	["34918066_fullText_16"]	Acute Coronary Syndrome	C0948089
P2RY12 gene	C1425330	ASSOCIATED_WITH	["37952830_fullText_3"]	Peripheral Neuropathy	C0031117
P2RY12 gene	C1425330	ASSOCIATED_WITH	["34319489_fullText_3","34319489_fullText_5"]	Inflammatory disorder	C1290884
P2RY12 gene	C1425330	ASSOCIATED_WITH	["34954381_fullText_6"]	Colitis	C0009319
P2RY12 gene	C1425330	ASSOCIATED_WITH	["37952830_fullText_3"]	Cerebrovascular accident	C0038454
P2RY12 gene	C1425330	ASSOCIATED_WITH	["35175489_fullText_2"]	Epilepsy	C0014544
P2RY12 gene	C1425330	ASSOCIATED_WITH__SPEC__	["34319489_fullText_5"]	Septicemia	C0036690
LPAR3 wt Allele	C3812695	ASSOCIATED_WITH	["36351236_fullText_2"]	Malaria	C0024530
LPAR3 wt Allele	C3812695	ASSOCIATED_WITH	["34762657_fullText_15"]	Cestode Infections	C0007894
HCRTR2 gene	C1415502	ASSOCIATED_WITH		Narcolepsy	C0027404
HCRTR2 gene	C1415502	DISRUPTS	["35451800_fullText_5"]	Dyssomnias	C0700201
HCRTR2 gene	C1415502	DISRUPTS	["35839689_fullText_4"]	Heparin-induced thrombocytopenia	C0272285
SLC1A1 gene	C1420119	ASSOCIATED_WITH		Low Tension Glaucoma	C0152136
SLC1A1 gene	C1420119	ASSOCIATED_WITH		Epilepsy, Temporal Lobe	C0014556
SLC1A1 gene	C1420119	ASSOCIATED_WITH		Epilepsy	C0014544
SLC1A1 gene	C1420119	ASSOCIATED_WITH		Dicarboxylicaminoaciduria	C1857253
ADRB1 gene	C1439273	ASSOCIATED_WITH		Low Tension Glaucoma	C0152136
ADRB1 gene	C1439273	ASSOCIATED_WITH		Chronic Obstructive Airway Disease	C0024117
ADRB1 gene	C1439273	ASSOCIATED_WITH		Periodontitis	C0031099
ADRB1 gene	C1439273	ASSOCIATED_WITH		Sleep Apnea, Obstructive	C0520679
ADRB1 gene	C1439273	ASSOCIATED_WITH		Myocardial Ischemia	C0151744
ADRB1 gene	C1439273	ASSOCIATED_WITH		Diabetes Mellitus	C0011849
ADRB1 gene	C1439273	ASSOCIATED_WITH		Obesity	C0028754
ADRB1 gene	C1439273	ASSOCIATED_WITH		Cardiovascular Diseases	C0007222
ADRB1 gene	C1439273	ASSOCIATED_WITH		Cardiomyopathy, Dilated	C0007193
ADRB1 gene	C1439273	ASSOCIATED_WITH		Congestive heart failure	C0018802
ADRB1 gene	C1439273	ASSOCIATED_WITH		Heart failure	C0018801
ADRB1 gene	C1439273	ASSOCIATED_WITH		Hypertensive disease	C0020538
LRP5 gene	C1416917	ASSOCIATED_WITH		Proliferative vitreoretinopathy	C0242852
