Phenotype	Phenotype_id	RELATION	PROVENANCE	Drug	Drug_id
Neuropathic pain	C3714625	IS_TREATED	["36652069_fullText_1"]	Agonist	C2987634
Neuropathic pain	C3714625	IS_TREATED	["36838749_fullText_6"]	agonists	C0243192
Neuropathic pain	C3714625	IS_TREATED	["34597607_fullText_1"]	dezocine	C0057626
Neuropathic pain	C3714625	IS_TREATED	["35513603_fullText_5"]	Tricyclic Antidepressive Agents	C0003290
Neuropathic pain	C3714625	IS_TREATED	["34481450_fullText_3"]	Antidepressive Agents	C0003289
Tactile Allodynia	C0751213	IS_TREATED	["33924258_fullText_5"]	ropinirole	C0244821
Tactile Allodynia	C0751213	IS_TREATED	["33924258_fullText_5"]	vortioxetine	C3661282
cholinesterase inhibition	C0877006	IS_TREATED	["34592924_fullText_6"]	Carotenoids	C0007271
Cardiovascular event	C1320716	IS_TREATED	["36588476_fullText_3"]	clopidogrel	C0070166
Cardiovascular event	C1320716	IS_TREATED	["36017016_fullText_2"]	Calcium Channel Blockers	C0006684
Minimal Disseminated Disease	C3812244	IS_TREATED	["34873130_fullText_1"]	Selective Serotonin Reuptake Inhibitors	C0360105
Minimal Disseminated Disease	C3812244	IS_TREATED	["34016225_fullText_2"]	Selective Serotonin Reuptake Inhibitors	C0360105
Vocalization (finding)	C0564182	IS_TREATED	["34358575_fullText_3"]	Norepinephrine	C0028351
Absence of pain sensation	C0344307	IS_TREATED	["27631259_fullText_28"]	Opioids	C0242402
Absence of pain sensation	C0344307	IS_TREATED	["35307331_fullText_8","36148837_fullText_9"]	Sulpiride	C0038803
Absence of pain sensation	C0344307	IS_TREATED	["35817255_fullText_1"]	Marihuana	C0024808
Absence of pain sensation	C0344307	IS_TREATED	["35014205_fullText_1"]	agonists	C0243192
Absence of pain sensation	C0344307	IS_TREATED	["34862748_fullText_2"]	Agonist	C2987634
Absence of pain sensation	C0344307	IS_TREATED	["35307331_fullText_8","36148837_fullText_9"]	SCH 23390	C0080138
Absence of pain sensation	C0344307	IS_TREATED	["34802041_fullText_7"]	rimonabant	C1142933
Infected	C0439663	IS_TREATED	["33723270_fullText_9"]	Fluoxetine	C0016365
Infected	C0439663	IS_TREATED	["34114978_fullText_2"]	aprepitant	C1176306
Anxiety symptoms	C0860603	IS_TREATED	["36811273_fullText_3"]	benzodiazepine tranquilizers	C0005063
Anxiety symptoms	C0860603	IS_TREATED	["35691145_fullText_1","35691145_fullText_3"]	atomoxetine	C0076823
Anxiety symptoms	C0860603	IS_TREATED	["34580419_fullText_8"]	Escitalopram	C1099456
Anxiety symptoms	C0860603	IS_TREATED	["34116110_fullText_8"]	Cannabinoids	C0006864
Acute retention of urine	C0341742	IS_TREATED	["37327163_fullText_11"]	Adrenergic alpha-Antagonists	C0001641
