Phenotype	Phenotype_id	RELATION	PROVENANCE	Drug	Drug_id
Gait Ataxia	C0751837	IS_TREATED	["32357546_fullText_27"]	Buspirone	C0006462
Gait abnormality	C0575081	IS_TREATED	["34544947_fullText_5"]	Distigmine bromide	C2745877
Neurological observations	C0422837	IS_TREATED	["7146576_fullText_2"]	Phenylalanine	C0031453
Neurological observations	C0422837	IS_TREATED	["7146576_fullText_2"]	other medicated shampoos in ATC	C3539125
Neurological observations	C0422837	IS_TREATED	["34454911_fullText_2"]	agonists	C0243192
Neurological observations	C0422837	IS_TREATED	["34499561_fullText_4"]	messenger protein	C0169911
Neurological observations	C0422837	IS_TREATED	["34281274_fullText_4"]	Antioxidants	C0003402
Dizziness	C0012833	IS_TREATED	["34311244_fullText_5"]	duloxetine	C0245561
handicapping condition	C0231172	IS_TREATED	["21862209_fullText_1"]	Program	C2728259
Vertigo	C0042571	IS_TREATED	["35849408_fullText_2"]	Benzodiazepines	C0005064
Vertigo	C0042571	IS_TREATED	["35849408_fullText_2"]	Antihistamines	C0003360
Progressive disorder	C1864985	IS_TREATED	["37738768_fullText_1"]	Cholinesterase Inhibitors	C0008425
Parkinsonian symptoms	C1847652	IS_TREATED	["37569714_fullText_8"]	Antihistamines	C0003360
Physical shape	C0700329	IS_TREATED	["27717809_fullText_5"]	animal allergen extracts	C3540698
Motor symptoms	C0426980	IS_TREATED	["35357463_fullText_1"]	Dopaminergic Agents	C0013036
Motor symptoms	C0426980	IS_TREATED	["36716191_fullText_3"]	Dopamine Agonists	C0178601
Motor symptoms	C0426980	IS_TREATED	["36958527_fullText_1"]	Pramipexole	C0074710
Motor symptoms	C0426980	IS_TREATED	["35718278_fullText_5"]	Dopamine Uptake Inhibitors	C0242980
Motor symptoms	C0426980	IS_TREATED	["37713748_fullText_1"]	agonists	C0243192
Motor symptoms	C0426980	IS_TREATED	["35104500_fullText_6"]	atractylon	C0052616
Motor symptoms	C0426980	IS_TREATED	["37713748_fullText_1"]	Muscarinic Antagonists	C0003385
Motor symptoms	C0426980	IS_TREATED	["37973769_fullText_16"]	MAO B Inhibitors, dopaminergic anti-parkinson drugs	C3653412
Motor symptoms	C0426980	IS_TREATED	["35864474_fullText_2","35864474_fullText_6"]	Anticholinergic Agents	C0242896
Motor symptoms	C0426980	IS_TREATED	["36958527_fullText_1"]	ropinirole	C0244821
Motor symptoms	C0426980	IS_TREATED	["35149201_fullText_1","36211804_fullText_5","34782410_fullText_4","36716191_fullText_3","34785162_fullText_11","36112816_fullText_3"]	Levodopa	C0023570
Motor symptoms	C0426980	IS_TREATED	["32357546_fullText_286"]	Suppressor	C2954564
Motor symptoms	C0426980	IS_TREATED	["36958527_fullText_1"]	Rotigotine	C1700683
Neuronal loss	C1850496	IS_TREATED	["23326493_fullText_84"]	Lactate	C0376261
Rescue	C3840763	IS_TREATED	["28662078_fullText_80"]	ivacaftor	C3264621
Rescue	C3840763	IS_TREATED	["35499619_fullText_1"]	Emend	C1175300
Rescue	C3840763	IS_TREATED	["34742740_fullText_2"]	Levodopa	C0023570
Rescue	C3840763	IS_TREATED	["34742740_fullText_2"]	Apomorphine	C0003596
Rescue	C3840763	IS_TREATED	["35653343_fullText_88"]	Dopamine	C0013030
Rescue	C3840763	IS_TREATED	["34742740_fullText_6"]	Adjuvant Analgesic	C1510809
Worse	C1457868	IS_TREATED	["33471587_fullText_5"]	Albuterol	C0001927
Worse	C1457868	IS_TREATED	["34939548_fullText_2"]	Memantine	C0025242
Death Related to Adverse Event	C1705232	IS_TREATED	["35083810_fullText_1"]	Ethanol	C0001962
Death Related to Adverse Event	C1705232	IS_TREATED	["35083810_fullText_1"]	Marihuana	C0024808
Cerebellar Ataxia	C0007758	IS_TREATED	["34360588_fullText_11"]	Memantine	C0025242
Cerebellar Ataxia	C0007758	IS_TREATED	["35859208_fullText_3"]	Cannabinoids	C0006864
Extrapyramidal sign	C0234133	IS_TREATED	["38227368_fullText_37"]	Botulinum Toxins	C0006055
Extrapyramidal sign	C0234133	IS_TREATED	["38227368_fullText_37"]	Dopaminergic Agents	C0013036
Severe phenotype	C1836408	IS_TREATED	["34495967_fullText_2"]	Succinic Acid	C0075429
Nausea	C0027497	IS_TREATED	["35377814_fullText_4"]	aprepitant	C1176306
Nausea	C0027497	IS_TREATED	["33998876_fullText_8"]	Carbidopa	C0006982
Nausea	C0027497	IS_TREATED	["35321690_fullText_3"]	olanzapine	C0171023
Nausea	C0027497	IS_TREATED	["37704796_fullText_3"]	Serotonin 5-HT3 Receptor Antagonists	C2936526
Nausea	C0027497	IS_TREATED	["37704796_fullText_2","37704796_fullText_3","37704796_fullText_10"]	Eicosapentaenoic Acid	C0000545
Nausea	C0027497	IS_TREATED	["37779040_fullText_1"]	Dimenhydrinate	C0012381
Nausea	C0027497	IS_TREATED	["37348821_fullText_2"]	Cannabinoids	C0006864
Nausea	C0027497	IS_TREATED	["35499619_fullText_1"]	fosaprepitant	C2349941
Nausea	C0027497	IS_TREATED	["34918875_fullText_1"]	Dopamine-2 Receptor Antagonist [EPC]	C2917388
Neurologic Dysfunction	C0751377	IS_TREATED	["12614314_fullText_2"]	Fluoxetine	C0016365
Neurologic Dysfunction	C0751377	IS_TREATED	["12614314_fullText_2"]	Serotonin Uptake Inhibitors	C0162758
Resting state	C0679218	IS_TREATED	["37540512_fullText_2"]	Selective Serotonin Reuptake Inhibitors	C0360105
research results	C0683954	IS_TREATED	["38019759_fullText_3"]	Selective Serotonin Reuptake Inhibitors	C0360105
research results	C0683954	IS_TREATED	["38374165_fullText_54"]	Candida albicans extract	C0717551
research results	C0683954	IS_TREATED	["36190338_fullText_4"]	Proton Pump Inhibitors	C0358591
research results	C0683954	IS_TREATED	["36190338_fullText_4"]	Histamine H2 Antagonists	C0019593
research results	C0683954	IS_TREATED	["38019759_fullText_3"]	Norepinephrine Reuptake Inhibitor [EPC]	C3537046
Depressive Symptoms	C0086132	IS_TREATED	["36999619_fullText_3","34271969_fullText_13","33731232_fullText_4","34903115_fullText_3","33917953_fullText_1","34000464_fullText_5","35598746_fullText_1","33860531_fullText_26","34029378_fullText_10"]	Antidepressive Agents	C0003289
Depressive Symptoms	C0086132	IS_TREATED	["34903115_fullText_3"]	Anticonvulsants	C0003286
Depressive Symptoms	C0086132	IS_TREATED	["34001924_fullText_7","35659968_fullText_9","33725349_fullText_4","34903115_fullText_3","34876436_fullText_2","37259037_fullText_4"]	Selective Serotonin Reuptake Inhibitors	C0360105
Depressive Symptoms	C0086132	IS_TREATED	["36089660_fullText_11"]	Berberine	C0005117
Depressive Symptoms	C0086132	IS_TREATED	["35659968_fullText_9"]	Tricyclic Antidepressive Agents	C0003290
Depressive Symptoms	C0086132	IS_TREATED	["36170697_fullText_6"]	Fluvoxamine	C0085228
Depressive Symptoms	C0086132	IS_TREATED	["34087694_fullText_9"]	baicalein	C0052927
Depressive Symptoms	C0086132	IS_TREATED	["36520964_fullText_8"]	Bupropion	C0085208
Clinical heterogeneity	C1850620	IS_TREATED	["10767174_fullText_1"]	Basis	C1874451
Perceived quality of life	C0518214	IS_TREATED	["35702846_fullText_2"]	Histamine H1 Antagonists, Non-Sedating	C1136312
Perceived quality of life	C0518214	IS_TREATED	["35446512_fullText_7"]	nasal saline	C0721973
Perceived quality of life	C0518214	IS_TREATED	["35702846_fullText_2"]	Histamine-1 Receptor Inhibitor [EPC]	C2919009
Perceived quality of life	C0518214	IS_TREATED	["36244054_fullText_6"]	Topical form antihistamine	C0357949
Perceived quality of life	C0518214	IS_TREATED	["35313873_fullText_11"]	mirabegron	C2983812
Perceived quality of life	C0518214	IS_TREATED	["37499088_fullText_8"]	onabotulinumtoxinA	C2719767
Perceived quality of life	C0518214	IS_TREATED	["35702846_fullText_2"]	Cetirizine	C0055147
Perceived quality of life	C0518214	IS_TREATED	["35446512_fullText_7"]	Leukotriene Receptor Antagonist [EPC]	C3537183
Perceived quality of life	C0518214	IS_TREATED	["35593100_fullText_7"]	bilastine	C1101148
Sleep disturbances	C0037317	IS_TREATED	["37175525_fullText_5"]	Drugs, Non-Prescription	C0013231
Sleep disturbances	C0037317	IS_TREATED	["36075858_fullText_5"]	Antidepressive Agents	C0003289
Sleep disturbances	C0037317	IS_TREATED	["33768603_fullText_9"]	Triprolidine	C0041098
Sleep disturbances	C0037317	IS_TREATED	["37175525_fullText_5"]	Iron	C0302583
Sleep disturbances	C0037317	IS_TREATED	["37446929_fullText_6"]	modafinil	C0066677
Sleep disturbances	C0037317	IS_TREATED	["37175525_fullText_5"]	5-Hydroxytryptophan	C0000578
Sleep disturbances	C0037317	IS_TREATED	["36920821_fullText_11"]	Prazosin	C0032912
Sleep disturbances	C0037317	IS_TREATED	["33768603_fullText_1","37175525_fullText_5"]	Antihistamines	C0003360
Sleep disturbances	C0037317	IS_TREATED	["36309115_fullText_3"]	lavender oil	C0064694
Sleep disturbances	C0037317	IS_TREATED	["31522993_fullText_2"]	Dopamine	C0013030
Sleep disturbances	C0037317	IS_TREATED	["36705724_fullText_5"]	Propranolol	C0033497
Sleep disturbances	C0037317	IS_TREATED	["36107800_fullText_1"]	Marihuana	C0024808
Sleep disturbances	C0037317	IS_TREATED	["37175525_fullText_5"]	theanine	C0076380
Detected (finding)	C0442726	IS_TREATED	["36831967_fullText_7"]	Levodopa	C0023570
Detected (finding)	C0442726	IS_TREATED	["7842590_fullText_3"]	IOBENGUANE SULFATE I-123	C2346581
Detected (finding)	C0442726	IS_TREATED	["37531115_fullText_2"]	fostriecin	C0118175
Gait	C0016928	IS_TREATED	["33754884_fullText_1","35089235_fullText_4"]	Dopaminergic Agents	C0013036
Gait	C0016928	IS_TREATED	["32992315_fullText_2"]	rivastigmine	C0649350
Gait	C0016928	IS_TREATED	["22323747_fullText_4"]	varenicline	C1569608
Neuronal Differentiation	C1518294	IS_TREATED	["35857260_fullText_3"]	Colforsin	C0917964
Bradykinesia	C0233565	IS_TREATED	["34699917_fullText_5"]	Madopar	C0065502
Excitability	C0235169	IS_TREATED	["18270582_fullText_51"]	Clenbuterol	C0008932
Excitability	C0235169	IS_TREATED	["36604171_fullText_9"]	Acetylcholine	C0001041
Excitability	C0235169	IS_TREATED	["36869289_fullText_3"]	3-aminopyridine-2-carboxaldehyde thiosemicarbazone	C0210403
Outcome of Therapy	C1518681	IS_TREATED	["36508214_fullText_4"]	Pharmacologic Substance	C1254351
Outcome of Therapy	C1518681	IS_TREATED	["36564015_fullText_6"]	Metric	C0699680
90%	C3842582	IS_TREATED	["36369678_fullText_6"]	animal allergen extracts	C3540698
90%	C3842582	IS_TREATED	["34942461_fullText_4"]	levocetirizine	C1174893
90%	C3842582	IS_TREATED	["1985428_fullText_4"]	Phenylalanine	C0031453
90%	C3842582	IS_TREATED	["34942461_fullText_4"]	montelukast	C0298130
Tachycardia	C0039231	IS_TREATED	["35643970_fullText_7"]	CGP 20712A	C0055182
Tachycardia	C0039231	IS_TREATED	["33722203_fullText_7"]	Sotalol	C0037707
Tachycardia	C0039231	IS_TREATED	["33722203_fullText_7"]	Nadolol	C0027302
Tachycardia	C0039231	IS_TREATED	["33722203_fullText_7"]	Digoxin	C0012265
Tachycardia	C0039231	IS_TREATED	["37877587_fullText_5"]	landiolol	C0905464
Associated symptom	C0521989	IS_TREATED	["33509648_fullText_11"]	Cannabinoids	C0006864
Associated symptom	C0521989	IS_TREATED	["33509648_fullText_11"]	Marihuana	C0024808
Severe disorder	C1836348	IS_TREATED	["22325981_fullText_1"]	Levodopa	C0023570
Severe disorder	C1836348	IS_TREATED	["27774737_fullText_7"]	Therapeutic agent (substance)	C1611640
Severe disorder	C1836348	IS_TREATED	["37718804_fullText_2"]	Donepezil hydrochloride	C0771848
Severe disorder	C1836348	IS_TREATED	["22325981_fullText_1"]	5-Hydroxytryptophan	C0000578
Severe disorder	C1836348	IS_TREATED	["32147747_fullText_103"]	Zinc Acetate	C0149368
Indicated	C1444656	IS_TREATED	["11882785_fullText_4"]	Phenylalanine	C0031453
General body state finding	C0424575	IS_TREATED	["34818261_fullText_8"]	Phosphodiesterase Inhibitors	C0031638
GeneticObservationValue <HOMO>	C3245470	IS_TREATED	["7194402_fullText_2"]	Phenylalanine	C0031453
GeneticObservationValue <HOMO>	C3245470	IS_TREATED	["7194402_fullText_2"]	Tyrosine	C0041485
Chief complaint (finding)	C0277786	IS_TREATED	["35212023_fullText_8"]	Blockade	C3540676
Chief complaint (finding)	C0277786	IS_TREATED	["36566404_fullText_2"]	Duration	C2926735
Chief complaint (finding)	C0277786	IS_TREATED	["1183053_fullText_1"]	ferric chloride	C0060229
Discrepancy	C1290905	IS_TREATED	["36332691_fullText_11"]	1-(3-chlorophenyl)piperazine	C0044170
Engaged to be married	C0425152	IS_TREATED	["36922494_fullText_7"]	agonists	C0243192
Short menstrual periods	C0425946	IS_TREATED	["36481446_fullText_6"]	Dopamine Agonists	C0178601
Lethal	C3151529	IS_TREATED	["35653343_fullText_87"]	Dopamine	C0013030
Lethal	C3151529	IS_TREATED	["31640729_fullText_92"]	Mannose	C0024742
Protection	C1545588	IS_TREATED	["36374735_fullText_8"]	yohimbine	C0724441
Protection	C1545588	IS_TREATED	["34081810_fullText_2"]	carvedilol	C0054836
Protection	C1545588	IS_TREATED	["35945578_fullText_11"]	Air	C3536832
Weight Gain	C0043094	IS_TREATED	["35806019_fullText_1"]	Histamine H3 Antagonists	C1956071
Weight Gain	C0043094	IS_TREATED	["33831213_fullText_9"]	GLP-1 Receptor Agonist [EPC]	C2917359
75+ years	C3840862	IS_TREATED	["34727752_fullText_2"]	Selective Serotonin Reuptake Inhibitors	C0360105
Malaise	C0231218	IS_TREATED	["35707983_fullText_9"]	Histamine H2 Antagonists	C0019593
Malaise	C0231218	IS_TREATED	["31968060_fullText_17"]	Analgesics	C0002771
1 - 9%	C3842508	IS_TREATED	["27199540_fullText_42"]	pregabalin	C0657912
1 - 9%	C3842508	IS_TREATED	["27199540_fullText_42"]	gabapentin	C0060926
Neurologic Symptoms	C0235031	IS_TREATED	["3590175_fullText_5"]	Levocarnitine	C0087163
Neurologic Symptoms	C0235031	IS_TREATED	["37365290_fullText_7"]	Sirolimus	C0072980
Neurologic Symptoms	C0235031	IS_TREATED	["37365290_fullText_7"]	Acarbose	C0050393
Neurologic Symptoms	C0235031	IS_TREATED	["32525073_fullText_2"]	Mexiletine	C0025887
Signs and Symptoms	C0037088	IS_TREATED	["21431621_fullText_108"]	Citrulline	C0008864
Signs and Symptoms	C0037088	IS_TREATED	["37711900_fullText_2"]	cabergoline	C0107994
Phenotypic variation	C1836717	IS_TREATED	["10815141_fullText_7"]	Basis	C1874451
Constipation	C0009806	IS_TREATED	["35123085_fullText_9"]	tegaserod	C0537147
Constipation	C0009806	IS_TREATED	["36587170_fullText_8"]	agonists	C0243192
Constipation	C0009806	IS_TREATED	["37843943_fullText_5"]	Fiber	C0225326
Constipation	C0009806	IS_TREATED	["33895170_fullText_11"]	Agonist	C2987634
Constipation	C0009806	IS_TREATED	["36840745_fullText_3"]	Duration	C2926735
Constipation	C0009806	IS_TREATED	["36840745_fullText_3"]	Anticholinergic Agents	C0242896
Constipation	C0009806	IS_TREATED	["36083632_fullText_2"]	sennosides, USP	C0074332
Serious Adverse Event	C1519255	IS_TREATED	["36008492_fullText_9"]	Ketamine	C0022614
Serious Adverse Event	C1519255	IS_TREATED	["37439548_fullText_9"]	Clonidine	C0009014
Serious Adverse Event	C1519255	IS_TREATED	["37439548_fullText_9"]	DIRECT RENIN INHIBITOR	C1950687
Serious Adverse Event	C1519255	IS_TREATED	["36008492_fullText_9"]	Ketamine	C0022614
Serious Adverse Event	C1519255	IS_TREATED	["35666463_fullText_8"]	rivastigmine	C0649350
Hypotension, Orthostatic	C0020651	IS_TREATED	["38041226_fullText_1"]	Midodrine	C0026078
Hypotension, Orthostatic	C0020651	IS_TREATED	["38041226_fullText_6"]	Midodrine	C0026078
> 2 years	C3843647	IS_TREATED	["22845646_fullText_3"]	Glucans	C0017696
> 2 years	C3843647	IS_TREATED	["2177768_fullText_1"]	Sodium Selenite	C0142923
> 2 years	C3843647	IS_TREATED	["34587384_fullText_3"]	Antidepressive Agents	C0003289
> 2 years	C3843647	IS_TREATED	["2177768_fullText_1"]	Vitamin E	C0042874
> 2 years	C3843647	IS_TREATED	["22845646_fullText_3"]	Levocarnitine	C0087163
patient condition	C0683521	IS_TREATED	["34799692_fullText_3"]	Dopamine Hydrochloride	C0282151
patient condition	C0683521	IS_TREATED	["34893996_fullText_1"]	Acetylcholine	C0001041
patient condition	C0683521	IS_TREATED	["34405263_fullText_1"]	Acetylcholinesterase Inhibitors	C0001046
patient condition	C0683521	IS_TREATED	["35695543_fullText_11"]	agonists	C0243192
patient condition	C0683521	IS_TREATED	["36064306_fullText_1"]	4-(3-chlorophenylsulfanyl)piperidine hydrochloride	C0765956
patient condition	C0683521	IS_TREATED	["33928393_fullText_1"]	Agonist	C2987634
Tremor	C0040822	IS_TREATED	["35562169_fullText_6"]	Benzodiazepines	C0005064
Tremor	C0040822	IS_TREATED	["19277893_fullText_5","19277893_fullText_8"]	coenzyme Q10	C0056077
Tremor	C0040822	IS_TREATED	["19277893_fullText_5","19277893_fullText_8"]	Phenylalanine	C0031453
Tremor	C0040822	IS_TREATED	["30149304_fullText_4"]	Trihexyphenidyl	C0041009
Tremor	C0040822	IS_TREATED	["37154268_fullText_9"]	Monoamine Oxidase Inhibitors	C0026457
Tremor	C0040822	IS_TREATED	["36847017_fullText_7"]	Apomorphine	C0003596
Tremor	C0040822	IS_TREATED	["36497147_fullText_3"]	Propranolol	C0033497
Tremor	C0040822	IS_TREATED	["37154268_fullText_9","36847017_fullText_7"]	Dopamine Agonists	C0178601
Tremor	C0040822	IS_TREATED	["37154268_fullText_9","36847017_fullText_2"]	Levodopa	C0023570
Tremor	C0040822	IS_TREATED	["30149304_fullText_4"]	Clonazepam	C0009011
Tremor	C0040822	IS_TREATED	["36847017_fullText_7"]	Amantadine	C0002403
consideration	C0518609	IS_TREATED	["36402974_fullText_1"]	Selective Serotonin Reuptake Inhibitors	C0360105
Employed	C0557351	IS_TREATED	["35598746_fullText_6"]	Antidepressive Agents	C0003289
functional disability	C0872173	IS_TREATED	["37833018_fullText_4"]	Enzymes, hematological	C3540017
Hyperactive behavior	C0424295	IS_TREATED	["35806448_fullText_4"]	Clozapine	C0009079
Hyperactive behavior	C0424295	IS_TREATED	["34653559_fullText_9"]	Hesperidin	C0019392
Hyperactive behavior	C0424295	IS_TREATED	["35806448_fullText_4"]	donepezil	C0527316
Hyperactive behavior	C0424295	IS_TREATED	["33857522_fullText_8"]	Stimulant	C0304402
Hyperactive behavior	C0424295	IS_TREATED	["33857522_fullText_8"]	atomoxetine	C0076823
Hyperactive behavior	C0424295	IS_TREATED	["34467765_fullText_5"]	SB 399885	C1608770
Symptom severe	C0436345	IS_TREATED	["37357787_fullText_3"]	Decongestants	C0282374
Symptom severe	C0436345	IS_TREATED	["37357787_fullText_3"]	Anticholinergic Agents	C0242896
Symptom severe	C0436345	IS_TREATED	["36639823_fullText_3"]	omalizumab	C0966225
Symptom severe	C0436345	IS_TREATED	["37357787_fullText_3"]	Adrenal Cortex Hormones	C0001617
Symptom severe	C0436345	IS_TREATED	["26977240_fullText_10"]	Levodopa	C0023570
Symptom severe	C0436345	IS_TREATED	["26977240_fullText_4"]	Madopar	C0065502
Symptom severe	C0436345	IS_TREATED	["34334273_fullText_2"]	Antidepressive Agents	C0003289
Excessive daytime somnolence	C0694563	IS_TREATED	["36165509_fullText_1"]	Agonist	C2987634
Excessive daytime somnolence	C0694563	IS_TREATED	["26002596_fullText_6"]	Mexiletine	C0025887
Excessive daytime somnolence	C0694563	IS_TREATED	["27911338_fullText_2","11274321_fullText_1","11274321_fullText_4","26002596_fullText_6"]	modafinil	C0066677
Close	C3810854	IS_TREATED	["35218559_fullText_6"]	Agonist	C2987634
Close	C3810854	IS_TREATED	["34403981_fullText_5"]	Program	C2728259
Genetic Carriers	C0007294	IS_TREATED	["34412508_fullText_8"]	Enalapril	C0014025
Genetic Carriers	C0007294	IS_TREATED	["11850478_fullText_5"]	Dopamine	C0013030
6/5	C0442749	IS_TREATED	["35906337_fullText_3"]	urinastatin	C0077906
History of previous events	C2004062	IS_TREATED	["9297609_fullText_3"]	Phenylalanine	C0031453
Rhythm	C0871269	IS_TREATED	["23097606_fullText_28"]	Duration	C2926735
Rhythm	C0871269	IS_TREATED	["37598987_fullText_1","37598987_fullText_2"]	Sotalol	C0037707
Coughing	C0010200	IS_TREATED	["37355845_fullText_8"]	Antihistamines	C0003360
Coughing	C0010200	IS_TREATED	["37030486_fullText_1","37030486_fullText_8"]	tiotropium	C0213771
Coughing	C0010200	IS_TREATED	["37355845_fullText_8"]	Pharmacologic Substance	C1254351
Coughing	C0010200	IS_TREATED	["37355845_fullText_8"]	Decongestants	C0282374
Sleeplessness	C0917801	IS_TREATED	["37194534_fullText_6"]	Tranquilizing Agents	C0040614
Sleeplessness	C0917801	IS_TREATED	["32357546_fullText_27"]	Buspirone	C0006462
Sleeplessness	C0917801	IS_TREATED	["34003596_fullText_7"]	Blockade	C3540676
Sleeplessness	C0917801	IS_TREATED	["35437683_fullText_5","34694388_fullText_1"]	Benzodiazepines	C0005064
Sleeplessness	C0917801	IS_TREATED	["35022783_fullText_5","35022783_fullText_6","35554590_fullText_5","35491942_fullText_9"]	Suvorexant	C3179535
Sleeplessness	C0917801	IS_TREATED	["34694388_fullText_1"]	Serotonin Uptake Inhibitors	C0162758
Sleeplessness	C0917801	IS_TREATED	["34891112_fullText_10"]	Agonist	C2987634
Sleeplessness	C0917801	IS_TREATED	["36150811_fullText_3","34694388_fullText_1","37081408_fullText_4","37054418_fullText_6"]	Hypnotics	C0020591
Sleeplessness	C0917801	IS_TREATED	["36309115_fullText_1"]	Renown	C2948167
Sleeplessness	C0917801	IS_TREATED	["35451800_fullText_7"]	Pharmacologic Substance	C1254351
Sleeplessness	C0917801	IS_TREATED	["35102822_fullText_1"]	Trazodone	C0040805
Sleeplessness	C0917801	IS_TREATED	["34694388_fullText_1"]	Selective Serotonin Reuptake Inhibitors	C0360105
Sign or Symptom	C3540840	IS_TREATED	["35778832_fullText_9"]	Guanabenz	C0018312
Refractory Disease	C1514815	IS_TREATED	["33751503_fullText_6"]	other medicated shampoos in ATC	C3539125
One day	C3844320	IS_TREATED	["34437872_fullText_5"]	RU 24969	C0073661
Death (finding)	C1306577	IS_TREATED	["35946604_fullText_1"]	Illicit Drugs	C0086190
Functional Status	C0598463	IS_TREATED	["34196951_fullText_4"]	agonists	C0243192
Ophthalmoplegia	C0029089	IS_TREATED	["30425197_fullText_9"]	diazonaphthalenedisulfonic acid	C0057753
Ophthalmoplegia	C0029089	IS_TREATED	["34565654_fullText_5"]	Edrophonium Chloride	C0013617
Psychotic symptom	C0871189	IS_TREATED	["36721972_fullText_2"]	Serotonin Agonists	C0162757
Psychotic symptom	C0871189	IS_TREATED	["37191567_fullText_3"]	aripiprazole	C0299792
Much difficulty	C3842553	IS_TREATED	["36774749_fullText_1"]	Antipsychotic Agents	C0040615
structural abnormalities	C0749075	IS_TREATED	["26739145_fullText_16"]	Polysaccharides	C0032594
Multiple symptoms	C0231217	IS_TREATED	["36721972_fullText_1"]	agonists	C0243192
Fluctuation	C0231239	IS_TREATED	["24090706_fullText_1","21624843_fullText_1"]	Phenylalanine	C0031453
Fluctuation	C0231239	IS_TREATED	["35291040_fullText_10"]	Levodopa	C0023570
Fluctuation	C0231239	IS_TREATED	["30047169_fullText_5","38673342_fullText_3"]	Phenylalanine	C0031453
White matter changes	C1833300	IS_TREATED	["8888233_fullText_1"]	Phenylalanine	C0031453
Heterogeneous disorder	C1858576	IS_TREATED	["36322828_fullText_1"]	Adrenal Cortex Hormones	C0001617
Psychiatric symptom	C0233401	IS_TREATED	["37471482_fullText_17"]	Antipsychotic Agents	C0040615
Psychiatric symptom	C0233401	IS_TREATED	["35361699_fullText_3"]	Propranolol	C0033497
Resolved	C3714811	IS_TREATED	["34085932_fullText_2"]	Dopaminergic Agents	C0013036
Voluntary movement	C1718498	IS_TREATED	["34556558_fullText_1"]	Dopamine	C0013030
Sweating	C0038990	IS_TREATED	["35340063_fullText_12"]	Pilocarpine	C0031923
Sweating	C0038990	IS_TREATED	["34890517_fullText_2"]	Anticholinergic Agents	C0242896
australian	C0238711	IS_TREATED	["35938573_fullText_2","35938573_fullText_9"]	Propranolol	C0033497
Behavioral abnormalities	C3151413	IS_TREATED	["34371027_fullText_7"]	5,6-dihydro-5-azacytidine	C0048906
Behavioral abnormalities	C3151413	IS_TREATED	["33894223_fullText_7"]	Quinpirole	C0072892
Headache	C0018681	IS_TREATED	["35962748_fullText_9"]	Pharmacologic Substance	C1254351
Headache	C0018681	IS_TREATED	["35403242_fullText_4"]	Dopamine Antagonists	C0242702
Headache	C0018681	IS_TREATED	["35403242_fullText_4"]	Ketorolac	C0073631
Headache	C0018681	IS_TREATED	["35962748_fullText_2","35962748_fullText_7"]	Antipsychotic Agents	C0040615
Headache	C0018681	IS_TREATED	["35962748_fullText_2","35962748_fullText_7"]	Metoclopramide	C0025853
Headache	C0018681	IS_TREATED	["37843943_fullText_8"]	Acetaminophen	C0000970
Behavior showing increased motor activity	C0474395	IS_TREATED	["36085413_fullText_1"]	mirabegron	C2983812
Behavior showing increased motor activity	C0474395	IS_TREATED	["36543093_fullText_6"]	mirabegron	C2983812
Behavior showing increased motor activity	C0474395	IS_TREATED	["36543093_fullText_6"]	Solifenacin	C1099677
Behavior showing increased motor activity	C0474395	IS_TREATED	["34830281_fullText_1"]	Muscarinic Antagonists	C0003385
Systemic arterial pressure	C1272641	IS_TREATED	["36100757_fullText_3"]	Sodium Nitroprusside	C0037533
Systemic arterial pressure	C1272641	IS_TREATED	["34002973_fullText_3"]	Cardiovascular Agents	C0007220
Systemic arterial pressure	C1272641	IS_TREATED	["36100757_fullText_3"]	Phenylephrine	C0031469
Minute volume	C0428679	IS_TREATED	["8222038_fullText_5"]	Naloxone	C0027358
Minute volume	C0428679	IS_TREATED	["12101068_fullText_1","8419060_fullText_1"]	Amino Acids	C0002520
Minute volume	C0428679	IS_TREATED	["544610_fullText_1"]	Phenylalanine	C0031453
Cardiac dysfunction	C3277906	IS_TREATED	["34061169_fullText_15"]	atglistatin	C3713362
Cardiac dysfunction	C3277906	IS_TREATED	["33739204_fullText_6"]	Adrenergic beta-Antagonists	C0001645
Cardiac dysfunction	C3277906	IS_TREATED	["37816466_fullText_10"]	donepezil	C0527316
FEV1 Adverse Event	C1561566	IS_TREATED	["34528220_fullText_5"]	aclidinium	C2699757
FEV1 Adverse Event	C1561566	IS_TREATED	["33833507_fullText_4","33907393_fullText_5","33907393_fullText_8","33880019_fullText_4"]	Glycine	C0017890
Low Back Pain	C0024031	IS_TREATED	["37843943_fullText_8"]	Acetaminophen	C0000970
Mild phenotype	C1855585	IS_TREATED	["20959636_fullText_100"]	ranpirnase	C0069919
In further education	C0578818	IS_TREATED	["26484877_fullText_4"]	Duration	C2926735
Illness (finding)	C0221423	IS_TREATED	["37491788_fullText_11"]	Cinnarizine	C0008803
Illness (finding)	C0221423	IS_TREATED	["35666502_fullText_1"]	Marihuana	C0024808
Illness (finding)	C0221423	IS_TREATED	["37491788_fullText_4"]	Antihistamines	C0003360
Illness (finding)	C0221423	IS_TREATED	["34284799_fullText_6"]	Adrenergic Antagonists	C0242889
Illness (finding)	C0221423	IS_TREATED	["37491788_fullText_11","37491788_fullText_12"]	Scopolamine	C0036442
Illness (finding)	C0221423	IS_TREATED	["33950473_fullText_6"]	Acetylcysteine	C0001047
Illness (finding)	C0221423	IS_TREATED	["37543275_fullText_3"]	agonists	C0243192
