Gene	Gene_id	RELATION	PROVENANCE	Pathway	Pathway_id
WASF1 gene	C1421479	AFFECTS	["30029642_fullText_29"]	Evoked Potentials	C0015214
MYO5A gene	C1417565	AUGMENTS	["25139423_fullText_3"]	Long-Term Synaptic Depression	C1136140
CTSL1 wt Allele	C1707163	AUGMENTS	["28542314_fullText_5"]	site-specific telomere resolvase activity	C1622890
STAT5A gene	C1335875	AFFECTS	["26756355_fullText_70"]	Myogenesis	C0596997
AKT2 gene	C0812230	AFFECTS	["22768114_fullText_65"]	Myogenesis	C0596997
ATXN3 gene	C1538301	AFFECTS	["32867861_fullText_1"]	Myogenesis	C0596997
CELF1 gene	C1413824	AFFECTS	["29203592_fullText_9"]	Myogenesis	C0596997
MTMR1 gene	C1417435	AFFECTS	["12217958_fullText_4"]	Myogenesis	C0596997
RENBP gene	C1419339	AFFECTS	["33651408_fullText_1"]	Myogenesis	C0596997
DMPK gene	C1414085	AUGMENTS	["12130568_fullText_8"]	Myogenesis	C0596997
IMPACT gene	C1825598	AFFECTS	["37067043_fullText_4"]	Pulmonary function	C0231921
MBNL1 gene	C1417055	AFFECTS	["26501102_fullText_160"]	Protein Biosynthesis	C0597295
MBNL3 gene	C1427004	AFFECTS	["26501102_fullText_160"]	Protein Biosynthesis	C0597295
CELF1 gene	C1413824	AFFECTS	["23637619_fullText_4"]	Protein Biosynthesis	C0597295
DOC2A gene	C1414126	AFFECTS	["36142117_fullText_4"]	Protein Biosynthesis	C0597295
DDX5 gene	C1413963	AFFECTS	["23536431_fullText_4"]	Protein Biosynthesis	C0597295
ATXN3 gene	C1538301	DISRUPTS	["32357546_fullText_71"]	Protein Biosynthesis	C0597295
EIF4E wt Allele	C3539643	DISRUPTS	["16456924_fullText_5"]	Proteasome Pathway	C1752727
TRPV2 gene	C1425290	AFFECTS	["35714693_fullText_2"]	channel activity	C1153410
MAOB gene	C1417002	AFFECTS	["37902028_fullText_1"]	antioxidant activity	C1148564
GYPE gene	C1415376	AFFECTS	["33730374_fullText_1"]	Muscle function	C0231484
TNFRSF12A gene	C1425348	AFFECTS	["26901467_fullText_4"]	Muscle function	C0231484
MBNL1 gene	C1417055	AFFECTS	["26756355_fullText_12"]	Polyadenylation	C0949765
ELMO1 gene	C1424154	AFFECTS	["36377476_fullText_7"]	nerve supply	C0021516
NGF gene	C1417719	AUGMENTS	["33723225_fullText_4"]	nerve supply	C0021516
SPNS1 gene	C2240043	AFFECTS	["33769917_fullText_1"]	Cardiac function	C0232164
ECHS1 gene	C1414247	AFFECTS	["26081110_fullText_2","32013919_fullText_39","26081110_fullText_159","26081110_fullText_194"]	fatty acid oxidation	C1158366
NDUFS8 gene	C1417651	AFFECTS	["36557887_fullText_112"]	fatty acid oxidation	C1158366
DEGS1 wt Allele	C3539688	AFFECTS	["32162843_fullText_99"]	fatty acid oxidation	C1158366
LRPPRC gene	C1423677	AUGMENTS	["21971050_fullText_3"]	fatty acid oxidation	C1158366
MDH1 gene	C1417087	AFFECTS	["30429455_fullText_78"]	Oxidation-Reduction	C0030012
PYROXD2 gene	C1428119	AFFECTS	["35055180_fullText_102"]	Oxidation-Reduction	C0030012
PDE5A gene	C1418424	AFFECTS	["37517510_fullText_5"]	Oxidation-Reduction	C0030012
EHD1 gene	C1414318	AFFECTS	["32368833_fullText_111"]	Membrane Fusion	C0025246
EHD3 gene	C1414320	AFFECTS	["32368833_fullText_111"]	Membrane Fusion	C0025246
IMPACT gene	C1825598	AFFECTS	["23326493_fullText_88"]	Respiratory Chain	C0162362
SLC39A8 gene	C1427169	AUGMENTS	["34246313_fullText_164"]	Respiratory Chain	C0162362
DLD gene	C1414063	DISRUPTS	["35792828_fullText_90"]	pyruvate dehydrogenase (lipoamide) activity	C1151633
P2RY12 gene	C1425330	AUGMENTS	["37084563_fullText_4"]	intracellular signal transduction	C1155494
DMPK gene	C1414085	AUGMENTS	["24039817_fullText_31"]	Embryonic Development	C0013936
Transgenes	C0282641	AUGMENTS	["24039817_fullText_5"]	Embryonic Development	C0013936
NDUFS4 gene	C1417647	AFFECTS	["39231983_fullText_60"]	NADH dehydrogenase complex assembly	C1622998
NDUFAF6 gene	C1824247	AFFECTS	["27623250_fullText_4"]	NADH dehydrogenase complex assembly	C1622998
Genes, Mitochondrial	C1563761	AFFECTS	["15824269_fullText_2"]	NADH dehydrogenase complex assembly	C1622998
NDUFAF5 gene	C1423817	AFFECTS	["19542079_fullText_7"]	NADH dehydrogenase complex assembly	C1622998
FOXRED1 gene	C1825311	AFFECTS	["31273716_fullText_9"]	NADH dehydrogenase complex assembly	C1622998
NDUFAB1 gene	C1417631	AFFECTS	["15824269_fullText_2"]	NADH dehydrogenase complex assembly	C1622998
NDUFAF1 gene	C1425806	AFFECTS	["15824269_fullText_2"]	NADH dehydrogenase complex assembly	C1622998
NDUFC2 gene	C1417643	AFFECTS	["32969598_fullText_62"]	NADH dehydrogenase complex assembly	C1622998
NDUFB5 gene	C1417637	AFFECTS	["32969598_fullText_84"]	NADH dehydrogenase complex assembly	C1622998
NDUFA1 gene	C1417620	AFFECTS	["20819849_fullText_5"]	NADH dehydrogenase complex assembly	C1622998
C7orf49 gene	C1824234	AFFECTS	["31866046_fullText_67"]	NADH dehydrogenase complex assembly	C1622998
NDUFB11 gene	C1538052	AFFECTS	["32969598_fullText_84"]	NADH dehydrogenase complex assembly	C1622998
MT-ND4 gene	C1537992	AFFECTS	["32969598_fullText_84"]	NADH dehydrogenase complex assembly	C1622998
NDUFA11 gene	C1426901	AFFECTS	["32969598_fullText_84","20819849_fullText_5"]	NADH dehydrogenase complex assembly	C1622998
