Drug	Drug_id	RELATION	PROVENANCE	Phenotype	Phenotype_id
Ketamine	C0022614	CAUSES	["34715446_fullText_4"]	Behavioral disturbances	C1822046
Ketamine	C0022614	PREVENTS	["34052834_fullText_1"]	Depressive Symptoms	C0086132
Midazolam	C0026056	AFFECTS	["35008465_fullText_6"]	insensitivity	C0237677
Succinylcholine	C0038627	AUGMENTS	["30301614_fullText_38"]	Hyperkalemia	C0020461
Virulence Factors	C1136170	AUGMENTS	["11420171_fullText_1"]	Severe phenotype	C1836408
Bupropion	C0085208	AUGMENTS	["37230961_fullText_14"]	Serious Adverse Event	C1519255
Pramipexole	C0074710	CAUSES	["37633178_fullText_2"]	Worse	C1457868
Pramipexole	C0074710	AFFECTS	["34175373_fullText_6"]	Medication rate	C2359857
Pramipexole	C0074710	AFFECTS	["37105127_fullText_1"]	neurobehavior	C0872354
Antipsychotic Agents	C0040615	CAUSES	["35962748_fullText_2"]	Headache	C0018681
Antipsychotic Agents	C0040615	CAUSES	["34735098_fullText_1"]	Weight Gain	C0043094
Antipsychotic Agents	C0040615	PREVENTS	["33922888_fullText_2"]	Psychotic symptom	C0871189
Antipsychotic Agents	C0040615	PREVENTS	["33922888_fullText_2"]	Neurobehavioral Manifestations	C0525041
Antipsychotic Agents	C0040615	PREVENTS	["35079985_fullText_9"]	Psychiatric symptom	C0233401
N-Methylaspartate	C0079883	INHIBITS	["37051629_fullText_3"]	Intoxication	C0728899
Aspirin	C0004057	INHIBITS	["33877270_fullText_12"]	Cardiovascular event	C1320716
Memantine	C0025242	AFFECTS	["35006557_fullText_11"]	Indifferent mood	C0085632
Cannabidiol	C0006863	INHIBITS	["39231983_fullText_188"]	Neuroinflammation	C5394393
Carbidopa	C0006982	CAUSES	["37762646_fullText_12"]	Increased serum IgE	C2673464
Carbidopa	C0006982	CAUSES	["37050032_fullText_1"]	Intoxication	C0728899
Carbidopa	C0006982	CAUSES	["37335211_fullText_8"]	gastrointestinal discomfort	C1096250
Carbidopa	C0006982	CAUSES	["34192579_fullText_5"]	analgesic effect	C0948482
Carbidopa	C0006982	CAUSES	["36493860_fullText_6"]	Protection	C1545588
Carbidopa	C0006982	CAUSES	["33998876_fullText_3","37335211_fullText_8"]	Nausea	C0027497
Carbidopa	C0006982	AFFECTS	["35955774_fullText_9"]	Allodynia	C0458247
Carbidopa	C0006982	INHIBITS	["35955774_fullText_1"]	Allodynia	C0458247
Carbidopa	C0006982	AUGMENTS	["37762646_fullText_8"]	Thickened	C0205400
Carbidopa	C0006982	DISRUPTS	["33998876_fullText_3"]	Nausea	C0027497
Central Nervous System Agents	C0007680	AFFECTS	["34852735_fullText_10"]	Drug problem	C0740721
Histamine	C0019588	CAUSES	["33894061_fullText_3","35063141_fullText_5"]	Pruritus	C0033774
Histamine	C0019588	AFFECTS	["34599508_fullText_3","35073211_fullText_9"]	Excitability	C0235169
Histamine	C0019588	ASSOCIATED_WITH	["34830245_fullText_1"]	Pruritus	C0033774
Histamine	C0019588	AUGMENTS	["35063141_fullText_10"]	Pruritus	C0033774
Histamine	C0019588	ASSOCIATED_WITH__SPEC__	["35743023_fullText_8"]	Pruritus	C0033774
Histamine	C0019588	PREVENTS__SPEC__	["36677806_fullText_1"]	Vomiting	C0042963
Histamine	C0019588	PREVENTS__SPEC__	["36677806_fullText_1"]	Nausea	C0027497
Histamine	C0019588	PREVENTS__SPEC__	["36677806_fullText_1"]	Dizziness	C0012833
Histamine H1 Antagonists	C0019592	PREVENTS	["36677806_fullText_1"]	Nausea	C0027497
Histamine H1 Antagonists	C0019592	PREVENTS	["36677806_fullText_1"]	Dizziness	C0012833
Histamine H1 Antagonists	C0019592	PREVENTS	["36677806_fullText_1"]	Vomiting	C0042963
MK-801	C0813872	CAUSES	["34098454_fullText_11"]	Loss of neurons	C0598940
NMDA receptor antagonist	C0598695	AUGMENTS	["36462636_fullText_2"]	Excitability	C0235169
Nitric Oxide	C0028128	AFFECTS	["37946079_fullText_3"]	Chemosensitivity	C2347610
Nitric Oxide	C0028128	ASSOCIATED_WITH	["35675220_fullText_2"]	Pruritus	C0033774
Nitric Oxide	C0028128	AUGMENTS	["35753358_fullText_2"]	Florid red complexion (finding)	C0232370
Antidepressive Agents	C0003289	CAUSES	["35258103_fullText_1","35258103_fullText_2"]	Hyponatremia	C0020625
Antidepressive Agents	C0003289	CAUSES	["33814367_fullText_5"]	Weight Gain	C0043094
