Drug	Drug_id	RELATION	PROVENANCE	Phenotype	Phenotype_id
Bile Acids	C0005390	CAUSES	["19674365_fullText_1"]	etiology unknown	C0743626
Tannic Acid	C0039294	CAUSES	["19147685_fullText_6"]	Does skip	C0560435
Adrenergic Agents	C0001637	AFFECTS	["34220796_fullText_3"]	destruction joint	C0541875
CP-55,940	C0110893	AFFECTS	["34118232_fullText_11"]	Urine volume finding	C1287298
Glucocorticoids	C0017710	ASSOCIATED_WITH	["36261014_fullText_5"]	acute stress	C0848237
Glucocorticoids	C0017710	AUGMENTS	["36066078_fullText_4"]	Signs and Symptoms, Respiratory	C0037090
Dehydroepiandrosterone Sulfate	C0057277	ASSOCIATED_WITH	["34874191_fullText_12"]	Behavioral Symptoms	C0004941
Heroin	C0011892	CAUSES	["37040055_fullText_4"]	Drug seeking behavior	C0694536
ferulic acid	C0060291	AFFECTS	["36166506_fullText_8"]	diabetic	C0241863
Oxycodone	C0030049	AUGMENTS	["33988725_fullText_3"]	Absence of pain sensation	C0344307
Cisatracurium	C1096766	AFFECTS	["35393764_fullText_10"]	Hyperhidrosis disorder	C0020458
Cisatracurium	C1096766	INHIBITS	["35393764_fullText_6"]	Sweating	C0038990
Colchicine	C0009262	CAUSES	["34086100_fullText_7"]	Employed	C0557351
tyramine-deoxysorbitol	C0172161	AUGMENTS	["35648361_fullText_11"]	EMG amplitude	C0429340
Transdermal Product	C3465388	CAUSES	["35575444_fullText_3"]	Skin irritation	C0152030
cannabigerol	C0054593	AFFECTS__SPEC__	["36939145_fullText_2"]	Intoxication	C0728899
Soma	C0702216	PREDISPOSES	["35445439_fullText_10"]	Excitability	C0235169
Soma	C0702216	AFFECTS	["36195440_fullText_10"]	Excitability	C0235169
Xylose	C0043375	CAUSES	["9669722_fullText_10"]	Gastrointestinal symptom	C0426576
catharanthine	C0054863	CAUSES	["35304861_fullText_1"]	Sedated state	C0235195
Lorazepam	C0024002	AFFECTS	["35008465_fullText_6"]	insensitivity	C0237677
CLP257	C3713561	AFFECTS	["35352582_fullText_3"]	Hyperalgesia	C0020429
scutellarein	C1579835	DISRUPTS	["35349945_fullText_1"]	7 mm	C3842085
Zuclopenthixol	C0376160	CAUSES	["35342202_fullText_4"]	compromise	C2945640
Carboplatin	C0079083	CAUSES	["35321690_fullText_3"]	Nausea	C0027497
Carboplatin	C0079083	CAUSES	["35321690_fullText_3"]	Vomiting	C0042963
Estrogen-progestin preparation	C0360526	AUGMENTS	["34339849_fullText_2"]	Syncope	C0039070
Alprazolam	C0002333	CAUSES	["37220781_fullText_7"]	Sedated state	C0235195
sodium dehydroacetate	C0142831	AUGMENTS	["23827125_fullText_5"]	total lipids	C0369610
BD 1047	C0386444	DISRUPTS	["34813897_fullText_7"]	Mechanical Allodynia	C2936719
YL-0919	C3886518	DISRUPTS	["34811511_fullText_7"]	Excitability	C0235169
YL-0919	C3886518	AUGMENTS	["34811511_fullText_11"]	Excitability	C0235169
ivabradine	C0257190	DISRUPTS	["35842897_fullText_7"]	angina symptom	C0858277
ivabradine	C0257190	PREVENTS	["35842897_fullText_3"]	angina symptom	C0858277
Androgens	C0002844	AUGMENTS	["2431651_fullText_2"]	Form of muscle	C0240417
xanomeline	C0246836	PREVENTS	["35758639_fullText_3"]	Psychotic symptom	C0871189
GSK 189254	C1958615	AFFECTS	["36430790_fullText_7"]	Hyperalgesia	C0020429
Moxisylyte	C0040108	INHIBITS	["33998674_fullText_10"]	Observation of attack	C1304680
SB 205384	C0665705	CAUSES	["34265354_fullText_7"]	Sedated state	C0235195
Dopamine D2 Receptor Antagonists	C3850099	PREVENTS	["36522124_fullText_3"]	Akathisia	C0392156
Folic Acid	C0016410	PREDISPOSES	["36384480_fullText_7"]	Overweight	C0497406
Laxatives	C0282090	CAUSES	["38013547_fullText_6"]	Hypokalemia	C0020621
Thymol	C0040096	AFFECTS	["34389324_fullText_7"]	Lethal	C3151529
Biperiden Hydrochloride	C0304411	INHIBITS	["33734828_fullText_12"]	Drowsiness	C0013144
fosaprepitant	C2349941	PREVENTS	["33729475_fullText_5"]	Eye pain	C0151827
Fenclonine	C0030135	CAUSES	["34509822_fullText_3"]	Sleeplessness	C0917801
Fenclonine	C0030135	CAUSES	["2941618_fullText_4"]	Imbalance	C1397014
Urinary Bladder Tumor Antigen	C1519830	PREVENTS	["33852744_fullText_11"]	Xerostomia	C0043352
Urinary Bladder Tumor Antigen	C1519830	PREVENTS	["33852744_fullText_9"]	Cervical Dystonia	C0949445
flupirtine	C0060583	CAUSES	["36752814_fullText_4"]	analgesic effect	C0948482
exenatide	C0167117	AFFECTS	["33831213_fullText_6"]	research results	C0683954
exenatide	C0167117	INHIBITS	["33831213_fullText_7"]	Weight Gain	C0043094
N-palmitoylsphingosine	C0386062	AUGMENTS	["34743684_fullText_7"]	Papule	C0332563
Photosensitizing Agents	C0162713	CAUSES	["34743684_fullText_8"]	Papule	C0332563
homocysteic acid	C0062933	DISRUPTS	["34879205_fullText_3"]	EMG amplitude	C0429340
Opioid Agonist [EPC]	C1883695	INHIBITS	["35790401_fullText_11"]	analgesic effect	C0948482
Opioid Agonist [EPC]	C1883695	PREVENTS	["35790401_fullText_19"]	Abdominal Pain	C0000737
HU 308	C0911048	AUGMENTS	["34537380_fullText_8"]	Hyperalgesia	C0020429
HU 308	C0911048	AUGMENTS	["34537380_fullText_8"]	Mechanical Allodynia	C2936719
Dimethindene	C0012390	CAUSES	["33894061_fullText_4"]	Asthenia	C0004093
Dizocilpine	C0079245	AUGMENTS	["35216970_fullText_13"]	Omission	C3845736
Levetiracetam	C0377265	CAUSES	["34116078_fullText_5"]	Fluctuation	C0231239
Adenosine Diphosphate Receptor Antagonists	C2936586	DISRUPTS	["36480147_fullText_1"]	Cardiovascular event	C1320716
Prevail	C3152857	CAUSES	["19364241_fullText_4"]	Growth pattern	C1156245
Thiabendazole	C0039832	INHIBITS	["34498115_fullText_7"]	Does climb	C0561942
Thiabendazole	C0039832	INHIBITS	["34498115_fullText_7"]	Immobile	C0231441
LY 235959	C0257654	PREVENTS	["34391797_fullText_5"]	Mechanical Allodynia	C2936719
Fenfluramine	C0015827	CAUSES__SPEC__	["38042827_fullText_3"]	Depressive Symptoms	C0086132
Cannabinoid Receptor Antagonists	C2927149	PREVENTS	["36869289_fullText_7"]	Excitability	C0235169
Vitamin B 12	C0042845	AFFECTS	["12879091_fullText_8"]	Poor compliance	C0032646
N-acetyl-4-benzoquinoneimine	C0067634	INHIBITS	["36379307_fullText_7"]	Fever	C0015967
N-acetyl-4-benzoquinoneimine	C0067634	INHIBITS	["36379307_fullText_7"]	Hypothermia, natural	C0020672
lavender oil	C0064694	AFFECTS	["36309115_fullText_4","36309115_fullText_8"]	Sleep disturbances	C0037317
oleylamide	C0377344	INHIBITS	["30429455_fullText_93"]	Rescue	C3840763
pyridoxine	C0034272	AFFECTS	["38636407_fullText_7"]	Dilated ventricles (finding)	C3278923
pyridoxine	C0034272	AFFECTS	["36731270_fullText_10"]	Uncertainty	C0087130
mullerian-inhibiting hormone	C0066928	INHIBITS	["36984518_fullText_5"]	Test Result	C0456984
Carbaryl	C0036860	CAUSES	["36592917_fullText_8"]	Tachycardia	C0039231
Fenitrothion	C0015832	CAUSES	["36592917_fullText_8"]	Tachycardia	C0039231
11-hydroxyvittatine	C2607042	CAUSES	["36535411_fullText_8"]	6/5	C0442749
Mexicor	C1869668	DISRUPTS	["37084369_fullText_3"]	Depressive Symptoms	C0086132
Peripheral vasodilators	C0724804	AFFECTS	["37075940_fullText_5"]	Dyspnea	C0013404
spermine	C0037874	ASSOCIATED_WITH	["34874191_fullText_12"]	Behavioral Symptoms	C0004941
4-hydroxyphenylacetic acid	C0048385	AUGMENTS	["6085021_fullText_1"]	acid urine	C0854059
dipalmitoylphosphatidylserine	C0058353	AUGMENTS	["36279397_fullText_7"]	insensitivity	C0237677
GYKI 52466	C0062021	CAUSES	["36269378_fullText_7"]	Lethal	C3151529
crotalphine	C2607211	AFFECTS	["36232883_fullText_12"]	analgesic effect	C0948482
perfluorooctane	C0166273	CAUSES	["35259355_fullText_1"]	Behavioral abnormalities	C3151413
Magnesium Sulfate	C0024480	CAUSES__SPEC__	["3966511_fullText_5"]	Premature contractions	C2114320
bortezomib	C1176309	CAUSES	["31636082_fullText_79"]	Does hit (finding)	C0596020
1,2-dihexadecyl-sn-glycero-3-phosphocholine	C0043813	AUGMENTS	["34881482_fullText_8"]	Memory observations	C0700327
Nimodipine	C0028094	AFFECTS	["35006557_fullText_11"]	Indifferent mood	C0085632
3-aminopyridine-2-carboxaldehyde thiosemicarbazone	C0210403	CAUSES	["35859208_fullText_7"]	Gait abnormality	C0575081
ANTIANGINALS	C3537168	PREVENTS	["35842897_fullText_3"]	angina symptom	C0858277
nandrolone decanoate	C0068395	INHIBITS	["35738337_fullText_6"]	Weight Gain	C0043094
testosterone undecanoate	C0076195	INHIBITS	["35738337_fullText_6"]	Weight Gain	C0043094
apraclonidine	C0048038	INHIBITS	["35093487_fullText_8"]	Decrease in height	C0424641
trilostane	C0077144	INHIBITS	["36861666_fullText_6"]	Physical shape	C0700329
buflomedil	C0054207	INHIBITS	["33998674_fullText_10"]	Observation of attack	C1304680
glutaric acid	C0061506	CAUSES	["15505388_fullText_4"]	Imbalance	C1397014
3-hydroxyglutaric acid	C0667581	CAUSES	["15505388_fullText_4","14705106_fullText_7"]	Imbalance	C1397014
4-Aminohippuric Acid	C0030123	CAUSES	["38591802_fullText_1"]	High Level	C4321237
4-Aminohippuric Acid	C0030123	CAUSES	["39548419_fullText_1","39047302_fullText_1","38321764_fullText_2"]	Accumulation	C4055506
4-Aminohippuric Acid	C0030123	AFFECTS	["38905920_fullText_2"]	Missense	C3845273
Protein C	C0033621	AFFECTS	["38968673_fullText_9"]	Coagulation abnormalities	C1846821
Sialic Acids	C0037025	CAUSES	["36224347_fullText_82"]	Hydrocephalus, severe	C3278123
Manganese Cation (2+)	C2347051	CAUSES	["30307768_fullText_6"]	Rescue	C3840763
Gangliosides	C0017082	CAUSES	["7666061_fullText_5"]	Spinal tract degeneration	C1866771
Gangliosides	C0017082	CAUSES	["7666061_fullText_5"]	Neuronal migration defect	C2750249
Gangliosides	C0017082	CAUSES	["7666061_fullText_5"]	Dysmyelination	C1857639
sialyl Lewis x	C0253307	CAUSES	["24403049_fullText_1"]	Recurrent infections	C0239998
sialyl Lewis x	C0253307	CAUSES	["24403049_fullText_1"]	White blood cell count increased (lab result)	C0750426
Glycerophospholipids	C0162448	CAUSES	["7666061_fullText_5"]	Neuronal migration defect	C2750249
Glycerophospholipids	C0162448	CAUSES	["7666061_fullText_5"]	Dysmyelination	C1857639
Glycerophospholipids	C0162448	CAUSES	["7666061_fullText_5"]	Spinal tract degeneration	C1866771
Pentamidine	C0030863	INHIBITS	["26515653_fullText_9"]	Cardiac Arrhythmia	C0003811
Pentamidine	C0030863	INHIBITS	["26515653_fullText_17"]	Rescue	C3840763
Neuromuscular Depolarizing Agents	C0027867	CAUSES	["8148299_fullText_2"]	Hypothermia, natural	C0020672
Neuromuscular Depolarizing Agents	C0027867	CAUSES	["8148299_fullText_2"]	Shivering	C0036973
Neuromuscular Depolarizing Agents	C0027867	CAUSES	["8148299_fullText_2"]	Hyperkalemia	C0020461
Neuromuscular Depolarizing Agents	C0027867	CAUSES	["8148299_fullText_2"]	Crisis	C0231224
Ro 31-8220	C0084393	CAUSES	["24179176_fullText_45"]	Decreased total protein	C0860901
Chromomycin A3	C0040563	CAUSES	["24179176_fullText_45"]	Decreased total protein	C0860901
at night pain	C2912238	CAUSES	["20798200_fullText_3"]	Sleep disturbances	C0037317
NA-5	C0131647	CAUSES	["35872650_fullText_51"]	na+ decrease	C0856883
R-38486	C0701303	CAUSES	["25164807_fullText_71"]	Lethal	C3151529
PJ-34	C2350800	AFFECTS	["28916769_fullText_55"]	Lethal	C3151529
globotriaosyl lysosphingolipid	C0082711	AUGMENTS	["37499686_fullText_3"]	Albuminuria	C0001925
sulforafan	C0163159	CAUSES	["31636082_fullText_144"]	Rescue	C3840763
phenylpyruvic acid	C0031499	CAUSES	["13658992_fullText_1"]	Urinary elimination status	C1320408
glycolic acid	C1533643	ASSOCIATED_WITH	["26287655_fullText_14"]	Exanthema	C0015230
nandrolone phenpropionate	C0068397	AUGMENTS	["1170069_fullText_3"]	> 2 years	C3843647
lactulose	C0022957	CAUSES	["39267392_fullText_11"]	gastrointestinal discomfort	C1096250
G(M2) Ganglioside	C0016896	CAUSES	["37754769_fullText_2"]	Neuronal swelling	C3670503
sepiapterin	C0074349	INHIBITS	["24316196_fullText_3"]	Perinatal death	C0701826
Ethionine	C0015023	AFFECTS	["3741696_fullText_7"]	Weight Gain	C0043094
Hippuric acid	C0062725	AUGMENTS	["6743769_fullText_7"]	acid urine	C0854059
