Drug	Drug_id	RELATION	PROVENANCE	Disease	Disease_id
Candida albicans extract	C0717551	CAUSES	["33771987_fullText_1"]	Severe malnutrition	C0311276
Oils, Volatile	C0028910	CAUSES	["33848544_fullText_1"]	Alzheimer's Disease	C0002395
other medicated shampoos in ATC	C3539125	AFFECTS	["22768114_fullText_46"]	Myopathy	C0026848
other medicated shampoos in ATC	C3539125	AFFECTS	["26990650_fullText_4"]	Machado-Joseph Disease	C0024408
other medicated shampoos in ATC	C3539125	PREDISPOSES	["35163365_fullText_2"]	Multisystem disorder	C0559758
Agonist	C2987634	AFFECTS	["33998548_fullText_8"]	Dyskinetic syndrome	C0013384
Agonist	C2987634	AFFECTS	["33998548_fullText_8"]	Parkinson Disease	C0030567
tandospirone	C0074676	AFFECTS	["36430502_fullText_7"]	Rett Syndrome	C0035372
Cholesterol	C0008377	CAUSES	["37620691_fullText_1"]	Neurodegenerative Disorders	C0524851
Cholesterol	C0008377	CAUSES	["32368833_fullText_22"]	Adrenoleukodystrophy	C0162309
Suppressor	C2954564	CAUSES	["20079840_fullText_7"]	Machado-Joseph Disease	C0024408
Suppressor	C2954564	CAUSES	["31636082_fullText_65","31615832_fullText_108"]	Heparin-induced thrombocytopenia	C0272285
favor	C0309049	ASSOCIATED_WITH	["26693702_fullText_8"]	Machado-Joseph Disease	C0024408
rivastigmine	C0649350	PREDISPOSES	["35964196_fullText_6"]	Deglutition Disorders	C0011168
rivastigmine	C0649350	PREDISPOSES	["34397417_fullText_1"]	Pneumonia	C0032285
Acetylcholinesterase Inhibitors	C0001046	CAUSES	["34821676_fullText_1"]	nervous system disorder	C0027765
Acetylcholinesterase Inhibitors	C0001046	PREVENTS	["34896366_fullText_1"]	Peripheral Neuropathy	C0031117
Fibrinogen	C0016006	ASSOCIATED_WITH	["32867861_fullText_86"]	Machado-Joseph Disease	C0024408
Citalopram	C0008845	PREDISPOSES	["35472246_fullText_9"]	Acute pancreatitis	C0001339
Citalopram	C0008845	PREDISPOSES	["36745964_fullText_6"]	Epilepsy	C0014544
Disaccharides	C0012611	AFFECTS	["37467180_fullText_15"]	Hepatic Encephalopathy	C0019151
Carbohydrates	C0007004	PREDISPOSES	["22846370_fullText_2"]	Obesity	C0028754
Glycosylation End Products, Advanced	C0162574	ASSOCIATED_WITH	["24594605_fullText_95"]	Glutaric aciduria, type 1	C0268595
Water	C0043047	ASSOCIATED_WITH	["34100397_fullText_1"]	nervous system disorder	C0027765
Water	C0043047	AUGMENTS	["36919460_fullText_2","36919460_fullText_5"]	Lewy Body Disease	C0752347
Amino Acids	C0002520	ASSOCIATED_WITH	["39513367_fullText_6"]	Amino Acid Metabolism, Inborn Errors	C0002514
Amino Acids	C0002520	ASSOCIATED_WITH	["25196394_fullText_5","24461170_fullText_7","12651759_fullText_1","2502675_fullText_1","39513367_fullText_6"]	Phenylketonurias	C0031485
Amino Acids	C0002520	ASSOCIATED_WITH	["17347911_fullText_4"]	Malnutrition	C0162429
Amino Acids	C0002520	ASSOCIATED_WITH	["30419932_fullText_39"]	Hereditary Diseases	C0019247
Amino Acids	C0002520	ASSOCIATED_WITH	["25277297_fullText_10"]	Enzyme Deficiency	C0149676
Amino Acids	C0002520	ASSOCIATED_WITH	["34911135_fullText_8"]	Pituitary Diseases	C0032002
Amino Acids	C0002520	ASSOCIATED_WITH	["33806510_fullText_1"]	nervous system disorder	C0027765
Amino Acids	C0002520	ASSOCIATED_WITH__INFER__	["31762087_fullText_3"]	Hyperphenylalaninaemia	C0751435
Amino Acids	C0002520	ASSOCIATED_WITH__INFER__	["10753257_fullText_1","2251005_fullText_1","38474766_fullText_3"]	Phenylketonurias	C0031485
Selective Serotonin Reuptake Inhibitors	C0360105	CAUSES	["34088639_fullText_2"]	Microscopic Polyangiitis	C0343192
