Drug	Drug_id	RELATION	PROVENANCE	Disease	Disease_id
Phenylalanine	C0031453	ASSOCIATED_WITH	["34207146_fullText_1","32217978_fullText_1","32217972_fullText_1"]	Pulmonary Hypertension, Primary, 1, With Hereditary Hemorrhagic Telangiectasia	C3714844
Phenylalanine	C0031453	ASSOCIATED_WITH	["37105048_fullText_4","19631922_fullText_5","14654666_fullText_9","6151261_fullText_2"]	Phenylketonuria, Maternal	C0085547
Phenylalanine	C0031453	ASSOCIATED_WITH	["25418970_fullText_1"]	Inborn Errors of Metabolism	C0025521
Phenylalanine	C0031453	ASSOCIATED_WITH	["14654661_fullText_1"]	pregnancy related	C0747919
Phenylalanine	C0031453	ASSOCIATED_WITH	["22076426_fullText_2"]	Bone Diseases	C0005940
Phenylalanine	C0031453	ASSOCIATED_WITH	["18937047_fullText_5","16447793_fullText_1","16165390_fullText_1","8616880_fullText_1","1288453_fullText_8","2335616_fullText_1","6790841_fullText_2","1122617_fullText_2"]	Hyperphenylalaninaemia	C0751435
Phenylalanine	C0031453	ASSOCIATED_WITH	["32977849_fullText_5","39337507_fullText_3"]	Classical phenylketonuria	C0751434
Phenylalanine	C0031453	ASSOCIATED_WITH	["19904458_fullText_2"]	Hyperphenylalaninemia, Non-Phenylketonuric	C0751436
Phenylalanine	C0031453	ASSOCIATED_WITH	["27612877_fullText_8"]	Obesity	C0028754
Phenylalanine	C0031453	ASSOCIATED_WITH	["14675567_fullText_2","11898925_fullText_1"]	Metabolic Diseases	C0025517
Phenylalanine	C0031453	ASSOCIATED_WITH	["29432026_fullText_1","8352282_fullText_9"]	Hereditary Diseases	C0019247
Phenylalanine	C0031453	ASSOCIATED_WITH	["25563006_fullText_1"]	Autosomal recessive hereditary disorder	C0265388
Phenylalanine	C0031453	ASSOCIATED_WITH	["20738029_fullText_1"]	Rare Diseases	C0678236
Phenylalanine	C0031453	ASSOCIATED_WITH	["33038576_abstract_8"]	Cirrhosis	C1623038
Phenylalanine	C0031453	ASSOCIATED_WITH	["34656426_fullText_5","34656426_fullText_6","31993977_abstract_8","37081197_fullText_1","35449354_fullText_1","36521084_fullText_1","36296952_fullText_1","34656426_fullText_5","34656426_fullText_6","34216350_fullText_1","34216350_fullText_11","32245393_fullText_1","31993977_fullText_8","31410688_fullText_2","28965406_fullText_3","27742442_fullText_1","27091224_fullText_1","26573865_fullText_6","26456498_fullText_8","25990862_fullText_1","25256805_fullText_4","25005329_fullText_1","24032682_fullText_2","23731533_fullText_1","22976763_fullText_2","21733144_fullText_10","21917493_fullText_1","21624843_fullText_4","20123476_fullText_3","20151197_fullText_8","19913839_fullText_1","18590354_fullText_5","19070110_fullText_2","16549526_fullText_10","16447793_fullText_1","16319949_fullText_2","16006165_fullText_33","15936235_fullText_1","15294168_fullText_2","15158304_fullText_1","12859675_fullText_1","12615087_fullText_6","11420419_fullText_6","11243724_fullText_6","11032331_fullText_9","11032330_fullText_4","10849023_fullText_4","10207169_fullText_2","9184243_fullText_3","8669956_fullText_2","8598645_fullText_10","8313377_fullText_1","7837765_fullText_1","1588831_fullText_4","1779620_fullText_6","2365821_fullText_3","2198431_fullText_1","6504543_fullText_3","6889630_fullText_2","7071414_fullText_1","7146576_fullText_1","577124_fullText_3","1011297_fullText_2","973249_fullText_3","1244125_fullText_4","13658992_fullText_2","38569786_fullText_1","38537426_fullText_6"]	Phenylketonurias	C0031485
Phenylalanine	C0031453	AUGMENTS	["22644647_fullText_3"]	Pulmonary Hypertension, Primary, 1, With Hereditary Hemorrhagic Telangiectasia	C3714844
Phenylalanine	C0031453	DISRUPTS	["19095795_fullText_4","17846916_fullText_8"]	Phenylketonurias	C0031485
Phenylalanine	C0031453	ASSOCIATED_WITH__INFER__	["12674642_fullText_6","11798804_fullText_11","3954438_fullText_1","7124729_fullText_4"]	Hyperphenylalaninaemia	C0751435
Phenylalanine	C0031453	ASSOCIATED_WITH__INFER__	["17557244_fullText_6"]	Classical phenylketonuria	C0751434
Phenylalanine	C0031453	ASSOCIATED_WITH__INFER__	["3954438_fullText_1"]	Developmental regression	C1836830
Phenylalanine	C0031453	ASSOCIATED_WITH__INFER__	["37922902_abstract_2","37717412_fullText_4","37717412_fullText_11","37178714_fullText_1","29651832_fullText_3","34930395_fullText_8","34074593_fullText_1","31701331_fullText_4","33137426_fullText_3","31439512_fullText_4","31439512_fullText_9","30941500_fullText_11","30720885_fullText_4","30706953_fullText_1","30047169_fullText_6","30047169_fullText_7","30157945_fullText_3","29230603_fullText_8","24485821_fullText_2","24094552_fullText_9","23672685_fullText_5","21336059_fullText_2","21153445_fullText_4","20123462_fullText_3","17641826_fullText_3","16151893_fullText_3","15461973_fullText_4","15159642_fullText_6","12537335_fullText_5","12537335_fullText_6","12537335_fullText_7","12133924_fullText_3","9421921_fullText_7","8828617_fullText_5","8586776_fullText_3","7836491_fullText_5","8120296_fullText_1","1806267_fullText_3","2817348_fullText_9","3171015_fullText_1","3095585_fullText_1","7124729_fullText_4"]	Phenylketonurias	C0031485
Phenylalanine	C0031453	ASSOCIATED_WITH__SPEC__	["25418970_fullText_1"]	Hyperphenylalaninemia, Non-Phenylketonuric	C0751436
Phenylalanine	C0031453	ASSOCIATED_WITH__SPEC__	["35449354_fullText_3","29432026_fullText_1","25418970_fullText_1","14675567_fullText_2"]	Phenylketonurias	C0031485
Phenylalanine	C0031453	PREVENTS	["29278642_fullText_5"]	Syndrome	C0039082
Phenylalanine	C0031453	PREVENTS	["20123474_fullText_2"]	Congenital heart disease	C0152021
Phenylalanine	C0031453	PREVENTS	["14654659_fullText_3"]	Pulmonary Hypertension, Primary, 1, With Hereditary Hemorrhagic Telangiectasia	C3714844
Dopamine Antagonists	C0242702	CAUSES	["34060465_fullText_2"]	Movement Disorders	C0026650
Dopamine Antagonists	C0242702	CAUSES__SPEC__	["37194531_fullText_4"]	Restless Legs Syndrome	C0035258
Angiotensin II	C0003009	CAUSES	["36450479_fullText_5"]	Hypertensive disease	C0020538
Adrenergic alpha-Antagonists	C0001641	CAUSES	["35148962_fullText_3"]	Priapism	C0033117
Anticholinergic Agents	C0242896	AFFECTS	["37190776_fullText_6"]	Pneumonia	C0032285
Anticholinergic Agents	C0242896	AFFECTS	["37811598_fullText_16"]	Incontinence	C0021167
Leukotrienes	C0023545	ASSOCIATED_WITH	["10340443_fullText_5"]	Deficiency Diseases	C0011156
duloxetine	C0245561	AFFECTS	["37386151_fullText_6"]	Urinary Stress Incontinence	C0042025
duloxetine	C0245561	PREDISPOSES	["36745964_fullText_6"]	Epilepsy	C0014544
Paroxetine	C0070122	PREDISPOSES	["34699855_fullText_4"]	Syndrome	C0039082
Proton Pump Inhibitors	C0358591	AFFECTS	["34885970_fullText_1"]	Hemoglobin H Disease	C3161174
Proton Pump Inhibitors	C0358591	PREDISPOSES	["36190338_fullText_4"]	Ischemic stroke	C0948008
Proton Pump Inhibitors	C0358591	DISRUPTS__SPEC__	["37458926_fullText_5"]	Gastroesophageal reflux disease	C0017168
Metoclopramide	C0025853	CAUSES__SPEC__	["34060465_fullText_2"]	Movement Disorders	C0026650
B-Stress	C0718778	PREVENTS	["34186538_fullText_2"]	Torsades de Pointes	C0040479
Ticagrelor	C1999375	AFFECTS	["34725976_fullText_2"]	hemorrhage as a complication	C0940931
Ticagrelor	C1999375	PREVENTS	["35570383_fullText_7"]	Transient Ischemic Attack	C0007787
Ticagrelor	C1999375	PREVENTS	["35570383_fullText_7"]	Cerebrovascular accident	C0038454
Ticagrelor	C1999375	PREVENTS	["35678913_fullText_2","35678913_fullText_3","35678913_fullText_13"]	Kidney Failure, Acute	C0022660
Ticagrelor	C1999375	PREVENTS	["35570383_fullText_5"]	Myocardial Infarction	C0027051
clopidogrel	C0070166	PREDISPOSES	["34135011_fullText_4"]	Cerebrovascular accident	C0038454
fostriecin	C0118175	CAUSES	["36402294_fullText_6"]	Hereditary pancreatitis	C0238339
Progesterone	C0033308	AFFECTS	["34651295_fullText_4"]	Migraine Disorders	C0149931
Trazodone	C0040805	CAUSES	["35102822_fullText_8"]	Parkinsonian Disorders	C0242422
Trazodone	C0040805	CAUSES	["36287949_fullText_2"]	Lingual-Facial-Buccal Dyskinesia	C0152115
Organic phosphorus insecticide, NOS	C0301172	CAUSES	["35643835_fullText_2"]	Cholinergic crisis	C0393947
AM 251	C0534009	CAUSES	["36635629_fullText_10"]	PHOTOPAROXYSMAL RESPONSE 1	C1868677
Sugammadex	C1700695	PREVENTS	["35691703_fullText_8"]	Respiratory Failure	C1145670
Sugammadex	C1700695	PREVENTS	["36056061_fullText_8"]	Observation of Neuromuscular Block	C0700323
Sugammadex	C1700695	PREVENTS	["35691703_fullText_8"]	Pneumonia	C0032285
Corticosterone	C0010124	CAUSES	["31636082_fullText_65"]	Heparin-induced thrombocytopenia	C0272285
Norepinephrine Reuptake Inhibitor [EPC]	C3537046	PREDISPOSES	["34247952_fullText_6"]	Erectile dysfunction	C0242350
Psychotropic Drugs	C0033978	PREDISPOSES	["36152942_fullText_1"]	Osteoporosis	C0029456
5-Hydroxytryptophan	C0000578	CAUSES	["33709985_fullText_6"]	Diamond-Blackfan Anemia 1	C2676137
5-Hydroxytryptophan	C0000578	ASSOCIATED_WITH	["12499868_fullText_5"]	Hyperphenylalaninaemia	C0751435
Dopamine-2 Receptor Antagonist [EPC]	C2917388	AFFECTS	["37378887_fullText_8"]	Heparin-induced thrombocytopenia	C0272285
Psychostimulant	C0304403	AFFECTS	["16855999_fullText_2"]	Myotonic Dystrophy	C0027126
neurotransmitter agonist	C0597060	AFFECTS	["34360837_fullText_5"]	Pigmentation Disorders	C0549567
Epinephrine	C0014563	CAUSES	["36169206_fullText_7"]	Hypertensive disease	C0020538
Epinephrine	C0014563	PREDISPOSES	["31375398_fullText_9"]	Angioedemas, Hereditary	C0019243
Epinephrine	C0014563	PREDISPOSES	["37268711_fullText_7"]	Heart failure	C0018801
Epinephrine	C0014563	ASSOCIATED_WITH	["6294258_fullText_4"]	Myotonic Dystrophy	C0027126
Epinephrine	C0014563	ASSOCIATED_WITH	["34593615_fullText_10"]	Acute asthma	C0582415
Epinephrine	C0014563	ASSOCIATED_WITH__INFER__	["50512_fullText_1"]	Myotonic Dystrophy	C0027126
Epinephrine	C0014563	ASSOCIATED_WITH__INFER__	["34477163_fullText_1"]	Aortic Valve Stenosis	C0003507
Budesonide / formoterol	C1276807	PREVENTS	["34342835_fullText_2"]	copd exacerbation	C0740304
Budesonide	C0054201	DISRUPTS	["32357546_fullText_155"]	Machado-Joseph Disease	C0024408
tocilizumab	C1609165	ASSOCIATED_WITH	["38183017_fullText_12","38183017_abstract_12"]	Simian Acquired Immunodeficiency Syndrome	C0080151
tocilizumab	C1609165	ASSOCIATED_WITH	["33970296_fullText_1"]	Heart failure	C0018801
Pisum sativum (pea) extract	C3257529	CAUSES	["6352395_fullText_7"]	Migraine Disorders	C0149931
Rocuronium	C0209337	CAUSES	["36621572_fullText_3","21919378_fullText_3"]	Observation of Neuromuscular Block	C0700323
ractopamine	C0072954	PREVENTS	["35702043_fullText_7"]	Diabetes Mellitus, Non-Insulin-Dependent	C0011860
Albuterol	C0001927	AFFECTS	["35767902_fullText_14"]	Acute colitis	C2118460
Theophylline	C0039771	PREVENTS	["35584767_fullText_2"]	Parkinson Disease	C0030567
Phytochemicals	C0577749	PREDISPOSES	["22116469_fullText_5"]	Selenium deficiency	C0238421
quetiapine	C0123091	PREDISPOSES	["33961038_fullText_1","33961038_fullText_11"]	Diabetes Mellitus, Non-Insulin-Dependent	C0011860
Clozapine	C0009079	AFFECTS	["37295763_fullText_11"]	Pneumocystis jiroveci pneumonia	C1535939
Clozapine	C0009079	PREDISPOSES	["35964196_fullText_3"]	Deglutition Disorders	C0011168
Sulpiride	C0038803	CAUSES	["37567458_fullText_4"]	Hyperglycemia	C0020456
Sulpiride	C0038803	AFFECTS	["37567458_fullText_4"]	Hyperglycemia	C0020456
Risperidone	C0073393	AFFECTS	["34247952_fullText_5"]	Male sexual dysfunction	C1112443
carvedilol	C0054836	AFFECTS	["36691947_fullText_4"]	Cirrhosis	C1623038
Opioids	C0242402	ASSOCIATED_WITH	["7614649_fullText_11"]	Asthma	C0004096
tamsulosin	C0257343	CAUSES	["34321822_fullText_9"]	Intraoperative floppy iris syndrome	C1688637
tamsulosin	C0257343	CAUSES	["35148962_fullText_6"]	Priapism	C0033117
tamsulosin	C0257343	AFFECTS	["34321822_fullText_3"]	Intraoperative floppy iris syndrome	C1688637
tamsulosin	C0257343	AFFECTS	["35170870_fullText_6"]	Priapism	C0033117
tamsulosin	C0257343	PREDISPOSES	["35170870_fullText_15"]	Priapism	C0033117
tamsulosin	C0257343	PREDISPOSES	["33822767_fullText_4"]	Parkinson Disease	C0030567
Sedatives	C0036557	CAUSES	["31027145_fullText_4"]	Respiratory Failure	C1145670
Flavonoids	C0596577	CAUSES	["34480996_fullText_1"]	Facial Hemiatrophy	C0015458
Oxidopamine	C0085196	PREVENTS	["34185060_fullText_12"]	dopamine beta hydroxylase deficiency	C0342687
proctolin	C0072059	AUGMENTS	["34593519_fullText_3"]	Inferior Wall Myocardial Infarction	C0340305
indacaterol	C1722260	AUGMENTS	["34069899_fullText_10"]	Chronic Obstructive Airway Disease	C0024117
Hypoglycemic Agents	C0020616	AFFECTS	["36630701_fullText_5"]	Cardiovascular Diseases	C0007222
Aspartame	C0003999	ASSOCIATED_WITH	["33672234_fullText_1"]	Phenylketonurias	C0031485
Fluvoxamine	C0085228	PREDISPOSES	["36745964_fullText_6"]	Epilepsy	C0014544
Fluorouracil	C0016360	CAUSES	["36234730_fullText_8"]	Toxic liver disease	C0348754
Excitatory Amino Acid Antagonists	C0242910	PREDISPOSES	["35502632_fullText_2"]	Lesion of brain	C0221505
Enzyme Inhibitors	C0014432	AFFECTS	["35762037_fullText_2"]	CNS disorder	C0007682
Triptans	C1567966	PREDISPOSES	["35788962_fullText_2"]	Migraine Disorders	C0149931
atomoxetine	C0076823	DISRUPTS	["33734828_fullText_13"]	Sleep Apnea, Obstructive	C0520679
Methanol	C0001963	ASSOCIATED_WITH	["9184243_fullText_3"]	Phenylketonurias	C0031485
n-hexane	C0068008	ASSOCIATED_WITH	["7685191_fullText_3"]	Liver diseases	C0023895
Bicuculline	C0005372	DISRUPTS	["37460080_fullText_4"]	DIARRHEA 5, WITH TUFTING ENTEROPATHY, CONGENITAL	C2750737
Angiogenesis Inhibitors	C0596087	ASSOCIATED_WITH__SPEC__	["37373348_fullText_3"]	Endometriosis	C0014175
Angiogenesis Inhibitors	C0596087	ASSOCIATED_WITH__SPEC__	["37373348_fullText_3"]	Degenerative polyarthritis	C0029408
Hydroxymethylglutaryl-CoA Reductase Inhibitors	C0360714	PREVENTS	["35037597_fullText_2"]	Migraine Disorders	C0149931
Hydroxymethylglutaryl-CoA Reductase Inhibitors	C0360714	COMPLICATES	["19593127_fullText_5"]	Myasthenia Gravis	C0026896
Bronchodilator Agents	C0006280	CAUSES	["37442289_fullText_1"]	Observation of Neuromuscular Block	C0700323
Bronchodilator Agents	C0006280	CAUSES	["36272353_fullText_1"]	Chronic Obstructive Airway Disease	C0024117
Bronchodilator Agents	C0006280	PREDISPOSES	["36065315_fullText_6"]	Pneumonia	C0032285
Bronchodilator Agents	C0006280	PREVENTS	["34031755_fullText_1","35536261_fullText_2"]	copd exacerbation	C0740304
Butoxamine	C0006493	AFFECTS	["33979569_fullText_2"]	Periodontitis	C0031099
ORALIT	C0069590	PREDISPOSES	["34611920_fullText_9"]	Psoriasis	C0033860
nebivolol	C0068475	CAUSES	["35752527_fullText_1"]	Erectile dysfunction	C0242350
nebivolol	C0068475	DISRUPTS	["34106365_fullText_1"]	Hypertensive disease	C0020538
nebivolol	C0068475	DISRUPTS	["34106365_fullText_1"]	Myocardial Ischemia	C0151744
nebivolol	C0068475	DISRUPTS__SPEC__	["34106365_fullText_1"]	Coronary Arteriosclerosis	C0010054
Sapropterin dihydrochloride	C1996349	DISRUPTS	["17846916_fullText_8"]	Phenylketonurias	C0031485
Chlorogenic acid	C0008240	DISRUPTS	["34006978_fullText_3"]	brain dysfunction	C0262405
2,5-dichloro-4-bromophenol	C0045550	AFFECTS	["35735057_fullText_2"]	Asthma	C0004096
Ally	C1098293	PREDISPOSES	["35039513_fullText_7"]	Cerebrovascular accident	C0038454
Testosterone	C0039601	ASSOCIATED_WITH	["4010942_fullText_5","2521699_fullText_1","2521699_fullText_5"]	Myotonic Dystrophy	C0027126
Pyridostigmine Bromide	C0034262	CAUSES	["37114698_fullText_4"]	Urticaria	C0042109
Clomipramine	C0009010	AFFECTS	["16437496_fullText_10"]	Myotonic Dystrophy	C0027126
Catechin	C0007404	PREVENTS	["37803635_fullText_5"]	Alzheimer's Disease	C0002395
Medical Marijuana	C0813973	AFFECTS	["33961911_fullText_2"]	Parkinson Disease	C0030567
Medical Marijuana	C0813973	AUGMENTS	["36121021_fullText_1"]	Chronic pain	C0150055
silodosin	C1870115	CAUSES	["35148962_fullText_6"]	Priapism	C0033117
Brain Monoamines	C0237736	ASSOCIATED_WITH	["28552082_fullText_3"]	Phenylketonurias	C0031485
Cortisone	C0010137	ASSOCIATED_WITH	["34911135_fullText_8"]	Pituitary Diseases	C0032002
Dinitrochlorobenzene	C0012460	CAUSES	["34560549_fullText_7"]	Dermatitis, Atopic	C0011615
Bisoprolol	C0053799	DISRUPTS	["34106365_fullText_1"]	Myocardial Ischemia	C0151744
Bisoprolol	C0053799	DISRUPTS	["34106365_fullText_1"]	Hypertensive disease	C0020538
Bisoprolol	C0053799	DISRUPTS__SPEC__	["34106365_fullText_1"]	Coronary Arteriosclerosis	C0010054
Polyunsaturated Fatty Acids	C0032615	ASSOCIATED_WITH	["33819046_fullText_8","32461102_fullText_7"]	Phenylketonurias	C0031485
Polyunsaturated Fatty Acids	C0032615	ASSOCIATED_WITH__INFER__	["33819046_fullText_9","23562298_fullText_2","16523206_fullText_1","7474891_fullText_5"]	Phenylketonurias	C0031485
Pterins	C0033992	ASSOCIATED_WITH	["7014037_fullText_4"]	Phenylketonurias	C0031485
Pterins	C0033992	AUGMENTS	["19016342_fullText_5"]	Phenylketonurias	C0031485
BETAHISTINE	C0005301	PREVENTS	["34229247_fullText_7"]	Metabolic Diseases	C0025517
Human Platelet Antigens	C0085355	ASSOCIATED_WITH__INFER__	["19172809_fullText_2"]	Phenylketonuria II	C0268465
Non-esterified cholesterol	C0368909	CAUSES	["37407594_fullText_1"]	Niemann-Pick Disease, Type C	C0220756
Convulsants	C0009950	PREVENTS	["8422860_fullText_2"]	audiogenic seizure	C0596131
oxybutynin	C0069805	AFFECTS	["35536677_fullText_7"]	Movement Disorders	C0026650
oxybutynin	C0069805	AFFECTS	["36029192_fullText_3"]	Sleep Apnea, Obstructive	C0520679
oxybutynin	C0069805	PREVENTS	["33734828_fullText_1"]	Sleep Apnea, Obstructive	C0520679
oxybutynin	C0069805	PREVENTS	["35383492_fullText_6"]	Incontinence	C0021167
Sodium Channel Blockers	C0872271	AFFECTS	["34427958_fullText_3"]	LONG QT SYNDROME 3	C1859062
Adenosine A2A Receptor Antagonists	C2936572	PREVENTS	["34418159_fullText_3"]	Retinal Diseases	C0035309
butylscopolamine bromide	C0006519	PREVENTS	["34174090_fullText_7"]	Sleep Apnea, Obstructive	C0520679
Estrogens	C0014939	AFFECTS	["34651295_fullText_4"]	Migraine Disorders	C0149931
Estrogens	C0014939	ASSOCIATED_WITH__SPEC__	["37791545_fullText_8"]	Incontinence	C0021167
Caseins	C0007332	AFFECTS	["23028819_fullText_4"]	Phenylketonurias	C0031485
Caseins	C0007332	ASSOCIATED_WITH__INFER__	["18203898_fullText_4"]	Phenylketonurias	C0031485
landiolol	C0905464	CAUSES	["35322092_fullText_4"]	Septicemia	C0036690
Drug Combinations	C0013162	AFFECTS	["34174090_fullText_6"]	Sleep Apnea, Obstructive	C0520679
Zinc	C0043481	ASSOCIATED_WITH__INFER__	["10378199_fullText_3","6820419_fullText_3","7198157_fullText_3"]	Phenylketonurias	C0031485
bilastine	C1101148	AFFECTS	["35593100_fullText_3"]	Allergic condition	C0851444
Procainamide	C0033216	DISRUPTS	["2817610_fullText_5"]	Lupus Erythematosus, Systemic	C0024141
Penicillamine	C0030817	PREDISPOSES	["35964196_fullText_3"]	Deglutition Disorders	C0011168
Penicillamine	C0030817	ASSOCIATED_WITH	["129963_fullText_7"]	Hepatolenticular Degeneration	C0019202
High-Density Polyethylene	C0752345	PREDISPOSES	["37437238_fullText_1"]	Hypertensive disease	C0020538
esmolol	C0116569	CAUSES	["35234431_fullText_2"]	Severe Sepsis	C1719672
Beclomethasone Dipropionate	C0004906	PREVENTS	["34023320_fullText_4"]	Pneumonia	C0032285
Acetaminophen	C0000970	PREVENTS	["33857021_fullText_2"]	Dyskinetic syndrome	C0013384
Toluene	C0040383	CAUSES	["12052659_fullText_3"]	Syndrome	C0039082
cangrelor	C1121991	CAUSES	["34229761_fullText_2"]	Septicemia	C0036690
Allopurinol	C0002144	AFFECTS	["33881645_fullText_3"]	multiple pathologies	C0679225
Allopurinol	C0002144	AFFECTS	["34337790_fullText_3"]	Polycystic Ovary Syndrome	C0032460
Allopurinol	C0002144	AFFECTS	["34337790_fullText_3"]	Hepatic Encephalopathy	C0019151
Lentinan	C0023324	ASSOCIATED_WITH	["35404185_fullText_8"]	Dermatitis	C0011603
Ergocalciferol	C0014695	ASSOCIATED_WITH__SPEC__	["37791545_fullText_8"]	Incontinence	C0021167
Digestive Enzymes	C0544420	ASSOCIATED_WITH	["34299476_fullText_5"]	Diabetes	C0011847
Transforming Growth Factor Beta 1	C1704256	ASSOCIATED_WITH	["35710260_fullText_8"]	Diabetes	C0011847
Metformin	C0025598	PREVENTS	["35253181_fullText_6"]	Ovarian Hyperstimulation Syndrome	C0085083
milnacipran	C1533126	PREDISPOSES	["36745964_fullText_6"]	Epilepsy	C0014544
Thiazides	C0541746	CAUSES	["37439548_fullText_11"]	Cerebrovascular accident	C0038454
Thiazides	C0541746	CAUSES	["34779371_fullText_10"]	Hypocalciuria	C0020599
Thiazides	C0541746	CAUSES	["34779371_fullText_10"]	Hypercalcemia	C0020437
Prebiotics	C2717875	AFFECTS	["35889939_fullText_7"]	Epilepsy	C0014544
Midodrine	C0026078	CAUSES	["35150075_fullText_5"]	Bladder neck obstruction	C0005694
Distigmine bromide	C2745877	CAUSES	["36451415_fullText_2","36451415_fullText_11"]	Cholinergic crisis	C0393947
Loratadine	C0065180	PREVENTS	["35409346_fullText_7"]	Gastric hemorrhage	C0235325
Bile Acids	C0005390	PREDISPOSES	["26627182_fullText_102"]	Liver diseases	C0023895
Bile Acids	C0005390	PREDISPOSES	["26627182_fullText_102"]	Fibrosis, Liver	C0239946
Bile Acids	C0005390	PREDISPOSES	["27469511_fullText_4"]	Cholestasis	C0008370
Bile Acids	C0005390	ASSOCIATED_WITH__INFER__	["36719165_fullText_3"]	Liver Failure	C0085605
Genistein	C0061202	AFFECTS	["35489334_fullText_8"]	endothelial dysfunction	C0856169
myrcene	C1700283	PREVENTS	["35887239_fullText_9"]	Chronic pain	C0150055
atorvastatin	C0286651	PREVENTS	["35037597_fullText_3"]	Migraine Disorders	C0149931
Buspirone	C0006462	CAUSES	["35988699_fullText_3"]	Dyskinetic syndrome	C0013384
zolmitriptan	C0528166	CAUSES	["35988699_fullText_3"]	Dyskinetic syndrome	C0013384
Arbaclofen	C2983924	PREVENTS	["34071034_fullText_8"]	Pneumonia	C0032285
Gaviscon	C0061146	ASSOCIATED_WITH	["34716422_fullText_3"]	Extreme immaturity	C0270078
tizanidine	C0146011	AUGMENTS	["35227682_fullText_13"]	Neuropathy	C0442874
Oleic Acid	C0028928	ASSOCIATED_WITH	["1880537_fullText_4"]	Adrenoleukodystrophy	C0162309
Oleic Acid	C0028928	ASSOCIATED_WITH	["1704424_fullText_8"]	Globoid cell leukodystrophy	C0023521
Amino Acids, Essential	C0002525	ASSOCIATED_WITH	["10662702_fullText_1"]	Phenylketonurias	C0031485
Fatty Acids, Essential	C0015686	AUGMENTS	["24927077_fullText_2"]	Infantile Neuroaxonal Dystrophy	C0270724
Octopamine	C0028403	ASSOCIATED_WITH	["36717_fullText_1"]	Cirrhosis	C1623038
Nesiritide	C0054015	PREVENTS	["35725377_fullText_4"]	Congestive heart failure	C0018802
lansoprazole	C0050940	PREDISPOSES	["36442213_fullText_3"]	Rheumatoid Arthritis	C0003873
Phosphodiesterase 4 Inhibitors	C2936609	CAUSES	["35219697_fullText_2"]	Observation of Neuromuscular Block	C0700323
tanespimycin	C0675974	DISRUPTS	["34864727_fullText_5"]	Dermatitis verrucosa	C0311213
Sotalol	C0037707	AFFECTS	["37229640_fullText_4"]	Heart failure	C0018801
Freund's Adjuvant	C0016712	CAUSES	["34220796_fullText_3"]	Arthritis	C0003864
Levamisole	C0023556	CAUSES	["35358704_fullText_8"]	endothelial dysfunction	C0856169
Ginkgo biloba extract 761	C0119187	AFFECTS	["36634122_fullText_1"]	Absence Epilepsy	C0014553
Aldicarb	C0001994	ASSOCIATED_WITH	["34864060_fullText_6"]	Helminthiasis	C0018889
sodium dehydroacetate	C0142831	AFFECTS	["21305356_fullText_2"]	Phenylketonurias	C0031485
Fluticasone propionate	C0117996	PREDISPOSES	["34023320_fullText_6"]	Pneumonia	C0032285
Oligosaccharides	C0028959	CAUSES	["24716661_fullText_1"]	Rare Diseases	C0678236
Androgens	C0002844	AUGMENTS	["12602971_fullText_3"]	Acne	C0702166
Androgens	C0002844	AUGMENTS	["12602971_fullText_3"]	Androgenetic Alopecia	C0162311
Androgens	C0002844	AUGMENTS	["12602971_fullText_3"]	Hidradenitis Suppurativa	C0162836
Mannose	C0024742	AFFECTS	["11350186_fullText_5"]	Congenital disorder of glycosylation type 1B	C1865145
Glycolipids	C0017950	CAUSES	["33058492_fullText_1"]	Metabolic Diseases	C0025517
Immunoglobulin A, Human	C2825347	ASSOCIATED_WITH__INFER__	["10443490_fullText_1"]	Sudden infant death syndrome	C0038644
Immunoglobulin A, Human	C2825347	ASSOCIATED_WITH__INFER__	["8586776_fullText_4"]	Phenylketonurias	C0031485
alternan	C1099034	CAUSES	["36672764_fullText_7"]	ENDPLATE ACETYLCHOLINESTERASE DEFICIENCY (disorder)	C1864233
Dopamine D2 Receptor Antagonists	C3850099	CAUSES	["33857021_fullText_2"]	Dyskinetic syndrome	C0013384
Folic Acid	C0016410	PREDISPOSES	["36384480_fullText_7"]	Obesity	C0028754
Organic acid (substance)	C0369760	CAUSES	["34096551_fullText_1"]	Metabolic Diseases	C0025517
Organic acid (substance)	C0369760	CAUSES	["34096551_fullText_1"]	Encephalopathies	C0085584
Vitamin E	C0042874	AUGMENTS	["12499340_fullText_6"]	Phenylketonurias	C0031485
Vitamin E	C0042874	PREVENTS	["16309833_fullText_5"]	Hepatic impairment	C0948807
Phosphodiesterase Inhibitors	C0031638	CAUSES	["35063138_fullText_4"]	Lesion of brain	C0221505
Growth Hormone	C0037663	CAUSES	["35308014_fullText_106"]	Hypoglycemia	C0020615
rifaximin	C0073374	AFFECTS	["37467180_fullText_13"]	Hepatic Encephalopathy	C0019151
rifaximin	C0073374	PREVENTS__SPEC__	["37467180_fullText_2"]	Hepatic Encephalopathy	C0019151
Fenclonine	C0030135	CAUSES	["4068896_fullText_2"]	Phenylketonuria, Maternal	C0085547
Fenclonine	C0030135	CAUSES	["6151489_fullText_6"]	Hyperphenylalaninaemia	C0751435
Appetite Depressants	C0003620	AFFECTS	["34788630_fullText_2"]	Anorexia	C0003123
Cinnarizine	C0008803	CAUSES	["36584558_fullText_5"]	Parkinsonian Disorders	C0242422
Neopterin	C0068527	ASSOCIATED_WITH	["7014037_fullText_3"]	Phenylketonuria II	C0268465
