Drug	Drug_id	RELATION	PROVENANCE	Gene	Gene_id
animal allergen extracts	C3540698	COEXISTS_WITH	["37552802_fullText_7","37770252_fullText_71","37770252_fullText_73","38732047_fullText_72"]	NDUFS4 gene	C1417647
animal allergen extracts	C3540698	INHIBITS	["19907076_fullText_3"]	CELF1 gene	C1413824
animal allergen extracts	C3540698	INHIBITS	["37797676_fullText_9"]	CNR2 gene	C1413555
animal allergen extracts	C3540698	INHIBITS	["37511537_fullText_6"]	GRIA1 gene	C1415287
animal allergen extracts	C3540698	INHIBITS	["34968475_fullText_2"]	CNR1 gene	C1413554
animal allergen extracts	C3540698	INHIBITS	["33974952_fullText_4"]	HCRTR1 gene	C1415501
animal allergen extracts	C3540698	INHIBITS	["34923576_fullText_4"]	MEG8 gene	C1422766
animal allergen extracts	C3540698	STIMULATES	["34412520_fullText_6"]	BAX gene	C0812198
animal allergen extracts	C3540698	compared_with	["21698251_fullText_20"]	S100B wt Allele	C3273837
Endopeptidases	C0030946	INHIBITS	["9922452_fullText_130"]	PEX16 gene	C1418476
Fluorodeoxyglucose F18	C0046056	COEXISTS_WITH	["17468965_fullText_9"]	LY6E gene	C1334353
Quinolinic Acid	C0072879	COEXISTS_WITH	["26607633_fullText_2"]	GCDH gene	C1415009
8-chloro-cyclic adenosine monophosphate	C0050063	COEXISTS_WITH	["35535012_fullText_5"]	SCIN gene	C1427702
8-chloro-cyclic adenosine monophosphate	C0050063	INHIBITS	["33891515_fullText_1"]	MALAT1 gene	C1537647
8-chloro-cyclic adenosine monophosphate	C0050063	STIMULATES	["33992835_fullText_8"]	DRD1 gene	C1333250
8-chloro-cyclic adenosine monophosphate	C0050063	STIMULATES	["37002793_fullText_6"]	TAAR1 gene	C1539908
Cytosine	C0010843	PART_OF	["26002596_fullText_119"]	DMPK gene	C1414085
Cytosine	C0010843	PART_OF	["8604323_fullText_8"]	SEPT4 wt Allele	C3538895
Ethanol	C0001962	COEXISTS_WITH	["34389427_fullText_7"]	CFP gene	C1418482
Ethanol	C0001962	COEXISTS_WITH	["36802012_fullText_1","35644487_fullText_10"]	NLRP1 wt Allele	C3538756
Ethanol	C0001962	INHIBITS	["33965399_fullText_5"]	SLC6A9 gene	C1420220
Ethanol	C0001962	STIMULATES	["34928513_fullText_9"]	MYO5A gene	C1417565
Calcium ion	C0596235	COEXISTS_WITH	["37149124_fullText_10"]	RYR1 gene	C1419778
Calcium ion	C0596235	COEXISTS_WITH	["37149124_fullText_10"]	PKD1 gene	C1418599
Lipids	C0023779	COEXISTS_WITH	["28323990_fullText_7"]	TMEM165 gene	C1823430
Lipids	C0023779	STIMULATES	["28448548_fullText_9"]	FAAH gene	C1414512
Lipids	C0023779	compared_with	["33477953_fullText_65"]	ATXN3 gene	C1538301
3,4-Methylenedioxyamphetamine	C0000379	COEXISTS_WITH	["38177503_fullText_102"]	BRCA2 wt Allele	C1705143
3,4-Methylenedioxyamphetamine	C0000379	INHIBITS	["37848450_fullText_19"]	DDOST gene	C1413949
3,4-Methylenedioxyamphetamine	C0000379	compared_with	["35186114_fullText_3"]	FBXL20 gene	C1539487
Therapeutic brand of coal tar	C0723712	STIMULATES	["23637619_fullText_67"]	SAMD4A gene	C1826968
Histone deacetylase inhibitor	C1512474	COEXISTS_WITH	["28535287_fullText_49"]	EGR3 gene	C1414316
Histone deacetylase inhibitor	C1512474	STIMULATES	["28535287_fullText_49"]	MBNL1 gene	C1417055
Histone deacetylase inhibitor	C1512474	STIMULATES	["28535287_fullText_62"]	ATP2A1 gene	C1412637
Histone deacetylase inhibitor	C1512474	STIMULATES	["28535287_fullText_62"]	DMPK gene	C1414085
Histone deacetylase inhibitor	C1512474	PRODUCES	["28535287_fullText_7"]	MBNL1 gene	C1417055
Histone deacetylase inhibitor	C1512474	CONVERTS_TO	["32357546_fullText_19"]	CEL gene	C1413336
resveratrol	C0073096	STIMULATES	["27165717_fullText_6","36235829_fullText_4","36235829_fullText_5","27165717_fullText_105"]	SIRT1 gene	C1423062
resveratrol	C0073096	STIMULATES	["36235240_fullText_7"]	SYK gene	C1335892
Small Molecule	C1328819	COEXISTS_WITH	["38732047_fullText_20"]	NDUFS4 gene	C1417647
Small Molecule	C1328819	COEXISTS_WITH	["23280953_fullText_4"]	CEL gene	C1413336
Small Molecule	C1328819	INHIBITS	["38232139_fullText_3","38232139_abstract_3"]	GYS1 gene	C1415377
Small Molecule	C1328819	INHIBITS	["35817218_fullText_2"]	ACE2 gene	C1422064
Small Molecule	C1328819	INTERACTS_WITH	["23806903_fullText_5","21768123_fullText_105","27805016_fullText_5"]	MBNL1 gene	C1417055
Small Molecule	C1328819	STIMULATES	["23806903_fullText_1"]	CEL gene	C1413336
Small Molecule	C1328819	STIMULATES	["28535287_fullText_8"]	MBNL1 gene	C1417055
Small Molecule	C1328819	STIMULATES	["34942533_fullText_6"]	KCNK4 gene	C1416597
Candida albicans extract	C0717551	COEXISTS_WITH	["25270028_fullText_25"]	Gene Family	C1517488
Candida albicans extract	C0717551	COEXISTS_WITH	["31636082_fullText_86"]	PMM2 gene	C1418674
Candida albicans extract	C0717551	COEXISTS_WITH	["30530630_fullText_77"]	PMM1 gene	C1418673
Candida albicans extract	C0717551	COEXISTS_WITH	["10571010_fullText_11","27390132_fullText_4"]	Homologous Gene	C1334043
Candida albicans extract	C0717551	COEXISTS_WITH	["19267216_fullText_1"]	RFT1 gene	C1538829
Candida albicans extract	C0717551	INHIBITS	["10562279_fullText_8"]	PEX2 gene	C1419149
Candida albicans extract	C0717551	STIMULATES	["29773809_fullText_5"]	PEX6 gene	C1418478
Candida albicans extract	C0717551	STIMULATES	["29773809_fullText_5"]	PEX1 gene	C1418469
Candida albicans extract	C0717551	STIMULATES	["31636082_fullText_123"]	PMM2 gene	C1418674
Candida albicans extract	C0717551	compared_with	["27343064_fullText_188"]	Alleles	C0002085
Candida albicans extract	C0717551	lower_than	["27343064_fullText_188"]	Alleles	C0002085
other medicated shampoos in ATC	C3539125	COEXISTS_WITH	["31996269_abstract_7"]	LRP2 wt Allele	C3811119
other medicated shampoos in ATC	C3539125	COEXISTS_WITH	["21669930_fullText_70"]	PEX26 gene	C1427818
other medicated shampoos in ATC	C3539125	COEXISTS_WITH	["33315011_fullText_58"]	NGLY1 gene	C1425023
other medicated shampoos in ATC	C3539125	COEXISTS_WITH	["30520688_fullText_117"]	NDUFS4 gene	C1417647
other medicated shampoos in ATC	C3539125	COEXISTS_WITH	["17439981_fullText_3"]	DOK7 gene	C1824957
other medicated shampoos in ATC	C3539125	COEXISTS_WITH	["33832800_fullText_3"]	TOR1A gene	C1540039
other medicated shampoos in ATC	C3539125	COEXISTS_WITH	["36093993_fullText_6"]	SLC19A3 gene	C1424138
other medicated shampoos in ATC	C3539125	COEXISTS_WITH	["33832800_fullText_3"]	SGCE gene	C1420008
other medicated shampoos in ATC	C3539125	INHIBITS	["36128717_fullText_10"]	AASS gene	C1424938
Agonist	C2987634	COEXISTS_WITH	["34700256_fullText_8"]	CNR2 gene	C1413555
Agonist	C2987634	INHIBITS	["34419761_fullText_4"]	CNR1 gene	C1413554
Agonist	C2987634	INHIBITS	["34800583_fullText_5"]	GPER1 gene	C1415223
Agonist	C2987634	STIMULATES	["37644541_fullText_40"]	PMM2 gene	C1418674
Agonist	C2987634	STIMULATES	["36233007_fullText_11"]	GABRQ gene	C1422662
Agonist	C2987634	STIMULATES	["36980189_fullText_7","34291308_fullText_10"]	CNR1 gene	C1413554
Agonist	C2987634	STIMULATES	["33901873_fullText_5","35032086_fullText_3"]	DRD2 gene	C1333253
