Disease	Disease_id	RELATION	PROVENANCE	Phenotype	Phenotype_id
Cirrhosis	C1623038	PREDISPOSES	["35661713_fullText_9"]	Decompensation	C0231187
Phenylketonurias	C0031485	COEXISTS_WITH	["7913864_fullText_2"]	canadian	C0238884
Hereditary Diseases	C0019247	COEXISTS_WITH	["22894767_fullText_17"]	canadian	C0238884
Glutaric aciduria, type 1	C0268595	COEXISTS_WITH	["23326493_fullText_85"]	Crisis	C0231224
Cerebrovascular accident	C0038454	COEXISTS_WITH	["25835550_fullText_126"]	Crisis	C0231224
Multisystem disorder	C0559758	COEXISTS_WITH	["33190906_fullText_1"]	Crisis	C0231224
Rare Diseases	C0678236	COEXISTS_WITH	["16641220_fullText_1"]	Crisis	C0231224
Leukodystrophy	C0023520	COEXISTS_WITH	["31125684_fullText_2"]	Crisis	C0231224
Endocrine System Diseases	C0014130	AFFECTS	["33835005_fullText_1"]	Crisis	C0231224
Leigh syndrome , French Canadian type	C1857355	AFFECTS	["25835550_fullText_12"]	Crisis	C0231224
Mitochondrial Diseases	C0751651	PREDISPOSES	["26565911_fullText_53"]	Crisis	C0231224
Dystrophia myotonica 1	C2931688	COEXISTS_WITH__SPEC__	["33190906_fullText_1"]	Crisis	C0231224
Glutaric aciduria, type 1	C0268595	COEXISTS_WITH__SPEC__	["17520433_fullText_1","16641220_fullText_1"]	Crisis	C0231224
Glutaric aciduria	C0268594	COEXISTS_WITH__SPEC__	["17520433_fullText_1"]	Crisis	C0231224
Spastic tetraparesis	C0575059	COEXISTS_WITH	["36093993_fullText_77"]	Axial hypotonia	C1853743
Generalized dystonia	C1848954	COEXISTS_WITH	["36093993_fullText_77"]	Axial hypotonia	C1853743
Leigh Disease	C0023264	COEXISTS_WITH__SPEC__	["29715184_fullText_1"]	Psychomotor regression	C1855019
Neurodegenerative Disorders	C0524851	COEXISTS_WITH	["29715184_fullText_1"]	Psychomotor regression	C1855019
Cardiac defects	C0741916	COEXISTS_WITH	["21669930_fullText_7"]	Hypotonia, severe	C1839630
Leigh Disease	C0023264	AFFECTS	["31479473_fullText_5"]	Encephalomyopathy	C3554130
Peroxisomal Disorders	C0282528	AFFECTS	["10618001_fullText_1"]	Severe psychomotor retardation	C1854919
Congenital Disorders of Glycosylation	C0282577	AFFECTS__SPEC__	["11529501_fullText_1"]	Severe psychomotor retardation	C1854919
Hereditary Diseases	C0019247	COEXISTS_WITH	["14601252_fullText_1"]	Severe psychomotor retardation	C1854919
Glutaric aciduria, type 1	C0268595	COEXISTS_WITH	["25190159_fullText_10"]	Severe psychomotor retardation	C1854919
Metabolic Diseases	C0025517	AFFECTS	["31990683_abstract_7"]	Normal development	C1821244
Nystagmus	C0028738	AFFECTS	["3095672_fullText_2"]	Hirsutism	C0019572
Kidney Diseases	C0022658	COEXISTS_WITH	["9810562_fullText_3"]	Laboratory test finding	C0587081
Hyperaldosteronism	C0020428	COEXISTS_WITH__SPEC__	["9810562_fullText_3"]	Laboratory test finding	C0587081
Endocrine System Diseases	C0014130	COEXISTS_WITH__SPEC__	["9810562_fullText_3"]	Laboratory test finding	C0587081
Diabetes Mellitus	C0011849	COEXISTS_WITH	["32188809_fullText_1"]	Syncope	C0039070
Dystrophia myotonica 1	C2931688	CAUSES	["31961442_fullText_5"]	Syncope	C0039070
Vasovagal syncope	C0042420	ISA	["31956193_abstract_9"]	Syncope	C0039070
Extrapontine Myelinolysis	C0393667	CAUSES	["37968847_fullText_4"]	Paraparesis	C0221166
Virus Diseases	C0042769	COEXISTS_WITH	["26081110_fullText_74"]	Pallor	C0030232
Myasthenic Syndromes, Congenital	C0751882	COEXISTS_WITH	["26659129_fullText_3"]	Paralysed	C0522224
Cranial nerve palsies	C0151311	ISA	["17228821_fullText_2"]	Paralysed	C0522224
Primary biliary cirrhosis	C0008312	AFFECTS	["34728431_fullText_5"]	Hypotension	C0020649
Degenerative disorder	C1285162	AFFECTS	["4051461_fullText_4"]	Specimen unsatisfactory for diagnosis	C0702119
Horizontal Nystagmus	C0271385	COEXISTS_WITH	["34831340_fullText_46"]	Does play	C0600138
Nephrocalcinosis	C0027709	COEXISTS_WITH	["35741019_fullText_69"]	Hepatomegaly	C0019209
Congenital Disorders	C0242354	CAUSES	["12872847_fullText_1"]	Hepatomegaly	C0019209
Phenylketonurias	C0031485	COEXISTS_WITH	["26088792_fullText_5"]	Intoxication	C0728899
Hypoglycemia	C0020615	COEXISTS_WITH	["34848131_fullText_4"]	Intoxication	C0728899
SVEINSSON CHORIORETINAL ATROPHY	C1862382	PREDISPOSES	["34850659_fullText_9"]	Intoxication	C0728899
Neonatal Abstinence Syndrome	C0027609	AFFECTS	["33798593_fullText_1"]	seizure activity	C1148454
Epilepsy	C0014544	COEXISTS_WITH	["36460464_fullText_8"]	seizure activity	C1148454
Phenylketonurias	C0031485	AFFECTS	["23946023_fullText_1"]	medical care	C0496675
Cerebrovascular accident	C0038454	AFFECTS	["24468193_fullText_1"]	Rapid onset	C1838994
Malnutrition	C0162429	AFFECTS	["24731534_fullText_85"]	exacerbation acute	C0743630
Dehydration	C0011175	AFFECTS	["24731534_fullText_85"]	exacerbation acute	C0743630
Phenylketonurias	C0031485	COEXISTS_WITH	["30823463_fullText_2","28940742_fullText_1"]	Weaning	C0043084
Nasopharyngitis	C0027441	COEXISTS_WITH	["37449930_fullText_9"]	Sedated state	C0235195
Disorder of eye	C0015397	COEXISTS_WITH	["9282370_fullText_9"]	ENCEPHALOPATHY, ACUTE, INFECTION-INDUCED, SUSCEPTIBILITY TO, 3	C2675556
Lesion of brain	C0221505	COEXISTS_WITH	["12070722_fullText_1"]	ENCEPHALOPATHY, ACUTE, INFECTION-INDUCED, SUSCEPTIBILITY TO, 3	C2675556
Acute respiratory failure	C0264490	COEXISTS_WITH	["36581920_fullText_3"]	Respiratory distress	C0476273
Myotonic Dystrophy	C0027126	CAUSES	["26092529_fullText_78"]	Respiratory distress	C0476273
Pleural effusion disorder	C0032227	CAUSES	["35308014_fullText_56"]	Respiratory distress	C0476273
Stimulus deprivation amblyopia	C0152189	IS_A		Amblyopia	C0002418
Refractive amblyopia	C0152190	IS_A		Amblyopia	C0002418
Amblyopia, Suppression	C0750903	IS_A		Amblyopia	C0002418
Anemia	C0002871	COEXISTS_WITH	["29560582_fullText_3"]	underdiagnosis	C0679837
Cardiomyopathies	C0878544	COEXISTS_WITH	["29560582_fullText_3"]	underdiagnosis	C0679837
Syndrome	C0039082	COEXISTS_WITH	["17228821_fullText_2"]	skeletal deformity	C0241052
CODAS syndrome	C1838180	COEXISTS_WITH	["29518248_fullText_3"]	Marked clinical heterogeneity	C1857382
Hereditary Diseases	C0019247	CAUSES	["39151654_fullText_1"]	Muscle Weakness	C0151786
Myasthenic crisis	C0270942	ISA	["32660532_fullText_2"]	Muscle Weakness	C0151786
Ketosis	C0022638	COEXISTS_WITH	["21431619_fullText_22"]	Vomiting	C0042963
Failure to Thrive	C0015544	COEXISTS_WITH	["9669722_fullText_11"]	Vomiting	C0042963
Mitochondrial Diseases	C0751651	AFFECTS	["28899781_fullText_3"]	poor health	C0683321
Metabolic Diseases	C0025517	COEXISTS_WITH	["21431621_fullText_168"]	Skin Wrinkling	C0037301
