Gene	Gene_id	RELATION	PROVENANCE	Phenotype	Phenotype_id
CYP2D6 gene	C1332830	ASSOCIATED_WITH		Tremor	C0040822
ADRB2 gene	C1367657	ASSOCIATED_WITH		Tremor	C0040822
HTR1A gene	C1415803	ASSOCIATED_WITH		Tremor	C0040822
MPZ gene	C1417248	ASSOCIATED_WITH		Tremor	C0040822
STXBP1 gene	C1420506	ASSOCIATED_WITH		Tremor	C0040822
ATG7 gene	C1825498	DISRUPTS	["25112410_fullText_5"]	Tremor	C0040822
IMPACT gene	C1825598	AFFECTS	["31970692_fullText_4"]	consideration	C0518609
PEX14 gene	C1418475	CAUSES	["27827795_fullText_35"]	Starvation	C0038187
GCDH gene	C1415009	AUGMENTS	["35157847_fullText_69"]	Starvation	C0038187
CRX gene	C1413723	ASSOCIATED_WITH		Stargardt's disease	C0271093
CRB1 gene	C1413701	ASSOCIATED_WITH		Stargardt's disease	C0271093
BEST1 gene	C1826421	ASSOCIATED_WITH		Stargardt's disease	C0271093
ABCA4 gene	C1412063	ASSOCIATED_WITH		Stargardt's disease	C0271093
PPARGC1A gene	C1418779	AFFECTS	["28367954_fullText_58"]	Form of muscle	C0240417
SLC6A4 gene	C1420214	CAUSES	["33908307_fullText_3"]	Hyperactive behavior	C0424295
SLC6A3 wt Allele	C3813713	CAUSES	["36499749_fullText_8"]	Hyperactive behavior	C0424295
PRRT2 gene	C1826724	ASSOCIATED_WITH		Hyperactive behavior	C0424295
NF1 gene	C0085113	ASSOCIATED_WITH		Hyperactive behavior	C0424295
SLC12A5 gene	C1422213	AFFECTS	["35880480_fullText_4"]	impaired motor coordination	C0814161
SLC6A11 gene	C1420208	AFFECTS	["35880480_fullText_4"]	impaired motor coordination	C0814161
MBNL1 gene	C1417055	CAUSES	["25630614_fullText_74"]	Symptom severe	C0436345
DMPK gene	C1414085	CAUSES	["25655594_fullText_2"]	Symptom severe	C0436345
NGLY1 gene	C1425023	CAUSES	["31733337_fullText_2"]	Symptom severe	C0436345
PSEN1 gene	C1418985	ASSOCIATED_WITH		Paraparesis, Spastic	C0037771
SPAST gene	C1539809	ASSOCIATED_WITH		Paraparesis, Spastic	C0037771
SPG7 gene	C1420354	ASSOCIATED_WITH		Paraparesis, Spastic	C0037771
CAMK2D gene	C1413101	ASSOCIATED_WITH	["22427994_fullText_46"]	Excessive daytime somnolence	C0694563
Myotonic dystrophy gene	C1508293	AFFECTS	["7707098_fullText_9"]	Clinical variability	C1842176
MKI67 gene	C1334508	AUGMENTS	["34282593_fullText_6"]	6/5	C0442749
NDUFS4 gene	C1417647	AFFECTS	["35872650_fullText_29"]	Rhythm	C0871269
KSS gene	C1416765	DISRUPTS	["33734828_fullText_11"]	Drowsiness	C0013144
CLCN1 gene	C1413450	CAUSES	["24179176_fullText_6"]	Imbalance	C1397014
ATP2A1 gene	C1412637	CAUSES	["24179176_fullText_6"]	Imbalance	C1397014
MBNL1 gene	C1417055	CAUSES	["31721251_fullText_18","27030674_fullText_94"]	Imbalance	C1397014
DMPK gene	C1414085	CAUSES	["35695045_fullText_4"]	Imbalance	C1397014
ELF4 gene	C1414377	AFFECTS	["21737679_fullText_166"]	Imbalance	C1397014
CFP gene	C1418482	AFFECTS	["35011001_fullText_3"]	Imbalance	C1397014
PAH gene	C1418251	CAUSES	["11214902_fullText_7"]	Does skip	C0560435
mutant gene	C0678941	CAUSES	["19292873_fullText_4"]	Does skip	C0560435
NF1 gene	C0085113	CAUSES	["25630614_fullText_39"]	Does skip	C0560435
PMM2 gene	C1418674	CAUSES	["30530630_fullText_50"]	Does skip	C0560435
Alleles	C0002085	CAUSES	["10924277_fullText_4","24348268_fullText_225"]	Does skip	C0560435
DBP gene	C1413924	CAUSES	["11992265_fullText_4"]	Does skip	C0560435
PTBP1 gene	C1419054	CAUSES	["19147685_fullText_6"]	Does skip	C0560435
RBM10 gene	C1419296	AUGMENTS	["25630614_fullText_171"]	Does skip	C0560435
MBNL1 gene	C1417055	CAUSES	["28535287_fullText_7"]	Does hit (finding)	C0596020
ANO1 gene	C1427656	AFFECTS	["36293514_fullText_6"]	Does hit (finding)	C0596020
MBNL1 gene	C1417055	AUGMENTS	["28535287_fullText_42"]	Does hit (finding)	C0596020
KNG1 gene	C1537501	ASSOCIATED_WITH		Coughing	C0010200
TRPV1 gene	C1421467	ASSOCIATED_WITH		Coughing	C0010200
ACE gene	C1413931	ASSOCIATED_WITH		Coughing	C0010200
TRPA1 gene	C1412407	ASSOCIATED_WITH		Coughing	C0010200
GABRB3 gene	C1414916	ASSOCIATED_WITH		Sleeplessness	C0917801
HCRT gene	C1415500	ASSOCIATED_WITH	["35972717_fullText_6"]	Sleeplessness	C0917801
IGSF6 gene	C1416375	ASSOCIATED_WITH	["34415378_fullText_2"]	Sleeplessness	C0917801
HCRTR2 gene	C1415502	DISRUPTS	["35254948_fullText_2"]	Sleeplessness	C0917801
HMBS gene	C1415597	AFFECTS	["38497605_fullText_20"]	Functional Status	C0598463
ATXN3 gene	C1538301	AFFECTS	["39320846_fullText_21"]	Functional Status	C0598463
LY6E gene	C1334353	AFFECTS	["31575582_fullText_75"]	Functional Status	C0598463
NDUFAF2 gene	C1826392	DISRUPTS	["38949024_fullText_35"]	Functional Status	C0598463
SLC2A1 gene	C1335837	ASSOCIATED_WITH		Myoclonus	C0027066
AFG3L2 gene	C1412274	ASSOCIATED_WITH		Myoclonus	C0027066
NPC1 gene	C1417776	ASSOCIATED_WITH		Ophthalmoplegia	C0029089
DSC3 gene	C1414158	ASSOCIATED_WITH	["34743917_fullText_6"]	Psychotic symptom	C0871189
GATS gene	C2681540	DISRUPTS	["33838585_fullText_3"]	5 mm	C3840882
MBNL1 gene	C1417055	ASSOCIATED_WITH	["29789616_fullText_3"]	Multiple symptoms	C0231217
FBRS gene	C1426940	CAUSES	["36232937_fullText_1"]	Fluctuation	C0231239
HTL gene	C1415797	ASSOCIATED_WITH	["34780780_fullText_3"]	Fluctuation	C0231239
ACE gene	C1413931	AFFECTS	["35132122_fullText_11"]	insensitivity	C0237677
HTT gene	C1415504	AFFECTS	["39375222_fullText_114"]	Strong positive	C3845288
PMM2 gene	C1418674	DISRUPTS	["22956764_fullText_17"]	Unable	C1299582
TUBA1A gene	C1865269	ASSOCIATED_WITH		Brainstem abnormalities	C1850601
TFAM gene	C1420696	CAUSES	["30059502_fullText_86","30059502_fullText_241"]	Does climb	C0561942
SNCA gene	C1420276	CAUSES	["31246996_fullText_91"]	Does climb	C0561942
Genome	C0017428	PART_OF	["38820906_fullText_4"]	australian	C0238711
GPSM2 gene	C1428865	AFFECTS	["1442885_fullText_5"]	Blind Vision	C0456909
USH2A gene	C1421381	ASSOCIATED_WITH		Blind Vision	C0456909
RHO gene	C1419385	ASSOCIATED_WITH		Blind Vision	C0456909
CEP290 gene	C1824725	ASSOCIATED_WITH		Blind Vision	C0456909
ABCA4 gene	C1412063	ASSOCIATED_WITH		Blind Vision	C0456909
Alleles	C0002085	DISRUPTS	["24367268_fullText_163"]	Related to Cancer	C2826292
STAU1 gene	C1823131	CAUSES	["26824521_fullText_83"]	Major change	C3845593
ANLN gene	C1422396	CAUSES	["37847546_fullText_8"]	Major change	C3845593
DR1 gene	C1333247	DISRUPTS	["37394124_fullText_7"]	Behavior showing increased motor activity	C0474395
TRPM6 gene	C1425225	AFFECTS	["34140503_fullText_9"]	Systemic arterial pressure	C1272641
DMPK gene	C1414085	AFFECTS	["12595579_fullText_9"]	Cardiac dysfunction	C3277906
PIM1 gene	C0812214	AFFECTS	["33709435_fullText_5"]	Pulmonary Dysfunction	C1709770
NDUFS4 gene	C1417647	CAUSES	["22653057_fullText_7","28916769_fullText_22"]	Abnormal breathing	C1260922
PMM2 gene	C1418674	AFFECTS	["38599261_fullText_1"]	Nervousness	C0027769
GOLGA2 gene	C1415174	AFFECTS	["34943782_fullText_90"]	Nervousness	C0027769
CELF1 gene	C1413824	CAUSES	["23637619_fullText_26"]	Mild phenotype	C1855585
PEX26 gene	C1427818	CAUSES	["30446579_fullText_17"]	Mild phenotype	C1855585
GOSR1 gene	C1415179	CAUSES	["34943782_fullText_214"]	Mild phenotype	C1855585
BET1L gene	C1426180	CAUSES	["34943782_fullText_214"]	Mild phenotype	C1855585
LAMB2 gene	C1416781	CAUSES	["31959872_fullText_2"]	Mild phenotype	C1855585
TMPO wt Allele	C3541334	CAUSES	["39125643_fullText_78"]	Misdiagnosis	C0679838
ADO gene	C1428110	CAUSES	["39125643_fullText_78"]	Misdiagnosis	C0679838
KCNA1 gene	C1416543	ASSOCIATED_WITH		Myokymia	C0684219
ECHS1 gene	C1414247	AFFECTS	["35206276_fullText_159"]	Illness (finding)	C0221423
CEL gene	C1413336	CAUSES	["31454904_fullText_100"]	Reduced concentration	C0424099
DARS2 gene	C1824885	CAUSES	["33182419_fullText_79"]	Hyperreflexia	C0151889
USH2A gene	C1421381	ASSOCIATED_WITH		Visual Impairment	C3665347
RPGRIP1 gene	C1421991	ASSOCIATED_WITH		Visual Impairment	C3665347
ABCA4 gene	C1412063	ASSOCIATED_WITH		Visual Impairment	C3665347
ETV3 gene	C0812270	AUGMENTS	["34922702_fullText_7"]	Functional capacity	C1998319
Enzyme Gene	C1333402	CAUSES	["20502985_fullText_5"]	ARG	C3714963
MVK gene	C1417508	ASSOCIATED_WITH		Exanthema	C0015230
LEP gene	C1416825	ASSOCIATED_WITH		Polyuria	C0032617
PTGES gene	C1419067	ASSOCIATED_WITH		Polyuria	C0032617
PRKCA gene	C1335261	ASSOCIATED_WITH		Polyuria	C0032617
SRI gene	C1420401	CAUSES	["36528909_fullText_12"]	Senility	C0231337
LY96 gene	C1424783	ASSOCIATED_WITH	["34530841_fullText_5"]	Paroxysmal nocturnal dyspnea	C1956415
MVK gene	C1417508	ASSOCIATED_WITH		Arthralgia	C0003862
TMEM115 gene	C1823376	CAUSES	["32629928_fullText_153"]	Swelling	C0038999
PMM2 gene	C1418674	CAUSES	["12789572_fullText_1"]	Eye Manifestations	C0015411
CDK9 gene	C1413290	DISRUPTS	["33735392_fullText_4"]	Falls	C0085639
NR4A1 gene	C1367453	DISRUPTS	["37620274_fullText_6"]	Falls	C0085639
SIRT3 gene	C1423063	CAUSES	["34571997_fullText_10"]	Impaired mitochondrial respiration	C3554093
MT-ND3 gene	C1537991	AUGMENTS	["31178082_fullText_1"]	Heteroplasmic	C3845270
PEX6 gene	C1418478	CAUSES	["32214787_fullText_68"]	Deafness	C0011053
PEX1 gene	C1418469	CAUSES	["32214787_fullText_68"]	Deafness	C0011053
mutant gene	C0678941	CAUSES	["33256818_fullText_102"]	Deafness	C0011053
GAA gene	C1414899	CAUSES	["33256818_fullText_92"]	Deafness	C0011053
GJB3 gene	C1415078	AFFECTS	["33256818_fullText_45"]	Deafness	C0011053
BDNF gene	C1332408	ASSOCIATED_WITH		Deafness	C0011053
PAX3 gene	C1335192	ASSOCIATED_WITH		Deafness	C0011053
TECTA gene	C1420683	ASSOCIATED_WITH		Deafness	C0011053
SERAC1 gene	C1427283	ASSOCIATED_WITH		Deafness	C0011053
SLC26A5 gene	C1822756	ASSOCIATED_WITH		Deafness	C0011053
CACNA1D gene	C1413058	ASSOCIATED_WITH		Deafness	C0011053
PCDH15 gene	C1422830	ASSOCIATED_WITH		Deafness	C0011053
SLC26A4 gene	C1418445	ASSOCIATED_WITH		Deafness	C0011053
GJB3 gene	C1415078	ASSOCIATED_WITH		Deafness	C0011053
JAG1 gene	C1416525	ASSOCIATED_WITH		Deafness	C0011053
GPSM2 gene	C1428865	ASSOCIATED_WITH		Deafness	C0011053
DFNB31 gene	C1424217	ASSOCIATED_WITH		Deafness	C0011053
GJB2 gene	C1415077	ASSOCIATED_WITH		Deafness	C0011053
USH1G gene	C1424214	ASSOCIATED_WITH		Deafness	C0011053
DFNB59 gene	C1539285	ASSOCIATED_WITH		Deafness	C0011053
MITF gene	C1417172	ASSOCIATED_WITH		Deafness	C0011053
MYO7A gene	C1417569	ASSOCIATED_WITH		Deafness	C0011053
SMAD4 gene	C0694891	ASSOCIATED_WITH		Deafness	C0011053
CDH23 gene	C1422171	ASSOCIATED_WITH		Deafness	C0011053
DNAJC30 gene	C2681419	AFFECTS	["35148383_fullText_29"]	Incomplete penetrance	C1836598
DNAJC30 gene	C2681419	AFFECTS	["35148383_fullText_29"]	Male predominance	C1835590
GCDH gene	C1415009	AFFECTS	["32992790_fullText_139"]	Fever	C0015967
PMM2 gene	C1418674	AFFECTS	["10602363_fullText_5"]	Fever	C0015967
CRH gene	C1366488	ASSOCIATED_WITH		Fever	C0015967
TNF gene	C0812246	ASSOCIATED_WITH		Fever	C0015967
HTR2A gene	C1415809	ASSOCIATED_WITH		Fever	C0015967
PRKCD gene	C1418916	ASSOCIATED_WITH		Fever	C0015967
HMGB1 gene	C1333908	ASSOCIATED_WITH		Fever	C0015967
HMBS gene	C1415597	ASSOCIATED_WITH		Fever	C0015967
STAT3 gene	C1367307	ASSOCIATED_WITH		Fever	C0015967
NLRP3 gene	C1424250	ASSOCIATED_WITH		Fever	C0015967
NOS1 gene	C1417759	ASSOCIATED_WITH		Fever	C0015967
PTGES gene	C1419067	ASSOCIATED_WITH		Fever	C0015967
IL2 gene	C0879590	ASSOCIATED_WITH		Fever	C0015967
IFNG gene	C1334085	ASSOCIATED_WITH		Fever	C0015967
IL6 gene	C1334122	ASSOCIATED_WITH		Fever	C0015967
TNFRSF1A gene	C1363984	ASSOCIATED_WITH		Fever	C0015967
POMC gene	C1337111	ASSOCIATED_WITH		Fever	C0015967
MVK gene	C1417508	ASSOCIATED_WITH		Fever	C0015967
PTGS2 gene	C1367485	ASSOCIATED_WITH		Fever	C0015967
HTR1A gene	C1415803	ASSOCIATED_WITH		Fever	C0015967
IL1B gene	C1334112	ASSOCIATED_WITH		Fever	C0015967
IL1A gene	C1334111	ASSOCIATED_WITH		Fever	C0015967
IMPACT gene	C1825598	CAUSES	["37770252_fullText_63"]	Sequela of disorder	C0543419
Alleles	C0002085	CAUSES	["12655543_fullText_5"]	Missense	C3845273
PEX1 gene	C1418469	CAUSES	["32214787_fullText_68"]	Missense	C3845273
PEX6 gene	C1418478	CAUSES	["32214787_fullText_68"]	Missense	C3845273
OGT gene	C1417945	CAUSES	["32080367_fullText_53"]	Missense	C3845273
MT-ND1 gene	C1537989	CAUSES	["35217561_fullText_35"]	Missense	C3845273
NDUFC2 gene	C1417643	CAUSES	["32969598_fullText_68"]	Missense	C3845273
TRAPPC9 gene	C2677743	CAUSES	["35042660_fullText_5"]	Missense	C3845273
TRIM8 gene	C1423591	AFFECTS	["32214787_fullText_4"]	Missense	C3845273
MAN2C1 gene	C1416998	AFFECTS	["35045343_fullText_128"]	Missense	C3845273
SLC25A19 gene	C1422628	CAUSES	["31095747_fullText_2"]	Encephalopathy, recurrent	C1850719
Transgenes	C0282641	AFFECTS	["24039817_fullText_92"]	Disease Outcome	C0679250
EARS2 gene	C1825021	CAUSES	["25807530_fullText_11"]	CTCAE Grade 5 Encephalopathy	C1561319
FARS2 gene	C1539476	CAUSES	["25807530_fullText_11"]	CTCAE Grade 5 Encephalopathy	C1561319
HSPA5 gene	C1415761	AFFECTS	["34615619_fullText_7"]	Severe course	C1842211
ACE2 gene	C1422064	AFFECTS	["34615619_fullText_7"]	Severe course	C1842211
PRND gene	C1423700	ASSOCIATED_WITH		Irritable Mood	C0022107
TNFRSF10A gene	C1336643	ASSOCIATED_WITH		Alopecia	C0002170
AR gene	C1367578	ASSOCIATED_WITH		Alopecia	C0002170
CRH gene	C1366488	ASSOCIATED_WITH		Alopecia	C0002170
RHOA gene	C0812234	ASSOCIATED_WITH		Alopecia	C0002170
GCDH gene	C1415009	CAUSES	["18348873_fullText_5","11854167_fullText_9"]	Crisis	C0231224
MBNL1 gene	C1417055	AUGMENTS	["24293317_fullText_12"]	Fiber size variation	C1837325
SLC19A3 gene	C1424138	CAUSES	["24957181_fullText_4"]	Necrotic changes (finding)	C1334928
Alleles	C0002085	CAUSES	["36293220_fullText_84"]	Mildly Abnormal Ejection Fraction	C3274775
PLP1 gene	C1418654	CAUSES	["38104430_fullText_2"]	Amino acid change	C1953353
ALG12 gene	C1426190	CAUSES	["34467644_fullText_77"]	Amino acid change	C1953353
Genome	C0017428	CAUSES	["17895983_fullText_43"]	Amino acid change	C1953353
GCDH gene	C1415009	AFFECTS	["17356845_fullText_2"]	Urinary elimination status	C1320408
SLC6A19 gene	C1428660	AUGMENTS	["39513367_fullText_5"]	Urinary elimination status	C1320408
ALYREF gene	C1425988	CAUSES	["30388443_fullText_5"]	Hypotonia, severe	C1839630
NDUFV2 gene	C1417653	CAUSES	["14729820_fullText_6"]	Encephalomyopathy	C3554130
NDUFS2 gene	C1417645	CAUSES	["14729820_fullText_6"]	Encephalomyopathy	C3554130
NDUFS4 gene	C1417647	CAUSES	["35770802_fullText_87"]	respiratory abnormalities	C0231796
NDUFS4 gene	C1417647	DISRUPTS	["28916769_fullText_22"]	respiratory abnormalities	C0231796
MBNL2 gene	C1424516	AFFECTS	["24293317_fullText_41"]	Normal development	C1821244
COG7 gene	C1425654	AFFECTS	["21431621_fullText_90"]	Normal development	C1821244
SLC14A2 gene	C1420099	DISRUPTS	["14734627_fullText_8"]	Normal development	C1821244
POMC gene	C1337111	ASSOCIATED_WITH		Hirsutism	C0019572
KCNQ1 gene	C1416612	CAUSES	["21459285_fullText_3"]	Syncope	C0039070
SCN5A gene	C1419864	ASSOCIATED_WITH		Syncope	C0039070
RYR2 gene	C1419779	ASSOCIATED_WITH		Syncope	C0039070
CHRM3 gene	C1332759	ASSOCIATED_WITH		Ascites	C0003962
TRPV4 gene	C1425291	ASSOCIATED_WITH		Hyponatremia	C0020625
IFNG gene	C1334085	ASSOCIATED_WITH		Hyponatremia	C0020625
RYR1 gene	C1419778	ASSOCIATED_WITH		Generalized muscle weakness	C0746674
CHRNE gene	C1413412	ASSOCIATED_WITH__INFER__	["37646703_fullText_6"]	Generalized muscle weakness	C0746674
COLQ gene	C1413603	ASSOCIATED_WITH__INFER__	["37646703_fullText_6"]	Generalized muscle weakness	C0746674
RAPSN gene	C1419271	ASSOCIATED_WITH__INFER__	["37646703_fullText_6"]	Generalized muscle weakness	C0746674
DOK7 gene	C1824957	ASSOCIATED_WITH__INFER__	["37646703_fullText_6"]	Generalized muscle weakness	C0746674
C10orf2 gene	C1418458	ASSOCIATED_WITH		Bilateral ptosis	C1865916
ATXN3 gene	C1538301	CAUSES	["38443995_fullText_1"]	Paralysed	C0522224
HHAT gene	C1539668	AFFECTS	["34274434_fullText_9"]	Paralysed	C0522224
PCDH19 gene	C1422530	ASSOCIATED_WITH		Seizures, Focal	C0751495
SCN1A gene	C1419856	ASSOCIATED_WITH		Seizures, Focal	C0751495
SNAI1 gene	C1420267	AFFECTS	["35263582_fullText_2"]	Hypotension	C0020649
TAC1 gene	C1420563	ASSOCIATED_WITH		Hypotension	C0020649
INS gene	C1337112	ASSOCIATED_WITH		Hypotension	C0020649
KNG1 gene	C1537501	ASSOCIATED_WITH		Hypotension	C0020649
CRH gene	C1366488	ASSOCIATED_WITH		Hypotension	C0020649
CNR1 gene	C1413554	ASSOCIATED_WITH		Hypotension	C0020649
PDYN gene	C1418447	ASSOCIATED_WITH		Hypotension	C0020649
MAOA gene	C1417001	ASSOCIATED_WITH		Hypotension	C0020649
ADRA1B gene	C1332027	ASSOCIATED_WITH		Hypotension	C0020649
IL2 gene	C0879590	ASSOCIATED_WITH		Hypotension	C0020649
UCN gene	C1421312	ASSOCIATED_WITH		Hypotension	C0020649
NPPA gene	C1417807	ASSOCIATED_WITH		Hypotension	C0020649
IFNG gene	C1334085	ASSOCIATED_WITH		Hypotension	C0020649
EDN3 gene	C1414261	ASSOCIATED_WITH		Hypotension	C0020649
SOD1 gene	C1420306	ASSOCIATED_WITH		Hypotension	C0020649
CTF1 gene	C1332801	ASSOCIATED_WITH		Hypotension	C0020649
NISCH gene	C1425233	ASSOCIATED_WITH		Hypotension	C0020649
POMC gene	C1337111	ASSOCIATED_WITH		Hypotension	C0020649
REN gene	C1419338	ASSOCIATED_WITH		Hypotension	C0020649
DRD2 gene	C1333253	ASSOCIATED_WITH		Hypotension	C0020649
ACE gene	C1413931	ASSOCIATED_WITH		Hypotension	C0020649
NPPB gene	C1417808	ASSOCIATED_WITH		Hypotension	C0020649
IL1A gene	C1334111	ASSOCIATED_WITH		Hypotension	C0020649
NPPB gene	C1417808	ASSOCIATED_WITH		Cardiomegaly	C0018800
NR1H4 gene	C1417825	ASSOCIATED_WITH		Hepatomegaly	C0019209
SLC37A4 gene	C1414895	ASSOCIATED_WITH		Hepatomegaly	C0019209
LEP gene	C1416825	ASSOCIATED_WITH		Hepatomegaly	C0019209
NR1H2 gene	C1417823	ASSOCIATED_WITH		Hepatomegaly	C0019209
AKT1 gene	C0812228	ASSOCIATED_WITH		Hepatomegaly	C0019209
PPARA gene	C1418776	ASSOCIATED_WITH		Hepatomegaly	C0019209
TRIM37 gene	C1417503	ASSOCIATED_WITH		Hepatomegaly	C0019209
NR1I2 gene	C1417826	ASSOCIATED_WITH		Hepatomegaly	C0019209
HTR7 gene	C1415816	DISRUPTS	["36768393_fullText_3"]	Rapid onset	C1838994
MAN1B1 gene	C1416994	CAUSES	["24348268_fullText_121"]	Mild disorder	C3280118
Alleles	C0002085	AFFECTS	["35175489_fullText_5"]	Fit frequency	C0149775
OIT3 gene	C1538531	AUGMENTS	["37459909_fullText_8"]	Fit frequency	C0149775
PLCE1 gene	C1424797	DISRUPTS	["36970756_fullText_9"]	Encounter due to vagabond status	C0687129
TPCN2 gene	C1427150	AFFECTS	["37329137_fullText_5"]	Encounter due to vagabond status	C0687129
TTN wt Allele	C3538714	ASSOCIATED_WITH	["36098708_fullText_3"]	Muscle Hypertonia	C0026826
SPEN gene	C1539835	CAUSES	["37315904_fullText_3"]	Spasm	C0037763
MLST8 gene	C2677317	CAUSES	["37315904_fullText_3"]	Spasm	C0037763
DMD gene	C1414083	ASSOCIATED_WITH		Spasm	C0037763
CNR1 gene	C1413554	ASSOCIATED_WITH		Hypothermia, natural	C0020672
SOD1 gene	C1420306	ASSOCIATED_WITH		Hypothermia, natural	C0020672
GNRH1 gene	C1415169	ASSOCIATED_WITH		Hypothermia, natural	C0020672
RANBP2 gene	C1419259	ASSOCIATED_WITH		ENCEPHALOPATHY, ACUTE, INFECTION-INDUCED, SUSCEPTIBILITY TO, 3	C2675556
SFTPC gene	C1442758	ASSOCIATED_WITH		Respiratory distress	C0476273
ABCA3 gene	C1412062	ASSOCIATED_WITH		Respiratory distress	C0476273
PMP22 gene	C1418677	ASSOCIATED_WITH		Respiratory distress	C0476273
IGHMBP2 gene	C1415994	ASSOCIATED_WITH		Respiratory distress	C0476273
mutant gene	C0678941	CAUSES	["35205402_fullText_70"]	Globe finding	C0423216
CAPN3 gene	C1413113	ASSOCIATED_WITH		Muscle Weakness	C0151786
TTN gene	C1421222	ASSOCIATED_WITH		Muscle Weakness	C0151786
CHRND gene	C1413411	ASSOCIATED_WITH		Muscle Weakness	C0151786
DMD gene	C1414083	ASSOCIATED_WITH		Muscle Weakness	C0151786
DYNC1H1 gene	C1825005	ASSOCIATED_WITH		Muscle Weakness	C0151786
SCN4A gene	C1419862	ASSOCIATED_WITH		Muscle Weakness	C0151786
BICD2 gene	C1424822	ASSOCIATED_WITH		Muscle Weakness	C0151786
VCP gene	C1421437	ASSOCIATED_WITH		Muscle Weakness	C0151786
SOD1 gene	C1420306	ASSOCIATED_WITH		Muscle Weakness	C0151786
FLNC gene	C1414637	ASSOCIATED_WITH		Muscle Weakness	C0151786
PMP22 gene	C1418677	ASSOCIATED_WITH		Muscle Weakness	C0151786
COL6A2 gene	C1413590	ASSOCIATED_WITH		Muscle Weakness	C0151786
DYSF gene	C1414209	ASSOCIATED_WITH		Muscle Weakness	C0151786
FKRP gene	C1425226	ASSOCIATED_WITH		Muscle Weakness	C0151786
NEB gene	C1417656	ASSOCIATED_WITH		Muscle Weakness	C0151786
DNAJB6 gene	C1423027	ASSOCIATED_WITH		Muscle Weakness	C0151786
MYOT gene	C1826332	ASSOCIATED_WITH		Muscle Weakness	C0151786
RYR1 gene	C1419778	ASSOCIATED_WITH		Muscle Weakness	C0151786
FHL1 gene	C1414612	ASSOCIATED_WITH		Muscle Weakness	C0151786
LY86 gene	C1424584	ASSOCIATED_WITH__INFER__	["20514907_fullText_5"]	Muscle Weakness	C0151786
FOXD3 gene	C1414672	AFFECTS	["36148411_fullText_1"]	Vomiting	C0042963
TAC1 gene	C1420563	ASSOCIATED_WITH		Vomiting	C0042963
ABCB1 gene	C0376622	ASSOCIATED_WITH		Vomiting	C0042963
PYY gene	C1419178	ASSOCIATED_WITH		Vomiting	C0042963
HMBS gene	C1415597	ASSOCIATED_WITH		Vomiting	C0042963
IFNG gene	C1334085	ASSOCIATED_WITH		Vomiting	C0042963
TACR1 gene	C1420565	ASSOCIATED_WITH		Vomiting	C0042963
AMD1 wt Allele	C3539530	ASSOCIATED_WITH	["32048023_abstract_8"]	Vomiting	C0042963
SLC5A7 gene	C1422359	CAUSES	["36611016_fullText_2"]	Neonatal lethal	C1857104
NAGLU gene	C1417593	ASSOCIATED_WITH		Hepatosplenomegaly	C0019214
DDX17 gene	C1413957	CAUSES	["22156369_fullText_131"]	Early lethality	C1836107
PMM2 gene	C1418674	CAUSES	["29261720_fullText_11"]	Early lethality	C1836107
PDCD6 gene	C1418406	CAUSES	["34106226_fullText_19"]	Early lethality	C1836107
Alleles	C0002085	CAUSES	["22956764_fullText_6"]	Early lethality	C1836107
MPI gene	C1417244	CAUSES	["22899857_fullText_6"]	Early lethality	C1836107
GABBR1 gene	C1414904	ASSOCIATED_WITH		Behavioral Symptoms	C0004941
MECP2 gene	C1417098	ASSOCIATED_WITH		Behavioral Symptoms	C0004941
NRXN1 gene	C1417851	ASSOCIATED_WITH		Behavioral Symptoms	C0004941
GRIN2B gene	C1415300	ASSOCIATED_WITH		Behavioral Symptoms	C0004941
PMM2 gene	C1418674	CAUSES	["29361989_fullText_8"]	Defective biosynthesis	C0522072
PEX2 gene	C1419149	AFFECTS	["1673025_fullText_1"]	Defective biosynthesis	C0522072
Transgenes	C0282641	CAUSES	["15317754_fullText_2"]	Endurance	C0518031
NDUFS4 gene	C1417647	CAUSES	["34849584_fullText_192"]	Glial activation	C1864676
ABAT gene	C1412057	ASSOCIATED_WITH		Lethargy	C0023380
HM13 gene	C1424276	CAUSES	["21063982_fullText_2"]	Diarrhea	C0011991
HNRNPD wt Allele	C3540626	CAUSES	["35050903_fullText_29"]	CNS symptom	C0422879
KCNQ2 gene	C1416614	CAUSES	["36198807_fullText_11"]	Seizure free	C1299590
NPPB gene	C1417808	ASSOCIATED_WITH		Dyspnea	C0013404
MYH7 gene	C1417542	ASSOCIATED_WITH		Dyspnea	C0013404
COL13A1 gene	C1413573	ASSOCIATED_WITH__INFER__	["31081514_fullText_13"]	Dyspnea	C0013404
SCN5A gene	C1419864	CAUSES	["27063795_fullText_73"]	Cardiac conduction abnormalities	C1842820
STXBP1 gene	C1420506	ASSOCIATED_WITH		Hypsarrhythmia	C0684276
SCN5A gene	C1419864	CAUSES	["27063795_fullText_67"]	Cardiac Arrhythmia	C0003811
MBNL1 gene	C1417055	CAUSES	["27484195_fullText_1"]	Cardiac Arrhythmia	C0003811
LY86 gene	C1424584	AFFECTS	["30767060_fullText_1"]	Cardiac Arrhythmia	C0003811
KCNQ1 gene	C1416612	ASSOCIATED_WITH		Cardiac Arrhythmia	C0003811
PKP2 gene	C1418613	ASSOCIATED_WITH		Cardiac Arrhythmia	C0003811
SCN5A gene	C1419864	ASSOCIATED_WITH		Cardiac Arrhythmia	C0003811
