Phenotype	Phenotype_id	RELATION	PROVENANCE	Disease	Disease_id
Hypometabolism	C0347938	COEXISTS_WITH	["30035006_fullText_6","9124801_fullText_10"]	Machado-Joseph Disease	C0024408
Hypermetabolism	C0342952	COEXISTS_WITH	["7166000_fullText_1"]	Neuromuscular Diseases	C0027868
compromise	C2945640	COEXISTS_WITH	["30014526_fullText_9"]	Machado-Joseph Disease	C0024408
Paraparesis, Spastic	C0037771	COEXISTS_WITH	["8828632_fullText_1"]	Phenylketonurias	C0031485
Paraparesis, Spastic	C0037771	ASSOCIATED_WITH	["30007589_fullText_4"]	Machado-Joseph Disease	C0024408
Excessive daytime somnolence	C0694563	COEXISTS_WITH	["36165509_fullText_1"]	Narcolepsy	C0027404
Excessive daytime somnolence	C0694563	ASSOCIATED_WITH	["27021342_fullText_10"]	Machado-Joseph Disease	C0024408
Excessive daytime somnolence	C0694563	ASSOCIATED_WITH	["12749547_fullText_3"]	Dystrophia myotonica 1	C2931688
Trial 2	C3842777	COEXISTS_WITH	["37075940_fullText_5"]	Heart failure	C0018801
Test Result	C0456984	COEXISTS_WITH	["31607269_fullText_85"]	Metabolic Diseases	C0025517
Observation Result	C2347379	COEXISTS_WITH	["29247688_fullText_9"]	Machado-Joseph Disease	C0024408
Observation Result	C2347379	COEXISTS_WITH__SPEC__	["29247688_fullText_9"]	Machado-Joseph Disease	C0024408
Genetic Carriers	C0007294	COEXISTS_WITH	["10207169_fullText_9"]	Phenylketonurias	C0031485
Autonomic symptoms	C2674101	COEXISTS_WITH	["28589261_fullText_4"]	Spinocerebellar Ataxia 10	C1963674
Rhythm	C0871269	COEXISTS_WITH	["36822547_fullText_5"]	Hereditary pancreatitis	C0238339
Drowsiness	C0013144	COEXISTS_WITH	["14996041_fullText_9"]	Hypersomnolence, Idiopathic	C0751757
Imbalance	C1397014	CAUSES	["36743691_fullText_1"]	Metabolic Diseases	C0025517
Imbalance	C1397014	CAUSES	["23499581_fullText_1"]	Congenital Disorders	C0242354
Imbalance	C1397014	CAUSES	["33808762_fullText_2","34599508_fullText_2"]	Epilepsy	C0014544
Imbalance	C1397014	CAUSES	["36030445_fullText_1"]	Osteoporosis	C0029456
Imbalance	C1397014	CAUSES	["35549862_fullText_1"]	Peptic Ulcer	C0030920
Imbalance	C1397014	CAUSES__SPEC__	["36615404_fullText_5"]	Parkinson Disease	C0030567
