"source","source_type","target","target_type"
"HP_0012076","disease","ENSG00000183873","gene"
"HP_0012076","disease","ENSG00000077782","gene"
"HP_0012076","disease","ENSG00000112038","gene"
"HP_0012076","disease","ENSG00000113721","gene"
"HP_0012076","disease","ENSG00000149295","gene"
"HP_0012076","disease","ENSG00000151067","gene"
"HP_0012076","disease","ENSG00000184156","gene"
"HP_0012076","disease","ENSG00000198431","gene"
"HP_0012076","disease","ENSG00000095303","gene"
"HP_0012076","disease","ENSG00000108576","gene"
"HP_0012076","disease","ENSG00000112541","gene"
"HP_0012076","disease","ENSG00000129167","gene"
"HP_0012076","disease","ENSG00000160791","gene"
"HP_0012076","disease","ENSG00000196876","gene"
"HP_0012076","disease","ENSG00000079999","gene"
"HP_0012076","disease","ENSG00000082175","gene"
"HP_0012076","disease","ENSG00000093010","gene"
"HP_0012076","disease","ENSG00000126583","gene"
"HP_0012076","disease","ENSG00000183454","gene"
"HP_0012076","disease","ENSG00000053918","gene"
"HP_0012076","disease","ENSG00000134853","gene"
"HP_0012076","disease","ENSG00000154229","gene"
"HP_0012076","disease","ENSG00000185313","gene"
"HP_0012076","disease","ENSG00000069696","gene"
"HP_0012076","disease","ENSG00000105464","gene"
"HP_0012076","disease","ENSG00000106462","gene"
"HP_0012076","disease","ENSG00000121966","gene"
"HP_0012076","disease","ENSG00000128052","gene"
"HP_0012076","disease","ENSG00000136531","gene"
"HP_0012076","disease","ENSG00000178394","gene"
"HP_0012076","disease","ENSG00000082556","gene"
"HP_0012076","disease","ENSG00000116032","gene"
"HP_0012076","disease","ENSG00000118113","gene"
"HP_0012076","disease","ENSG00000120156","gene"
"HP_0012076","disease","ENSG00000135312","gene"
"HP_0012076","disease","ENSG00000182871","gene"
"HP_0012076","disease","ENSG00000186297","gene"
"HP_0012076","disease","ENSG00000010610","gene"
"HP_0012076","disease","ENSG00000111537","gene"
"HP_0012076","disease","ENSG00000125538","gene"
"HP_0012076","disease","ENSG00000142319","gene"
"HP_0012076","disease","ENSG00000151834","gene"
"HP_0012076","disease","ENSG00000182256","gene"
"HP_0012076","disease","ENSG00000196689","gene"
"HP_0012076","disease","ENSG00000140443","gene"
"HP_0012076","disease","ENSG00000163285","gene"
"HP_0012076","disease","ENSG00000169174","gene"
"HP_0012076","disease","ENSG00000153253","gene"
"HP_0012076","disease","ENSG00000171720","gene"
"HP_0012076","disease","ENSG00000007314","gene"
"HP_0012076","disease","ENSG00000048052","gene"
"HP_0012076","disease","ENSG00000062822","gene"
"HP_0012076","disease","ENSG00000069535","gene"
"HP_0012076","disease","ENSG00000113580","gene"
"HP_0012076","disease","ENSG00000115414","gene"
"HP_0012076","disease","ENSG00000117480","gene"
"HP_0012076","disease","ENSG00000132639","gene"
"HP_0012076","disease","ENSG00000134352","gene"
"HP_0012076","disease","ENSG00000136546","gene"
"HP_0012076","disease","ENSG00000159640","gene"
"HP_0012076","disease","ENSG00000169432","gene"
"HP_0012076","disease","ENSG00000178568","gene"
"HP_0012076","disease","ENSG00000181072","gene"
"HP_0012076","disease","ENSG00000117601","gene"
"HP_0012076","disease","ENSG00000136244","gene"
"HP_0012076","disease","ENSG00000161509","gene"
"MONDO_0030006","disease","ENSG00000113721","gene"
"MONDO_0030006","disease","ENSG00000140459","gene"
"HP_0000520","disease","ENSG00000066468","gene"
"HP_0000520","disease","ENSG00000198947","gene"
"HP_0000802","disease","ENSG00000113161","gene"
"HP_0000802","disease","ENSG00000138735","gene"
"MONDO_0021116","disease","ENSG00000106462","gene"
"HP_0001591","disease","ENSG00000068078","gene"
"HP_0002035","disease","ENSG00000133216","gene"
"HP_0002035","disease","ENSG00000097007","gene"
"HP_0002035","disease","ENSG00000010610","gene"
"HP_0008909","disease","ENSG00000068078","gene"
"MONDO_0002203","disease","ENSG00000126351","gene"
"MONDO_0004392","disease","ENSG00000138413","gene"
"MONDO_0012806","disease","ENSG00000183813","gene"
"MONDO_0032911","disease","ENSG00000145864","gene"
"MONDO_0032911","disease","ENSG00000068078","gene"
"MONDO_0032911","disease","ENSG00000117013","gene"
"MONDO_0032911","disease","ENSG00000186297","gene"
"MONDO_0032911","disease","ENSG00000169031","gene"
"MONDO_0032911","disease","ENSG00000151090","gene"
"EFO_0000713","disease","ENSG00000006071","gene"
"EFO_0000713","disease","ENSG00000022355","gene"
"EFO_0000713","disease","ENSG00000091831","gene"
"EFO_0000713","disease","ENSG00000105329","gene"
"EFO_0000713","disease","ENSG00000113161","gene"
"EFO_0000713","disease","ENSG00000159164","gene"
"EFO_0000713","disease","ENSG00000273079","gene"
"EFO_0000713","disease","ENSG00000012779","gene"
"EFO_0000713","disease","ENSG00000068024","gene"
"EFO_0000713","disease","ENSG00000082701","gene"
"EFO_0000713","disease","ENSG00000106804","gene"
"EFO_0000713","disease","ENSG00000113327","gene"
"EFO_0000713","disease","ENSG00000232810","gene"
"EFO_0000713","disease","ENSG00000073756","gene"
"EFO_0000713","disease","ENSG00000143799","gene"
"EFO_0000713","disease","ENSG00000145864","gene"
"EFO_0000713","disease","ENSG00000153956","gene"
"EFO_0000713","disease","ENSG00000166206","gene"
"EFO_0000713","disease","ENSG00000169083","gene"
"EFO_0000713","disease","ENSG00000198785","gene"
"EFO_0000713","disease","ENSG00000268089","gene"
"EFO_0000713","disease","ENSG00000011677","gene"
"EFO_0000713","disease","ENSG00000110799","gene"
"EFO_0000713","disease","ENSG00000112715","gene"
"EFO_0000713","disease","ENSG00000120251","gene"
"EFO_0000713","disease","ENSG00000172572","gene"
"EFO_0000713","disease","ENSG00000176884","gene"
"EFO_0000713","disease","ENSG00000181104","gene"
"EFO_0000713","disease","ENSG00000077782","gene"
"EFO_0000713","disease","ENSG00000112038","gene"
"EFO_0000713","disease","ENSG00000113721","gene"
"EFO_0000713","disease","ENSG00000122194","gene"
"EFO_0000713","disease","ENSG00000132170","gene"
"EFO_0000713","disease","ENSG00000133216","gene"
"EFO_0000713","disease","ENSG00000151067","gene"
"EFO_0000713","disease","ENSG00000157388","gene"
"EFO_0000713","disease","ENSG00000184160","gene"
"EFO_0000713","disease","ENSG00000187266","gene"
"EFO_0000713","disease","ENSG00000239732","gene"
"EFO_0000713","disease","ENSG00000282608","gene"
"EFO_0000713","disease","ENSG00000145863","gene"
"EFO_0000713","disease","ENSG00000036828","gene"
"EFO_0000713","disease","ENSG00000143839","gene"
"EFO_0000713","disease","ENSG00000148053","gene"
"EFO_0000713","disease","ENSG00000160255","gene"
"EFO_0000713","disease","ENSG00000183454","gene"
"EFO_0000713","disease","ENSG00000087085","gene"
"EFO_0000713","disease","ENSG00000105464","gene"
"EFO_0000713","disease","ENSG00000106462","gene"
"EFO_0000713","disease","ENSG00000121879","gene"
"EFO_0000713","disease","ENSG00000187730","gene"
"EFO_0000713","disease","ENSG00000110680","gene"
"EFO_0000713","disease","ENSG00000116032","gene"
"EFO_0000713","disease","ENSG00000128271","gene"
"EFO_0000713","disease","ENSG00000132155","gene"
"EFO_0000713","disease","ENSG00000144891","gene"
"EFO_0000713","disease","ENSG00000148408","gene"
"EFO_0000713","disease","ENSG00000150594","gene"
"EFO_0000713","disease","ENSG00000163288","gene"
"EFO_0000713","disease","ENSG00000169032","gene"
"EFO_0000713","disease","ENSG00000186297","gene"
"EFO_0000713","disease","ENSG00000010610","gene"
"EFO_0000713","disease","ENSG00000102001","gene"
"EFO_0000713","disease","ENSG00000102287","gene"
"EFO_0000713","disease","ENSG00000109158","gene"
"EFO_0000713","disease","ENSG00000125538","gene"
"EFO_0000713","disease","ENSG00000151834","gene"
"EFO_0000713","disease","ENSG00000182256","gene"
"EFO_0000713","disease","ENSG00000196611","gene"
"EFO_0000713","disease","ENSG00000274286","gene"
"EFO_0000713","disease","ENSG00000151617","gene"
"EFO_0000713","disease","ENSG00000187486","gene"
"EFO_0000713","disease","ENSG00000104368","gene"
"EFO_0000713","disease","ENSG00000163285","gene"
"EFO_0000713","disease","ENSG00000180210","gene"
