"source","source_type","target","target_type"
"ENSG00000158125","gene","R-HSA-8851680","reactome"
"ENSG00000158748","gene","R-HSA-418555","reactome"
"ENSG00000158748","gene","R-HSA-9660821","reactome"
"ENSG00000158748","gene","R-HSA-390666","reactome"
"ENSG00000159164","gene","R-HSA-5250955","reactome"
"ENSG00000159164","gene","R-HSA-5250968","reactome"
"ENSG00000159164","gene","R-HSA-5250981","reactome"
"ENSG00000159164","gene","R-HSA-5250992","reactome"
"ENSG00000167658","gene","R-HSA-6798695","reactome"
"ENSG00000167658","gene","R-HSA-156902","reactome"
"ENSG00000167658","gene","R-HSA-5336415","reactome"
"ENSG00000167658","gene","R-HSA-5358493","reactome"
"ENSG00000167658","gene","R-HSA-8876725","reactome"
"ENSG00000170425","gene","R-HSA-418555","reactome"
"ENSG00000170425","gene","R-HSA-9660821","reactome"
"ENSG00000170425","gene","R-HSA-417973","reactome"
"ENSG00000170425","gene","R-HSA-5683826","reactome"
"ENSG00000170759","gene","R-HSA-2132295","reactome"
"ENSG00000170759","gene","R-HSA-6811434","reactome"
"ENSG00000170759","gene","R-HSA-983189","reactome"
"ENSG00000170759","gene","R-HSA-264876","reactome"
"ENSG00000170759","gene","R-HSA-5625970","reactome"
"ENSG00000198049","gene","R-HSA-416476","reactome"
"ENSG00000198049","gene","R-HSA-388479","reactome"
"ENSG00000198049","gene","R-HSA-5619099","reactome"
"ENSG00000198851","gene","R-HSA-198933","reactome"
"ENSG00000198851","gene","R-HSA-202424","reactome"
"ENSG00000198851","gene","R-HSA-202427","reactome"
"ENSG00000198851","gene","R-HSA-202430","reactome"
"ENSG00000198851","gene","R-HSA-202433","reactome"
"ENSG00000198851","gene","R-HSA-389948","reactome"
"ENSG00000211891","gene","R-HSA-6785807","reactome"
"ENSG00000211891","gene","R-HSA-2454202","reactome"
"ENSG00000211891","gene","R-HSA-2730905","reactome"
"ENSG00000211891","gene","R-HSA-2871796","reactome"
"ENSG00000211891","gene","R-HSA-2871809","reactome"
"ENSG00000211891","gene","R-HSA-2871837","reactome"
"ENSG00000273079","gene","R-HSA-9609736","reactome"
"ENSG00000273079","gene","R-HSA-5673001","reactome"
"ENSG00000273079","gene","R-HSA-438066","reactome"
"ENSG00000273079","gene","R-HSA-8849932","reactome"
"ENSG00000273079","gene","R-HSA-9620244","reactome"
"ENSG00000273079","gene","R-HSA-3928662","reactome"
"ENSG00000273079","gene","R-HSA-442982","reactome"
"ENSG00000273079","gene","R-HSA-6794361","reactome"
"ENSG00000273079","gene","R-HSA-9022699","reactome"
"ENSG00000273079","gene","R-HSA-9032500","reactome"
"ENSG00000273079","gene","R-HSA-9617324","reactome"
"ENSG00000006116","gene","R-HSA-399719","reactome"
"ENSG00000006116","gene","R-HSA-5682910","reactome"
"ENSG00000006283","gene","R-HSA-419037","reactome"
"ENSG00000012779","gene","R-HSA-6785807","reactome"
"ENSG00000012779","gene","R-HSA-6798695","reactome"
"ENSG00000012779","gene","R-HSA-2142688","reactome"
"ENSG00000012779","gene","R-HSA-2142691","reactome"
"ENSG00000012779","gene","R-HSA-2142700","reactome"
"ENSG00000012779","gene","R-HSA-9012546","reactome"
"ENSG00000012779","gene","R-HSA-9018676","reactome"
"ENSG00000012779","gene","R-HSA-9018682","reactome"
"ENSG00000012779","gene","R-HSA-9018896","reactome"
"ENSG00000012779","gene","R-HSA-9020265","reactome"
"ENSG00000012779","gene","R-HSA-9023661","reactome"
"ENSG00000012779","gene","R-HSA-9026286","reactome"
"ENSG00000012779","gene","R-HSA-9026290","reactome"
"ENSG00000012779","gene","R-HSA-9026403","reactome"
"ENSG00000012779","gene","R-HSA-9027604","reactome"
"ENSG00000068024","gene","R-HSA-4090294","reactome"
"ENSG00000068024","gene","R-HSA-2122947","reactome"
"ENSG00000068024","gene","R-HSA-2644606","reactome"
"ENSG00000068024","gene","R-HSA-2894862","reactome"
"ENSG00000068024","gene","R-HSA-350054","reactome"
"ENSG00000068024","gene","R-HSA-4551638","reactome"
"ENSG00000068024","gene","R-HSA-8941284","reactome"
"ENSG00000068024","gene","R-HSA-8951936","reactome"
"ENSG00000082701","gene","R-HSA-8939902","reactome"
"ENSG00000082701","gene","R-HSA-195253","reactome"
"ENSG00000082701","gene","R-HSA-196299","reactome"
"ENSG00000082701","gene","R-HSA-198323","reactome"
"ENSG00000082701","gene","R-HSA-3371453","reactome"
"ENSG00000082701","gene","R-HSA-399956","reactome"
"ENSG00000082701","gene","R-HSA-4641262","reactome"
"ENSG00000082701","gene","R-HSA-5250924","reactome"
"ENSG00000082701","gene","R-HSA-5339716","reactome"
"ENSG00000082701","gene","R-HSA-5358747","reactome"
"ENSG00000082701","gene","R-HSA-5358749","reactome"
"ENSG00000082701","gene","R-HSA-5358751","reactome"
"ENSG00000082701","gene","R-HSA-5358752","reactome"
"ENSG00000082701","gene","R-HSA-5467337","reactome"
"ENSG00000082701","gene","R-HSA-5467340","reactome"
"ENSG00000082701","gene","R-HSA-5467348","reactome"
"ENSG00000082701","gene","R-HSA-5610783","reactome"
"ENSG00000082701","gene","R-HSA-5610785","reactome"
"ENSG00000082701","gene","R-HSA-5674400","reactome"
"ENSG00000082701","gene","R-HSA-75815","reactome"
"ENSG00000082701","gene","R-HSA-9682706","reactome"
"ENSG00000082701","gene","R-HSA-9683610","reactome"
"ENSG00000082701","gene","R-HSA-9694631","reactome"
"ENSG00000082701","gene","R-HSA-9694686","reactome"
"ENSG00000091181","gene","R-HSA-5673001","reactome"
"ENSG00000091181","gene","R-HSA-512988","reactome"
"ENSG00000091181","gene","R-HSA-912526","reactome"
"ENSG00000092969","gene","R-HSA-114608","reactome"
"ENSG00000092969","gene","R-HSA-2129379","reactome"
"ENSG00000092969","gene","R-HSA-3000178","reactome"
"ENSG00000100387","gene","R-HSA-8939902","reactome"
"ENSG00000100387","gene","R-HSA-110314","reactome"
"ENSG00000100387","gene","R-HSA-5696400","reactome"
"ENSG00000100387","gene","R-HSA-6782135","reactome"
"ENSG00000100387","gene","R-HSA-6782210","reactome"
"ENSG00000100387","gene","R-HSA-2122947","reactome"
"ENSG00000100387","gene","R-HSA-2644606","reactome"
"ENSG00000100387","gene","R-HSA-2894862","reactome"
"ENSG00000100387","gene","R-HSA-195253","reactome"
"ENSG00000100387","gene","R-HSA-5610783","reactome"
"ENSG00000100387","gene","R-HSA-5610785","reactome"
"ENSG00000100387","gene","R-HSA-1170546","reactome"
"ENSG00000100387","gene","R-HSA-1234176","reactome"
"ENSG00000100387","gene","R-HSA-180585","reactome"
"ENSG00000100387","gene","R-HSA-2644607","reactome"
"ENSG00000100387","gene","R-HSA-4641258","reactome"
"ENSG00000100387","gene","R-HSA-5610780","reactome"
"ENSG00000100387","gene","R-HSA-5632684","reactome"
"ENSG00000100387","gene","R-HSA-5658442","reactome"
"ENSG00000100387","gene","R-HSA-5696394","reactome"
"ENSG00000100387","gene","R-HSA-5696395","reactome"
"ENSG00000100387","gene","R-HSA-6781823","reactome"
"ENSG00000100387","gene","R-HSA-6781827","reactome"
"ENSG00000100387","gene","R-HSA-68949","reactome"
"ENSG00000100387","gene","R-HSA-8854050","reactome"
"ENSG00000100387","gene","R-HSA-8951664","reactome"
"ENSG00000100387","gene","R-HSA-9010553","reactome"
"ENSG00000100387","gene","R-HSA-9020702","reactome"
"ENSG00000100387","gene","R-HSA-9604323","reactome"
"ENSG00000100387","gene","R-HSA-983168","reactome"
"ENSG00000101076","gene","R-HSA-383280","reactome"
"ENSG00000101076","gene","R-HSA-210745","reactome"
"ENSG00000104267","gene","R-HSA-1237044","reactome"
"ENSG00000104267","gene","R-HSA-1247673","reactome"
"ENSG00000104267","gene","R-HSA-1475029","reactome"
"ENSG00000106804","gene","R-HSA-166665","reactome"
"ENSG00000106804","gene","R-HSA-174577","reactome"
"ENSG00000106804","gene","R-HSA-375276","reactome"
"ENSG00000106804","gene","R-HSA-418594","reactome"
"ENSG00000106804","gene","R-HSA-977606","reactome"
"ENSG00000111424","gene","R-HSA-383280","reactome"
"ENSG00000111424","gene","R-HSA-4090294","reactome"
"ENSG00000111424","gene","R-HSA-196791","reactome"
"ENSG00000113263","gene","R-HSA-202433","reactome"
"ENSG00000113263","gene","R-HSA-2871809","reactome"
"ENSG00000113327","gene","R-HSA-1236394","reactome"
"ENSG00000113327","gene","R-HSA-977443","reactome"
"ENSG00000116329","gene","R-HSA-6785807","reactome"
"ENSG00000116329","gene","R-HSA-375276","reactome"
"ENSG00000116329","gene","R-HSA-418594","reactome"
"ENSG00000117400","gene","R-HSA-76009","reactome"
"ENSG00000126218","gene","R-HSA-140834","reactome"
"ENSG00000126218","gene","R-HSA-140837","reactome"
"ENSG00000126218","gene","R-HSA-140875","reactome"
"ENSG00000126218","gene","R-HSA-159740","reactome"
"ENSG00000126218","gene","R-HSA-159763","reactome"
"ENSG00000126218","gene","R-HSA-159782","reactome"
"ENSG00000126218","gene","R-HSA-9672383","reactome"
"ENSG00000126218","gene","R-HSA-9672396","reactome"
"ENSG00000126218","gene","R-HSA-9673202","reactome"
"ENSG00000133742","gene","R-HSA-1237044","reactome"
"ENSG00000133742","gene","R-HSA-1247673","reactome"
"ENSG00000133742","gene","R-HSA-1475029","reactome"
"ENSG00000133742","gene","R-HSA-8950505","reactome"
"ENSG00000138823","gene","R-HSA-8866423","reactome"
"ENSG00000138823","gene","R-HSA-8963888","reactome"
"ENSG00000145545","gene","R-HSA-193048","reactome"
"ENSG00000145692","gene","R-HSA-1614635","reactome"
"ENSG00000145692","gene","R-HSA-6798163","reactome"
"ENSG00000146648","gene","R-HSA-1236394","reactome"
"ENSG00000146648","gene","R-HSA-1257604","reactome"
"ENSG00000146648","gene","R-HSA-2219530","reactome"
"ENSG00000146648","gene","R-HSA-6811558","reactome"
"ENSG00000146648","gene","R-HSA-8866910","reactome"
"ENSG00000146648","gene","R-HSA-9009391","reactome"
"ENSG00000146648","gene","R-HSA-9609690","reactome"
"ENSG00000146648","gene","R-HSA-8856825","reactome"
"ENSG00000146648","gene","R-HSA-8856828","reactome"
"ENSG00000146648","gene","R-HSA-5673001","reactome"
"ENSG00000146648","gene","R-HSA-1227986","reactome"
"ENSG00000146648","gene","R-HSA-1236382","reactome"
"ENSG00000146648","gene","R-HSA-1250196","reactome"
"ENSG00000146648","gene","R-HSA-1251932","reactome"
"ENSG00000146648","gene","R-HSA-177929","reactome"
"ENSG00000146648","gene","R-HSA-179812","reactome"
"ENSG00000146648","gene","R-HSA-180292","reactome"
"ENSG00000146648","gene","R-HSA-180336","reactome"
"ENSG00000146648","gene","R-HSA-182971","reactome"
"ENSG00000146648","gene","R-HSA-1963640","reactome"
"ENSG00000146648","gene","R-HSA-1963642","reactome"
"ENSG00000146648","gene","R-HSA-212718","reactome"
"ENSG00000146648","gene","R-HSA-2179392","reactome"
"ENSG00000146648","gene","R-HSA-445144","reactome"
"ENSG00000146648","gene","R-HSA-5637810","reactome"
"ENSG00000146648","gene","R-HSA-5638303","reactome"
"ENSG00000146648","gene","R-HSA-6785631","reactome"
"ENSG00000146648","gene","R-HSA-8847993","reactome"
"ENSG00000146648","gene","R-HSA-8857538","reactome"
"ENSG00000146648","gene","R-HSA-8863795","reactome"
"ENSG00000146648","gene","R-HSA-9013507","reactome"
"ENSG00000146648","gene","R-HSA-9634638","reactome"
"ENSG00000146648","gene","R-HSA-9664565","reactome"
"ENSG00000146648","gene","R-HSA-9665348","reactome"
"ENSG00000146648","gene","R-HSA-9665686","reactome"
"ENSG00000164692","gene","R-HSA-2022090","reactome"
"ENSG00000164692","gene","R-HSA-2214320","reactome"
"ENSG00000164692","gene","R-HSA-3000171","reactome"
"ENSG00000164692","gene","R-HSA-8874081","reactome"
"ENSG00000164692","gene","R-HSA-6785807","reactome"
"ENSG00000164692","gene","R-HSA-202733","reactome"
"ENSG00000164692","gene","R-HSA-198933","reactome"
"ENSG00000164692","gene","R-HSA-3000178","reactome"
"ENSG00000164692","gene","R-HSA-76009","reactome"
"ENSG00000164692","gene","R-HSA-114604","reactome"
"ENSG00000164692","gene","R-HSA-1442490","reactome"
"ENSG00000164692","gene","R-HSA-1474244","reactome"
"ENSG00000164692","gene","R-HSA-1650814","reactome"
"ENSG00000164692","gene","R-HSA-216083","reactome"
"ENSG00000164692","gene","R-HSA-2243919","reactome"
"ENSG00000164692","gene","R-HSA-3000170","reactome"
"ENSG00000164692","gene","R-HSA-3000480","reactome"
"ENSG00000164692","gene","R-HSA-430116","reactome"
"ENSG00000164692","gene","R-HSA-75892","reactome"
"ENSG00000164692","gene","R-HSA-8948216","reactome"
"ENSG00000166501","gene","R-HSA-416993","reactome"
"ENSG00000166501","gene","R-HSA-114516","reactome"
"ENSG00000166501","gene","R-HSA-1169091","reactome"
"ENSG00000166501","gene","R-HSA-418597","reactome"
"ENSG00000166501","gene","R-HSA-4419969","reactome"
"ENSG00000166501","gene","R-HSA-5099900","reactome"
"ENSG00000166501","gene","R-HSA-5218921","reactome"
"ENSG00000166501","gene","R-HSA-5668599","reactome"
"ENSG00000166501","gene","R-HSA-76005","reactome"
"ENSG00000166501","gene","R-HSA-8939246","reactome"
"ENSG00000168065","gene","R-HSA-561048","reactome"
"ENSG00000168539","gene","R-HSA-416476","reactome"
"ENSG00000168539","gene","R-HSA-390648","reactome"
"ENSG00000169418","gene","R-HSA-5578768","reactome"
"ENSG00000171105","gene","R-HSA-6811558","reactome"
"ENSG00000171105","gene","R-HSA-74713","reactome"
"ENSG00000171105","gene","R-HSA-74749","reactome"
"ENSG00000171105","gene","R-HSA-74751","reactome"
"ENSG00000171105","gene","R-HSA-74752","reactome"
"ENSG00000171105","gene","R-HSA-77387","reactome"
"ENSG00000171189","gene","R-HSA-451307","reactome"
"ENSG00000171189","gene","R-HSA-451308","reactome"
