"source","source_type","target","target_type"
"MONDO_0015643","disease","EFO_0000618","therapeutic_area"
"MONDO_0015643","disease","OTAR_0000018","therapeutic_area"
"MONDO_0015643","disease","OTAR_0000009","therapeutic_area"
"MONDO_0017386","disease","MONDO_0045024","therapeutic_area"
"MONDO_0017386","disease","OTAR_0000006","therapeutic_area"
"MONDO_0017386","disease","EFO_0000618","therapeutic_area"
"MONDO_0017386","disease","OTAR_0000018","therapeutic_area"
"MONDO_0030019","disease","OTAR_0000006","therapeutic_area"
"MONDO_0030019","disease","OTAR_0000018","therapeutic_area"
"MONDO_0030919","disease","EFO_0000618","therapeutic_area"
"MONDO_0030919","disease","OTAR_0000018","therapeutic_area"
"MONDO_0030919","disease","MONDO_0002025","therapeutic_area"
"MONDO_0032697","disease","OTAR_0000018","therapeutic_area"
"MONDO_0032891","disease","EFO_0000319","therapeutic_area"
"MONDO_0032891","disease","EFO_0000618","therapeutic_area"
"MONDO_0032891","disease","OTAR_0000018","therapeutic_area"
"EFO_0002689","disease","EFO_0000540","therapeutic_area"
"HP_0000876","disease","EFO_0000651","therapeutic_area"
"HP_0003076","disease","EFO_0000651","therapeutic_area"
"HP_0004855","disease","EFO_0000651","therapeutic_area"
"HP_0007366","disease","EFO_0000651","therapeutic_area"
"HP_0025428","disease","EFO_0000651","therapeutic_area"
"HP_0040082","disease","EFO_0000651","therapeutic_area"
"MONDO_0002368","disease","MONDO_0045024","therapeutic_area"
"MONDO_0002579","disease","MONDO_0045024","therapeutic_area"
"MONDO_0002579","disease","OTAR_0000006","therapeutic_area"
"MONDO_0002579","disease","EFO_0000618","therapeutic_area"
"MONDO_0002579","disease","OTAR_0000018","therapeutic_area"
"MONDO_0004331","disease","EFO_0009690","therapeutic_area"
"MONDO_0004331","disease","MONDO_0045024","therapeutic_area"
"MONDO_0007845","disease","OTAR_0000018","therapeutic_area"
"MONDO_0007845","disease","EFO_0000540","therapeutic_area"
"MONDO_0007859","disease","OTAR_0000018","therapeutic_area"
"MONDO_0007859","disease","EFO_0010285","therapeutic_area"
"HP_0008404","disease","EFO_0000651","therapeutic_area"
"HP_0031030","disease","EFO_0000651","therapeutic_area"
"MONDO_0008630","disease","OTAR_0000018","therapeutic_area"
"MONDO_0016641","disease","OTAR_0000006","therapeutic_area"
"MONDO_0016641","disease","OTAR_0000018","therapeutic_area"
"MONDO_0032940","disease","OTAR_0000006","therapeutic_area"
"MONDO_0032940","disease","EFO_0000618","therapeutic_area"
"MONDO_0032940","disease","OTAR_0000018","therapeutic_area"
"MONDO_0032940","disease","MONDO_0024458","therapeutic_area"
"MONDO_0041447","disease","MONDO_0045024","therapeutic_area"
"EFO_0000233","disease","OTAR_0000010","therapeutic_area"
"EFO_0000233","disease","MONDO_0045024","therapeutic_area"
"EFO_0000233","disease","EFO_0010285","therapeutic_area"
"EFO_0003027","disease","MONDO_0045024","therapeutic_area"
"EFO_0003027","disease","OTAR_0000006","therapeutic_area"
"EFO_0003027","disease","OTAR_0000018","therapeutic_area"
"EFO_0003027","disease","EFO_0005803","therapeutic_area"
"EFO_0003027","disease","EFO_0000540","therapeutic_area"
"HP_0000720","disease","EFO_0000651","therapeutic_area"
"HP_0030833","disease","EFO_0000651","therapeutic_area"
"MONDO_0014790","disease","MONDO_0024297","therapeutic_area"
"MONDO_0014790","disease","OTAR_0000018","therapeutic_area"
"MONDO_0045031","disease","EFO_0005741","therapeutic_area"
"MONDO_0045031","disease","EFO_0010282","therapeutic_area"
"HP_0004448","disease","EFO_0000651","therapeutic_area"
"HP_0005639","disease","EFO_0000651","therapeutic_area"
"HP_0009943","disease","EFO_0000651","therapeutic_area"
"HP_0025382","disease","EFO_0000651","therapeutic_area"
"HP_0030148","disease","EFO_0000651","therapeutic_area"
"HP_0040185","disease","EFO_0000651","therapeutic_area"
"MONDO_0014919","disease","EFO_0010282","therapeutic_area"
"MONDO_0014919","disease","MONDO_0045024","therapeutic_area"
"MONDO_0014919","disease","OTAR_0000018","therapeutic_area"
"MONDO_0044635","disease","EFO_0000618","therapeutic_area"
"MONDO_0044635","disease","OTAR_0000018","therapeutic_area"
"MONDO_0044635","disease","EFO_0005803","therapeutic_area"
"EFO_0002615","disease","EFO_0000319","therapeutic_area"
"EFO_0002615","disease","EFO_0000618","therapeutic_area"
"HP_0001642","disease","EFO_0000651","therapeutic_area"
"HP_0002221","disease","EFO_0000651","therapeutic_area"
"HP_0002307","disease","EFO_0000651","therapeutic_area"
"HP_0002938","disease","EFO_0000651","therapeutic_area"
"HP_0002986","disease","EFO_0000651","therapeutic_area"
"HP_0009487","disease","EFO_0000651","therapeutic_area"
"HP_0011808","disease","EFO_0000651","therapeutic_area"
"HP_0012382","disease","EFO_0000651","therapeutic_area"
"MONDO_0010256","disease","EFO_0000618","therapeutic_area"
"MONDO_0010256","disease","OTAR_0000018","therapeutic_area"
"MONDO_0010256","disease","MONDO_0002025","therapeutic_area"
"MONDO_0010888","disease","OTAR_0000017","therapeutic_area"
"MONDO_0010888","disease","EFO_0009690","therapeutic_area"
"MONDO_0012611","disease","EFO_0000618","therapeutic_area"
"MONDO_0012611","disease","OTAR_0000018","therapeutic_area"
"MONDO_0012611","disease","MONDO_0002025","therapeutic_area"
"MONDO_0016322","disease","OTAR_0000010","therapeutic_area"
"MONDO_0016322","disease","MONDO_0045024","therapeutic_area"
"MONDO_0020398","disease","OTAR_0000010","therapeutic_area"
"MONDO_0020398","disease","EFO_0000319","therapeutic_area"
"MONDO_0020398","disease","OTAR_0000018","therapeutic_area"
"MONDO_0021804","disease","EFO_0005741","therapeutic_area"
"MONDO_0021804","disease","OTAR_0000010","therapeutic_area"
"EFO_0002510","disease","OTAR_0000017","therapeutic_area"
"EFO_0002510","disease","EFO_0009690","therapeutic_area"
"EFO_0002510","disease","EFO_0001379","therapeutic_area"
"EFO_0002510","disease","MONDO_0045024","therapeutic_area"
"EFO_0002510","disease","OTAR_0000006","therapeutic_area"
"HP_0002166","disease","EFO_0000651","therapeutic_area"
"HP_0002240","disease","EFO_0000651","therapeutic_area"
"HP_0008770","disease","EFO_0000651","therapeutic_area"
"HP_0011923","disease","EFO_0000651","therapeutic_area"
"MONDO_0001330","disease","MONDO_0024458","therapeutic_area"
"MONDO_0003680","disease","MONDO_0045024","therapeutic_area"
"MONDO_0003680","disease","OTAR_0000006","therapeutic_area"
"MONDO_0009374","disease","OTAR_0000018","therapeutic_area"
"MONDO_0009816","disease","OTAR_0000006","therapeutic_area"
"MONDO_0009816","disease","OTAR_0000018","therapeutic_area"
"MONDO_0009816","disease","MONDO_0024458","therapeutic_area"
"MONDO_0010635","disease","OTAR_0000017","therapeutic_area"
"MONDO_0010635","disease","EFO_0009690","therapeutic_area"
"MONDO_0010635","disease","EFO_0001379","therapeutic_area"
"MONDO_0010635","disease","OTAR_0000018","therapeutic_area"
"MONDO_0018715","disease","EFO_0000319","therapeutic_area"
"MONDO_0018715","disease","MONDO_0045024","therapeutic_area"
"MONDO_0020854","disease","EFO_0009690","therapeutic_area"
"MONDO_0020854","disease","EFO_0000319","therapeutic_area"
"MONDO_0020854","disease","OTAR_0000018","therapeutic_area"
"MONDO_0021718","disease","EFO_0000618","therapeutic_area"
"MONDO_0044306","disease","EFO_0000618","therapeutic_area"
"MONDO_0044306","disease","OTAR_0000018","therapeutic_area"
"MONDO_0044306","disease","MONDO_0002025","therapeutic_area"
"MONDO_0044306","disease","MONDO_0024458","therapeutic_area"
"EFO_0002504","disease","MONDO_0045024","therapeutic_area"
"EFO_0003046","disease","GO_0008150","therapeutic_area"
"HP_0001605","disease","EFO_0000651","therapeutic_area"
"HP_0001838","disease","EFO_0000651","therapeutic_area"
"HP_0004763","disease","EFO_0000651","therapeutic_area"
"HP_0004763","disease","OTAR_0000010","therapeutic_area"
"HP_0004763","disease","EFO_0000319","therapeutic_area"
"MONDO_0002317","disease","EFO_0000618","therapeutic_area"
"MONDO_0004569","disease","EFO_0000618","therapeutic_area"
"MONDO_0009413","disease","OTAR_0000018","therapeutic_area"
"MONDO_0009413","disease","EFO_0005803","therapeutic_area"
"MONDO_0009413","disease","EFO_0000540","therapeutic_area"
"MONDO_0014008","disease","OTAR_0000018","therapeutic_area"
"MONDO_0016707","disease","MONDO_0045024","therapeutic_area"
"MONDO_0016707","disease","EFO_0000618","therapeutic_area"
"MONDO_0033651","disease","MONDO_0024297","therapeutic_area"
"MONDO_0033651","disease","OTAR_0000018","therapeutic_area"
"MONDO_0044793","disease","MONDO_0045024","therapeutic_area"
"MONDO_0044793","disease","EFO_0010285","therapeutic_area"
"HP_0000954","disease","EFO_0000651","therapeutic_area"
"HP_0005879","disease","EFO_0000651","therapeutic_area"
"HP_0011924","disease","EFO_0000651","therapeutic_area"
"HP_0030160","disease","EFO_0000651","therapeutic_area"
"HP_0040079","disease","EFO_0000651","therapeutic_area"
"MONDO_0013461","disease","OTAR_0000018","therapeutic_area"
"MONDO_0020845","disease","MONDO_0024297","therapeutic_area"
"MONDO_0020845","disease","OTAR_0000006","therapeutic_area"
"MONDO_0020845","disease","EFO_0000618","therapeutic_area"
"MONDO_0020845","disease","OTAR_0000018","therapeutic_area"
"MONDO_0022749","disease","EFO_0010285","therapeutic_area"
"MONDO_0023691","disease","MONDO_0024297","therapeutic_area"
"MONDO_0023691","disease","OTAR_0000018","therapeutic_area"
"MONDO_0029140","disease","MONDO_0024297","therapeutic_area"
"MONDO_0029140","disease","OTAR_0000018","therapeutic_area"
"MONDO_0054750","disease","OTAR_0000006","therapeutic_area"
"MONDO_0054750","disease","EFO_0000618","therapeutic_area"
"MONDO_0054750","disease","OTAR_0000018","therapeutic_area"
"MONDO_0060760","disease","EFO_0000618","therapeutic_area"
"MONDO_0060760","disease","OTAR_0000018","therapeutic_area"
"MONDO_0060760","disease","MONDO_0002025","therapeutic_area"
"HP_0000161","disease","EFO_0000651","therapeutic_area"
"HP_0000736","disease","EFO_0000651","therapeutic_area"
