"source","source_type","target","target_type"
"CHEMBL1199324","drug","ENSG00000115353","gene"
"CHEMBL1201538","drug","ENSG00000171105","gene"
"CHEMBL1266","drug","ENSG00000120907","gene"
"CHEMBL1266","drug","ENSG00000170214","gene"
"CHEMBL1266","drug","ENSG00000184160","gene"
"CHEMBL1266","drug","ENSG00000171873","gene"
"CHEMBL1266","drug","ENSG00000150594","gene"
"CHEMBL1266","drug","ENSG00000274286","gene"
"CHEMBL146095","drug","ENSG00000073756","gene"
"CHEMBL146095","drug","ENSG00000095303","gene"
"CHEMBL1900528","drug","ENSG00000133019","gene"
"CHEMBL22108","drug","ENSG00000196639","gene"
"CHEMBL24","drug","ENSG00000043591","gene"
"CHEMBL24778","drug","ENSG00000120907","gene"
"CHEMBL325041","drug","ENSG00000100804","gene"
"CHEMBL3301582","drug","ENSG00000101162","gene"
"CHEMBL3301582","drug","ENSG00000261456","gene"
"CHEMBL3301582","drug","ENSG00000007312","gene"
"CHEMBL3301582","drug","ENSG00000104833","gene"
"CHEMBL3301582","drug","ENSG00000137267","gene"
"CHEMBL3301582","drug","ENSG00000188229","gene"
"CHEMBL3301582","drug","ENSG00000196230","gene"
"CHEMBL3301582","drug","ENSG00000137285","gene"
"CHEMBL3301582","drug","ENSG00000258947","gene"
"CHEMBL3301582","drug","ENSG00000176014","gene"
"CHEMBL3707348","drug","ENSG00000010671","gene"
"CHEMBL445","drug","ENSG00000103546","gene"
"CHEMBL445","drug","ENSG00000108576","gene"
"CHEMBL898","drug","ENSG00000073756","gene"
"CHEMBL898","drug","ENSG00000095303","gene"
"CHEMBL946","drug","ENSG00000196639","gene"
"CHEMBL1201562","drug","ENSG00000159110","gene"
"CHEMBL1201562","drug","ENSG00000142166","gene"
"CHEMBL1201774","drug","ENSG00000171759","gene"
"CHEMBL134","drug","ENSG00000184160","gene"
"CHEMBL134","drug","ENSG00000150594","gene"
"CHEMBL134","drug","ENSG00000274286","gene"
"CHEMBL1624","drug","ENSG00000126351","gene"
"CHEMBL1624","drug","ENSG00000151090","gene"
"CHEMBL2364655","drug","ENSG00000169174","gene"
"CHEMBL3989986","drug","ENSG00000106804","gene"
"CHEMBL493","drug","ENSG00000151577","gene"
"CHEMBL493","drug","ENSG00000149295","gene"
"CHEMBL493","drug","ENSG00000069696","gene"
"CHEMBL608","drug","ENSG00000165029","gene"
"CHEMBL611","drug","ENSG00000120907","gene"
"CHEMBL611","drug","ENSG00000170214","gene"
"CHEMBL611","drug","ENSG00000171873","gene"
"CHEMBL1200963","drug","ENSG00000122420","gene"
"CHEMBL1201265","drug","ENSG00000113580","gene"
"CHEMBL1364144","drug","ENSG00000113580","gene"
"CHEMBL1764","drug","ENSG00000151577","gene"
"CHEMBL1764","drug","ENSG00000149295","gene"
"CHEMBL1764","drug","ENSG00000069696","gene"
"CHEMBL2111112","drug","ENSG00000183873","gene"
"CHEMBL2111112","drug","ENSG00000055118","gene"
"CHEMBL2111112","drug","ENSG00000120457","gene"
"CHEMBL2111112","drug","ENSG00000130037","gene"
"CHEMBL2111112","drug","ENSG00000162989","gene"
"CHEMBL2111112","drug","ENSG00000171385","gene"
"CHEMBL225071","drug","ENSG00000176890","gene"
"CHEMBL2396661","drug","ENSG00000121879","gene"
"CHEMBL294199","drug","ENSG00000196689","gene"
"CHEMBL3","drug","ENSG00000101204","gene"
"CHEMBL3","drug","ENSG00000160716","gene"
"CHEMBL3301622","drug","ENSG00000122025","gene"
"CHEMBL3301622","drug","ENSG00000167601","gene"
"CHEMBL3991432","drug","ENSG00000278195","gene"
"CHEMBL3991432","drug","ENSG00000139874","gene"
"CHEMBL3991432","drug","ENSG00000180616","gene"
