radboudsource,sourceguid,target,targetguid
CHEMBL844,http://rdf.ebi.ac.uk/resource/chembl/molecule/CHEMBL844,ENSG00000184160,http://purl.uniprot.org/uniprot/P01137
CHEMBL844,http://rdf.ebi.ac.uk/resource/chembl/molecule/CHEMBL844,ENSG00000150594,http://purl.uniprot.org/uniprot/P35499
CHEMBL844,http://rdf.ebi.ac.uk/resource/chembl/molecule/CHEMBL844,ENSG00000274286,http://purl.uniprot.org/uniprot/P00439
CHEMBL870,http://rdf.ebi.ac.uk/resource/chembl/molecule/CHEMBL870,ENSG00000160752,http://purl.uniprot.org/uniprot/P43115
CHEMBL1083659,http://rdf.ebi.ac.uk/resource/chembl/molecule/CHEMBL1083659,ENSG00000137252,http://purl.uniprot.org/uniprot/P10828
CHEMBL1083659,http://rdf.ebi.ac.uk/resource/chembl/molecule/CHEMBL1083659,ENSG00000121764,http://purl.uniprot.org/uniprot/P53420
CHEMBL1201231,http://rdf.ebi.ac.uk/resource/chembl/molecule/CHEMBL1201231,ENSG00000113580,http://purl.uniprot.org/uniprot/P60880
CHEMBL1201747,http://rdf.ebi.ac.uk/resource/chembl/molecule/CHEMBL1201747,ENSG00000196639,http://purl.uniprot.org/uniprot/P47870
CHEMBL1218,http://rdf.ebi.ac.uk/resource/chembl/molecule/CHEMBL1218,ENSG00000168412,http://purl.uniprot.org/uniprot/P21802
CHEMBL1218,http://rdf.ebi.ac.uk/resource/chembl/molecule/CHEMBL1218,ENSG00000134640,http://purl.uniprot.org/uniprot/Q13698
CHEMBL1754,http://rdf.ebi.ac.uk/resource/chembl/molecule/CHEMBL1754,ENSG00000169427,http://purl.uniprot.org/uniprot/Q9P0J0
CHEMBL1754,http://rdf.ebi.ac.uk/resource/chembl/molecule/CHEMBL1754,ENSG00000171303,http://purl.uniprot.org/uniprot/P29274
CHEMBL3545313,http://rdf.ebi.ac.uk/resource/chembl/molecule/CHEMBL3545313,ENSG00000131473,http://purl.uniprot.org/uniprot/P24723
CHEMBL484785,http://rdf.ebi.ac.uk/resource/chembl/molecule/CHEMBL484785,ENSG00000113448,http://purl.uniprot.org/uniprot/P49841
CHEMBL484785,http://rdf.ebi.ac.uk/resource/chembl/molecule/CHEMBL484785,ENSG00000065989,http://purl.uniprot.org/uniprot/P23415
CHEMBL484785,http://rdf.ebi.ac.uk/resource/chembl/molecule/CHEMBL484785,ENSG00000184588,http://purl.uniprot.org/uniprot/Q6PIU1
CHEMBL484785,http://rdf.ebi.ac.uk/resource/chembl/molecule/CHEMBL484785,ENSG00000105650,http://purl.uniprot.org/uniprot/P11836
CHEMBL502835,http://rdf.ebi.ac.uk/resource/chembl/molecule/CHEMBL502835,ENSG00000102755,http://purl.uniprot.org/uniprot/P22607
CHEMBL502835,http://rdf.ebi.ac.uk/resource/chembl/molecule/CHEMBL502835,ENSG00000077782,http://purl.uniprot.org/uniprot/P08572
CHEMBL502835,http://rdf.ebi.ac.uk/resource/chembl/molecule/CHEMBL502835,ENSG00000113721,http://purl.uniprot.org/uniprot/P53420
CHEMBL502835,http://rdf.ebi.ac.uk/resource/chembl/molecule/CHEMBL502835,ENSG00000066468,http://purl.uniprot.org/uniprot/P04150
CHEMBL502835,http://rdf.ebi.ac.uk/resource/chembl/molecule/CHEMBL502835,ENSG00000068078,http://purl.uniprot.org/uniprot/P05231
CHEMBL502835,http://rdf.ebi.ac.uk/resource/chembl/molecule/CHEMBL502835,ENSG00000134853,http://purl.uniprot.org/uniprot/P11511
CHEMBL502835,http://rdf.ebi.ac.uk/resource/chembl/molecule/CHEMBL502835,ENSG00000128052,http://purl.uniprot.org/uniprot/P06881
CHEMBL502835,http://rdf.ebi.ac.uk/resource/chembl/molecule/CHEMBL502835,ENSG00000160867,http://purl.uniprot.org/uniprot/P11532
CHEMBL502835,http://rdf.ebi.ac.uk/resource/chembl/molecule/CHEMBL502835,ENSG00000037280,http://purl.uniprot.org/uniprot/Q03181
CHEMBL79,http://rdf.ebi.ac.uk/resource/chembl/molecule/CHEMBL79,ENSG00000168356,http://purl.uniprot.org/uniprot/P16499
CHEMBL79,http://rdf.ebi.ac.uk/resource/chembl/molecule/CHEMBL79,ENSG00000144285,http://purl.uniprot.org/uniprot/P23415
CHEMBL79,http://rdf.ebi.ac.uk/resource/chembl/molecule/CHEMBL79,ENSG00000183873,http://purl.uniprot.org/uniprot/P12109
CHEMBL79,http://rdf.ebi.ac.uk/resource/chembl/molecule/CHEMBL79,ENSG00000196876,http://purl.uniprot.org/uniprot/Q13370
CHEMBL79,http://rdf.ebi.ac.uk/resource/chembl/molecule/CHEMBL79,ENSG00000185313,http://purl.uniprot.org/uniprot/P12821
CHEMBL79,http://rdf.ebi.ac.uk/resource/chembl/molecule/CHEMBL79,ENSG00000136531,http://purl.uniprot.org/uniprot/P03923
CHEMBL79,http://rdf.ebi.ac.uk/resource/chembl/molecule/CHEMBL79,ENSG00000153253,http://purl.uniprot.org/uniprot/P10912
CHEMBL79,http://rdf.ebi.ac.uk/resource/chembl/molecule/CHEMBL79,ENSG00000007314,http://purl.uniprot.org/uniprot/O15230
CHEMBL79,http://rdf.ebi.ac.uk/resource/chembl/molecule/CHEMBL79,ENSG00000136546,http://purl.uniprot.org/uniprot/Q13547
CHEMBL79,http://rdf.ebi.ac.uk/resource/chembl/molecule/CHEMBL79,ENSG00000169432,http://purl.uniprot.org/uniprot/P48549
CHEMBL813,http://rdf.ebi.ac.uk/resource/chembl/molecule/CHEMBL813,ENSG00000144891,http://purl.uniprot.org/uniprot/P00797
CHEMBL865,http://rdf.ebi.ac.uk/resource/chembl/molecule/CHEMBL865,ENSG00000073756,http://purl.uniprot.org/uniprot/P14778
CHEMBL964,http://rdf.ebi.ac.uk/resource/chembl/molecule/CHEMBL964,ENSG00000111275,http://purl.uniprot.org/uniprot/P40189
CHEMBL1159,http://rdf.ebi.ac.uk/resource/chembl/molecule/CHEMBL1159,ENSG00000069431,http://purl.uniprot.org/uniprot/P15056
CHEMBL1200335,http://rdf.ebi.ac.uk/resource/chembl/molecule/CHEMBL1200335,ENSG00000169083,http://purl.uniprot.org/uniprot/Q09470
CHEMBL1206690,http://rdf.ebi.ac.uk/resource/chembl/molecule/CHEMBL1206690,ENSG00000073756,http://purl.uniprot.org/uniprot/P14778
CHEMBL1473,http://rdf.ebi.ac.uk/resource/chembl/molecule/CHEMBL1473,ENSG00000113580,http://purl.uniprot.org/uniprot/P60880
CHEMBL1641,http://rdf.ebi.ac.uk/resource/chembl/molecule/CHEMBL1641,ENSG00000113580,http://purl.uniprot.org/uniprot/P60880
